#
# Environment-specific amino acid substitution matrices
# Creator: subst version 1.15
# CreationDate: 16/11/2007 16:32:53
#
# Definitions for structural environments:
# 6 features used
#
# domain interface;TF;Dd;T;T
# secondary structure and phi angle;HEPC;HEPC;F;F
# solvent accessibility;TF;Aa;F;F
# hydrogen bond to other sidechain/heterogen;TF;Ss;F;F
# hydrogen bond to mainchain CO;TF;Oo;F;F
# hydrogen bond to mainchain NH;TF;Nn;F;F
#
# (read in from classdef.dat)
#
# Number of alignments: 177
# (list of .tem files read in from TEMLIST.new_allmask)
#
# Total number of structures: 706
#
# Total number of raw substitution counts: 474048
#   0 HASON     665
#   1 HASOn    4958
#   2 HASoN    1675
#   3 HASon   16573
#   4 HAsON     935
#   5 HAsOn   12554
#   6 HAsoN    1182
#   7 HAson   67310
#   8 HaSON     584
#   9 HaSOn    2166
#  10 HaSoN     998
#  11 HaSon    2851
#  12 HasON    1056
#  13 HasOn    3580
#  14 HasoN     533
#  15 Hason   46323
#  16 EASON     287
#  17 EASOn    1811
#  18 EASoN     925
#  19 EASon   10989
#  20 EAsON     782
#  21 EAsOn    2950
#  22 EAsoN    1173
#  23 EAson   36007
#  24 EaSON     757
#  25 EaSOn    1991
#  26 EaSoN    1031
#  27 EaSon    4612
#  28 EasON    1007
#  29 EasOn    2574
#  30 EasoN     568
#  31 Eason   47121
#  32 PASON      86
#  33 PASOn     428
#  34 PASoN     235
#  35 PASon    1449
#  36 PAsON     181
#  37 PAsOn     973
#  38 PAsoN     277
#  39 PAson   22564
#  40 PaSON      51
#  41 PaSOn      81
#  42 PaSoN      91
#  43 PaSon     105
#  44 PasON      77
#  45 PasOn      60
#  46 PasoN      22
#  47 Pason    5234
#  48 CASON    1384
#  49 CASOn    3853
#  50 CASoN    6461
#  51 CASon   15684
#  52 CAsON    2560
#  53 CAsOn    9106
#  54 CAsoN    6774
#  55 CAson   77914
#  56 CaSON    1338
#  57 CaSOn    1379
#  58 CaSoN    1731
#  59 CaSon    2776
#  60 CasON    1791
#  61 CasOn    2174
#  62 CasoN     848
#  63 Cason   27833
#
# Number of counts discarded due to constraints: 0
#
# Number of counts discarded due to masking: 52806
#
# Total number of environments: 64
# Weighting scheme: clustering at PID 60 level
#
# Smoothing:
# p1(ri) (i.e., amino acid composition) is estimated by summing over
# each row in all matrices (no smoothing)
#                           ^^^^^^^^^^^^
# p2(ri|Rj) is estimated as:
#    p2(ri|Rj) = omega1 * p1(ri) + omega2 * W2(ri|Rj)
# 
# p3(ri|Rj,fq) is estimated as:
#    p3(ri|Rj,fq) = omega1 * A2(ri|fq) + omega2 * W3(ri|Rj,fq)
# where
#    A2(ri|fq) = p2(ri|fq) (fixed fq; partial smoothing)
# 
# The smoothing procedure is curtailed here and finally
# p5(ri|Rj,...) is estimated as:
#    p5(ri|Rj,...) = omega1 * A3(ri|Rj,fq) + omega2 * W5(ri|Rj...)
# where
#    A3(ri|Rj,fq) = sum over fq omega_c * pc3(Rj,fq)
# 
# Weights (omegas) are calculated as in Topham et al. 1993)
# 
# sigma value used is:  5.00
# 
# Each column (j) represents the probability distribution for the 
# likelihood of acceptance of a mutational event by a residue type j in 
# a particular structural environment (specified after >) leading to 
# any other residue type (i) and sums up to 100.
#
# There are 21 amino acids considered:
# ACDEFGHIKLMNPQRSTVWYJ
# where C represents half-cystine (disulphide bonded)
# and J represents cysteine (non disulphide bonded).
#
# The sequence has an additional row for 'U', which means
# both half-cystine and cysteine (with no distinction) and
# this should normally correspond to Cys in amino acid sequences.
#
>HASON 0
#        A      C      D      E      F      G      H      I      K      L      M      N      P      Q      R      S      T      V      W      Y      J 
A    27.52   3.67   6.52   8.23   4.95  10.94   7.63   7.25   8.77   6.56   7.13   3.24   8.57   6.67   6.57  10.82   6.73  10.25   3.69   5.81  14.55 
C     0.06  62.28   0.07   0.04   0.14   0.10   0.10   0.05   0.08   0.09   0.10   0.02   0.05   0.07   0.14   0.04   0.11   0.09   0.14   0.12   0.21 
D     5.35   2.52  41.68  10.08   1.70   5.17   3.66   1.91   4.83   2.02   1.50   9.81   5.73   7.25   4.00   3.92   5.98   2.42   1.22   1.88   1.68 
E     6.59   2.56   9.92  26.10   1.98   4.62   4.42   2.53   7.12   2.65   2.70   5.47   5.34  13.05   5.46   5.91   3.70   3.47   1.62   2.58   2.49 
F     1.64   2.06   1.80   1.21  31.88   0.99   4.27   4.35   1.51   6.34   5.41   2.20   1.07   1.64   1.45   2.09   1.42   3.65   9.88  10.56   4.44 
G     6.43   3.21   3.71   4.25   1.91  39.51   3.68   2.16   4.18   2.32   2.67   4.36   4.73   2.34   3.94   8.03   3.42   2.79   1.71   1.74   4.22 
H     1.22   1.11   2.54   0.88   1.81   1.05  25.81   0.95   1.93   1.12   1.01   2.87   1.22   2.37   2.53   1.44   1.36   1.05   1.30   2.15   1.69 
I     3.08   1.09   0.78   1.04   5.67   1.47   2.00  22.90   2.79   9.83   8.71   1.55   1.99   2.37   2.45   1.23   3.37  11.44   2.31   3.89   5.55 
K     7.18   1.30   3.21   4.31   2.67   5.06   4.99   3.68  25.00   3.98   3.81   5.99   5.69   5.59  12.74   6.25   5.13   4.22   1.69   1.89   2.47 
L     4.90   3.04   1.38   1.95  14.29   2.43   3.36  16.87   4.25  31.93  17.34   2.79   3.15   3.60   4.20   3.74   5.00  12.63   5.80   7.23   8.12 
M     1.49   0.44   0.32   0.50   2.79   0.84   1.06   3.92   1.27   4.84  18.50   2.34   0.55   2.00   1.06   1.85   1.82   2.79   1.63   1.71   1.87 
N     3.39   1.58   9.62   4.35   1.68   4.50   7.15   2.01   4.52   2.04   3.24  32.25   3.21   3.65   4.20   5.58   8.06   2.02   0.96   1.82   1.29 
P     3.26   1.28   2.07   1.54   1.07   2.69   3.26   1.72   2.93   1.72   1.08   1.61  36.99   1.75   2.48   2.24   2.02   1.97   0.64   1.65   2.78 
Q     3.90   2.72   2.92  15.23   1.66   2.65   3.94   1.97   5.59   1.93   3.58   5.49   3.32  32.23   4.92   3.25   3.49   2.49   1.46   1.35   1.67 
R     3.15   1.50   1.76   2.28   1.65   2.79   5.31   2.27   8.71   2.49   2.03   4.36   2.94   3.76  27.74   1.83   2.88   2.24   1.46   1.73   2.35 
S     7.54   2.63   5.26   5.17   2.41   6.91   4.27   2.53   5.29   2.66   3.53   6.55   6.51   3.25   4.86  26.36  10.90   3.64   1.77   2.17   5.37 
T     4.98   2.13   3.31   6.83   2.65   3.78   3.64   4.51   5.01   3.70   4.21   5.47   3.99   3.04   4.65  10.40  26.95   6.09   1.24   3.05   5.21 
V     5.46   2.73   1.36   3.49   5.91   2.60   2.99  14.41   3.55   9.23   8.36   1.68   3.28   3.17   3.44   2.91   5.44  22.90   3.20   5.56  11.76 
W     0.59   0.32   0.20   0.37   3.40   0.38   0.87   0.73   0.44   1.05   1.29   0.17   0.27   0.75   0.60   0.23   0.31   0.68  51.26   3.39   0.27 
Y     1.60   1.69   1.48   0.89   9.20   1.11   6.73   2.64   1.96   2.90   3.39   1.68   1.21   1.36   2.24   0.99   1.43   2.25   6.80  39.40   2.63 
J     0.67   0.12   0.09   1.24   0.56   0.40   0.87   0.65   0.27   0.59   0.40   0.10   0.19   0.11   0.32   0.91   0.48   0.92   0.22   0.33  19.37 
>HASOn 1
#        A      C      D      E      F      G      H      I      K      L      M      N      P      Q      R      S      T      V      W      Y      J 
A    28.48   3.52   8.63  12.06   4.55   9.54   8.95   6.53  12.79   6.02   8.00   5.90   7.92   9.57   7.64  12.42   7.62   9.34   4.12   3.83  12.76 
C     0.09  63.64   0.01   0.04   0.19   0.12   0.06   0.06   0.02   0.09   0.17   0.01   0.06   0.34   0.23   0.02   0.03   0.11   0.12   0.10   0.11 
D     4.95   2.30  25.27  10.88   1.58   4.86   2.72   1.74   5.46   1.83   1.72   7.22   5.26   8.02   3.98   6.72   4.26   2.10   1.54   2.78   2.20 
E     5.95   2.35  12.66  31.79   1.77   4.01   4.74   2.19   5.32   2.35   2.73   7.91   4.92   9.45   4.43   6.18   6.12   3.00   1.45   2.14   3.78 
F     1.73   2.42   1.20   0.89  33.19   0.97   3.13   4.53   2.18   6.33   5.20   1.32   1.17   1.05   1.37   0.88   0.84   3.65   8.90  15.10   3.65 
G     6.70   3.13   4.13   3.75   1.89  44.79   2.05   2.02   2.82   2.20   2.68   3.90   4.64   3.95   3.28   7.03   4.48   2.59   2.47   1.50   3.95 
H     1.17   1.03   1.73   1.29   1.75   1.02  23.66   0.84   1.15   1.01   1.19   4.15   1.20   1.63   3.22   1.20   2.61   0.93   2.00   2.39   1.40 
I     3.25   1.15   1.04   0.74   5.94   1.37   2.22  24.57   4.72  10.38   9.16   2.58   2.06   2.59   3.36   1.58   4.18  12.42   2.15   4.23   7.96 
K     6.52   1.29   7.88   7.61   2.40   4.42   5.42   3.16  29.56   3.47   4.28   8.44   5.41  10.51  11.52   5.25   8.47   3.59   3.20   3.00   5.66 
L     4.97   2.66   2.19   2.08  13.67   2.28   5.13  16.86   4.23  33.60  19.29   4.23   3.20   4.19   3.33   5.18   7.57  12.44   6.89   4.65   8.62 
M     1.53   0.68   0.38   0.34   2.62   0.76   1.07   3.65   1.76   4.68  14.98   0.49   0.57   1.65   0.83   1.33   1.43   2.53   1.46   1.95   3.26 
N     3.22   1.39   6.65   4.02   1.71   4.28   7.30   1.83   3.37   1.89   2.50  26.54   3.23   5.12   4.70   4.72   5.64   1.85   0.88   2.16   1.13 
P     3.27   1.18   2.90   1.84   1.17   2.53   1.74   1.68   1.26   1.69   1.20   1.61  38.93   2.69   1.68   2.77   1.43   1.87   0.63   1.52   1.38 
Q     3.58   2.35   5.90   5.58   1.61   2.38   3.92   1.70   2.93   1.80   3.48   4.57   3.13  18.51   3.04   3.66   2.81   2.19   1.33   1.25   1.92 
R     2.99   1.50   5.05   4.96   1.50   2.52   4.18   1.95   8.85   2.22   2.33   4.54   2.86   6.02  34.56   4.21   4.09   2.03   1.31   6.75   4.76 
S     7.53   2.25   6.30   4.70   2.36   6.43   6.22   2.34   3.02   2.54   3.60   4.76   6.31   6.00   4.35  20.64  10.46   3.38   2.04   2.51   4.47 
T     4.97   2.12   3.66   3.43   2.57   3.49   6.27   4.20   4.55   3.55   4.30   4.84   4.12   3.92   3.13   9.63  16.69   5.78   2.00   3.16   4.30 
V     6.07   2.79   2.83   2.70   6.20   2.41   4.99  16.21   3.33   9.96   8.37   3.89   3.25   2.87   2.17   4.62   8.56  26.34   2.90   4.01  11.51 
W     0.59   0.33   0.12   0.62   3.43   0.38   0.87   0.72   0.56   1.02   1.42   0.39   0.29   0.47   0.61   0.12   0.11   0.66  46.80   5.57   0.26 
Y     1.68   1.70   1.19   0.61   9.32   1.08   4.75   2.60   1.94   2.77   2.95   2.53   1.25   1.39   2.41   1.21   2.04   2.25   7.62  31.08   3.35 
J     0.76   0.22   0.27   0.07   0.58   0.37   0.61   0.63   0.18   0.58   0.47   0.17   0.21   0.07   0.15   0.61   0.56   0.93   0.20   0.32  13.56 
>HASoN 2
#        A      C      D      E      F      G      H      I      K      L      M      N      P      Q      R      S      T      V      W      Y      J 
A    28.48   3.52   9.22   6.42   4.55   9.54   5.77   6.53   8.84   6.02   7.85   6.67   7.92   5.53   6.82   8.80   6.30   9.34   3.94   4.12  14.44 
C     0.09  63.64   0.03   0.02   0.19   0.12   0.11   0.06   0.06   0.09   0.11   0.05   0.06   0.05   0.09   0.06   0.14   0.11   0.11   0.09   0.29 
