#
# Environment-specific amino acid substitution matrices
# Creator: subst version 1.15
# CreationDate: 16/11/2007 16:33:44
#
# Definitions for structural environments:
# 6 features used
#
# domain interface;TF;Dd;T;T
# secondary structure and phi angle;HEPC;HEPC;F;F
# solvent accessibility;TF;Aa;F;F
# hydrogen bond to other sidechain/heterogen;TF;Ss;F;F
# hydrogen bond to mainchain CO;TF;Oo;F;F
# hydrogen bond to mainchain NH;TF;Nn;F;F
#
# (read in from classdef.dat)
#
# Number of alignments: 177
# (list of .tem files read in from TEMLIST.new_allmask_ft_only)
#
# Total number of structures: 706
#
# Total number of raw substitution counts: 561258
#   0 HASON     773
#   1 HASOn    6129
#   2 HASoN    1959
#   3 HASon   21275
#   4 HAsON    1119
#   5 HAsOn   15538
#   6 HAsoN    1476
#   7 HAson   85306
#   8 HaSON     741
#   9 HaSOn    2783
#  10 HaSoN    1164
#  11 HaSon    3418
#  12 HasON    1285
#  13 HasOn    4100
#  14 HasoN     587
#  15 Hason   51884
#  16 EASON     330
#  17 EASOn    2134
#  18 EASoN    1106
#  19 EASon   12520
#  20 EAsON     829
#  21 EAsOn    3556
#  22 EAsoN    1397
#  23 EAson   41499
#  24 EaSON     806
#  25 EaSOn    2289
#  26 EaSoN    1165
#  27 EaSon    5310
#  28 EasON    1117
#  29 EasOn    2904
#  30 EasoN     642
#  31 Eason   51125
#  32 PASON      87
#  33 PASOn     541
#  34 PASoN     289
#  35 PASon    1779
#  36 PAsON     222
#  37 PAsOn    1296
#  38 PAsoN     311
#  39 PAson   26464
#  40 PaSON      57
#  41 PaSOn     103
#  42 PaSoN     107
#  43 PaSon     147
#  44 PasON      83
#  45 PasOn      63
#  46 PasoN      26
#  47 Pason    6065
#  48 CASON    1558
#  49 CASOn    4477
#  50 CASoN    7538
#  51 CASon   18864
#  52 CAsON    3081
#  53 CAsOn   10956
#  54 CAsoN    8249
#  55 CAson   95059
#  56 CaSON    1489
#  57 CaSOn    1613
#  58 CaSoN    2003
#  59 CaSon    3414
#  60 CasON    2162
#  61 CasOn    2509
#  62 CasoN     948
#  63 Cason   31432
#
# Number of counts discarded due to constraints: 0
#
# Number of counts discarded due to masking: 12069
#
# Total number of environments: 64
# Weighting scheme: clustering at PID 60 level
#
# Smoothing:
# p1(ri) (i.e., amino acid composition) is estimated by summing over
# each row in all matrices (no smoothing)
#                           ^^^^^^^^^^^^
# p2(ri|Rj) is estimated as:
#    p2(ri|Rj) = omega1 * p1(ri) + omega2 * W2(ri|Rj)
# 
# p3(ri|Rj,fq) is estimated as:
#    p3(ri|Rj,fq) = omega1 * A2(ri|fq) + omega2 * W3(ri|Rj,fq)
# where
#    A2(ri|fq) = p2(ri|fq) (fixed fq; partial smoothing)
# 
# The smoothing procedure is curtailed here and finally
# p5(ri|Rj,...) is estimated as:
#    p5(ri|Rj,...) = omega1 * A3(ri|Rj,fq) + omega2 * W5(ri|Rj...)
# where
#    A3(ri|Rj,fq) = sum over fq omega_c * pc3(Rj,fq)
# 
# Weights (omegas) are calculated as in Topham et al. 1993)
# 
# sigma value used is:  5.00
# 
# Each column (j) represents the probability distribution for the 
# likelihood of acceptance of a mutational event by a residue type j in 
# a particular structural environment (specified after >) leading to 
# any other residue type (i).
#
# The probabilities were then divided by the background probabilities
# which were derived from the environment-independent amino acid frequencies.
#                             ^^^^^^^^^^^^^^^^^^^^^^^
# See Eq. 3 of Shi et al. (2001) for more detail.
#
# Shown here are logarithms of these values multiplied by 3/log(2) 
# rounded to the nearest integer (log-odds scores in 1/3 bit units).
#
# There are 21 amino acids considered:
# ACDEFGHIKLMNPQRSTVWYJ
# where C represents half-cystine (disulphide bonded)
# and J represents cysteine (non disulphide bonded).
#
# The sequence has an additional row for 'U', which means
# both half-cystine and cysteine (with no distinction) and
# this should normally correspond to Cys in amino acid sequences.
#
# For total (composite) matrix, Entropy = 0.6103 bits, Expected score = -0.5180
#
>HASON 0
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      5   -4   -1   -1   -2    1   -1   -1    0   -1   -1   -5    0   -1   -1    1   -1    1   -4   -1    2 
C     -8   23   -7   -9   -5   -6   -6   -9   -7   -7   -3  -13   -9   -7   -5  -10   -5   -7   -5   -6   -2 
D      0   -3    9    2   -5    0   -2   -5   -1   -4   -6    2    0    1   -2   -2    0   -4   -6   -5   -5 
E      1   -3    2    8   -4   -1   -1   -3    1   -3   -2    0    0    4    0    0   -2   -2   -5   -3   -3 
F     -4   -3   -3   -6    9   -6    0    0   -5    2    1   -3   -6   -4   -5   -3   -3   -1    3    4    0 
G     -1   -4   -4   -4   -6    7   -4   -6   -3   -6   -5   -3   -3   -6   -4    0   -4   -5   -6   -7   -2 
H     -2   -3    1   -4    0   -2   11   -3    0   -2   -2    1   -2    1    1    0    0   -2   -2    1   -1 
I     -3   -7   -9   -8    0   -6   -5    6   -3    2    2   -6   -4   -4   -4   -6   -1    3   -3   -2    0 
K      1   -6   -2   -2   -3   -1   -1   -2    6   -2   -2    1    0    0    3    0   -1   -1   -6   -5   -4 
L     -2   -5   -8   -7    2   -5   -4    3   -3    6    3   -5   -4   -4   -3   -4   -2    1   -2   -1    0 
M     -1   -5   -9   -6    1   -4   -2    3   -2    4   10    0   -4    0   -2    0   -1    1   -1   -1    0 
N     -1   -5    3    1   -4    0    2   -4    0   -3   -2    9   -2   -1   -1    1    2   -3   -6   -4   -3 
P     -1   -6   -3   -5   -6   -2   -1   -4   -2   -4   -5   -5    9   -4   -3   -3   -3   -3   -8   -4   -2 
Q      0   -1   -1    6   -3   -1    1   -3    2   -3    0    2   -1    9    1   -1   -1   -2   -4   -4   -3 
R     -1   -4   -4   -3   -3   -2    1   -3    3   -2   -2    1   -1    0    9   -3   -1   -2   -4   -4   -3 
S      1   -4   -1   -2   -4    0   -2   -4   -1   -4   -3    0    0   -3   -1    6    2   -2   -6   -3   -1 
T     -1   -4   -3    0   -4   -2   -2   -1   -1   -2   -2   -1   -2   -3   -1    3    7    0   -7   -3    0 
V     -1   -5   -6   -3   -1   -5   -4    3   -3    1    0   -7   -4   -4   -4   -4   -2    5   -4   -1    2 
W     -4   -7   -9   -7    3   -5   -3   -3   -6   -1   -1   -9   -7   -3   -3   -8   -8   -3   15    3   -8 
Y     -3   -3   -4   -6    4   -5    3   -1   -3   -1    0   -4   -5   -4   -2   -6   -4   -2    3   10   -2 
J      1   -6   -8    3    0    0    1    0   -3    0   -2   -6   -4   -7   -3    2   -1    2   -5   -1   15 
U     -1   18   -8    1   -1   -2    0   -1   -4   -1   -2   -7   -5   -7   -4    0   -2    0   -5   -2   13 
>HASOn 1
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      5   -4    0    1   -3    0    0   -1    2   -2   -1   -1    0    0    0    2   -1    0   -3   -4    2 
C     -6   23  -15   -9   -3   -5   -9   -8  -14   -7   -3  -17   -8   -1   -2  -13   -5   -6   -5   -6   -4 
D     -1   -4    6    3   -5   -1   -3   -5   -1   -5   -6    1    0    1   -2    0   -1   -4   -6   -2   -4 
E      0   -3    4    8   -4   -1   -1   -4    0   -3   -2    2    0    2   -1    0    0   -2   -4   -4   -2 
F     -4   -3   -5   -7    9   -6   -2    0   -3    2    1   -5   -6   -7   -4   -6   -7   -1    4    5   -1 
G     -1   -4   -3   -3   -6    7   -6   -6   -5   -6   -5   -4   -3   -3   -5   -1   -3   -5   -5   -8   -2 
H     -2   -3   -1    0    0   -2   11   -3   -3   -3   -2    3   -2    1    2   -2    1   -3    0    1   -2 
I     -2   -7   -6   -7    0   -6   -3    6   -1    2    2   -4   -4   -4   -3   -5   -1    3   -4   -2    1 
K      0   -6    1    1   -4   -1   -1   -3    7   -2   -2    1    0    3    3   -1    1   -2   -3   -3    0 
L     -2   -5   -6   -7    2   -6   -2    3   -3    6    3   -3   -4   -3   -4   -2   -1    1   -1   -3    0 
