#
# Environment-specific amino acid substitution matrices
# Creator: subst version 1.15
# CreationDate: 20/11/2007 14:42:30
#
# Definitions for structural environments:
# 6 features used
#
# domain interface;TF;Dd;T;T
# secondary structure and phi angle;HEPC;HEPC;F;F
# solvent accessibility;TF;Aa;F;F
# hydrogen bond to other sidechain/heterogen;TF;Ss;F;F
# hydrogen bond to mainchain CO;TF;Oo;F;F
# hydrogen bond to mainchain NH;TF;Nn;F;F
#
# (read in from classdef.dat)
#
# Number of alignments: 177
# (list of .tem files read in from TEMLIST.new_allmask_ddi)
#
# Total number of structures: 706
#
# Total number of raw substitution counts: 497872
#   0 HASON     741
#   1 HASOn    5203
#   2 HASoN    1731
#   3 HASon   17754
#   4 HAsON     956
#   5 HAsOn   12930
#   6 HAsoN    1243
#   7 HAson   69508
#   8 HaSON     750
#   9 HaSOn    3014
#  10 HaSoN    1044
#  11 HaSon    3600
#  12 HasON    1099
#  13 HasOn    3699
#  14 HasoN     540
#  15 Hason   48763
#  16 EASON     300
#  17 EASOn    1875
#  18 EASoN    1021
#  19 EASon   11366
#  20 EAsON     786
#  21 EAsOn    2989
#  22 EAsoN    1207
#  23 EAson   36819
#  24 EaSON     853
#  25 EaSOn    2136
#  26 EaSoN    1156
#  27 EaSon    5016
#  28 EasON    1033
#  29 EasOn    2654
#  30 EasoN     615
#  31 Eason   49220
#  32 PASON      86
#  33 PASOn     454
#  34 PASoN     240
#  35 PASon    1514
#  36 PAsON     181
#  37 PAsOn     989
#  38 PAsoN     280
#  39 PAson   23606
#  40 PaSON      53
#  41 PaSOn      87
#  42 PaSoN     103
#  43 PaSon     129
#  44 PasON      77
#  45 PasOn      65
#  46 PasoN      32
#  47 Pason    5962
#  48 CASON    1624
#  49 CASOn    4087
#  50 CASoN    6891
#  51 CASon   16656
#  52 CAsON    2628
#  53 CAsOn    9312
#  54 CAsoN    6990
#  55 CAson   80300
#  56 CaSON    1688
#  57 CaSOn    1640
#  58 CaSoN    2163
#  59 CaSon    3360
#  60 CasON    1987
#  61 CasOn    2275
#  62 CasoN     910
#  63 Cason   29882
#
# Number of counts discarded due to constraints: 0
#
# Number of counts discarded due to masking: 41867
#
# Total number of environments: 64
# Weighting scheme: clustering at PID 60 level
#
# Smoothing:
# p1(ri) (i.e., amino acid composition) is estimated by summing over
# each row in all matrices (no smoothing)
#                           ^^^^^^^^^^^^
# p2(ri|Rj) is estimated as:
#    p2(ri|Rj) = omega1 * p1(ri) + omega2 * W2(ri|Rj)
# 
# p3(ri|Rj,fq) is estimated as:
#    p3(ri|Rj,fq) = omega1 * A2(ri|fq) + omega2 * W3(ri|Rj,fq)
# where
#    A2(ri|fq) = p2(ri|fq) (fixed fq; partial smoothing)
# 
# The smoothing procedure is curtailed here and finally
# p5(ri|Rj,...) is estimated as:
#    p5(ri|Rj,...) = omega1 * A3(ri|Rj,fq) + omega2 * W5(ri|Rj...)
# where
#    A3(ri|Rj,fq) = sum over fq omega_c * pc3(Rj,fq)
# 
# Weights (omegas) are calculated as in Topham et al. 1993)
# 
# sigma value used is:  5.00
# 
# Each column (j) represents the probability distribution for the 
# likelihood of acceptance of a mutational event by a residue type j in 
# a particular structural environment (specified after >) leading to 
# any other residue type (i) and sums up to 100.
#
# There are 21 amino acids considered:
# ACDEFGHIKLMNPQRSTVWYJ
# where C represents half-cystine (disulphide bonded)
# and J represents cysteine (non disulphide bonded).
#
# The sequence has an additional row for 'U', which means
# both half-cystine and cysteine (with no distinction) and
# this should normally correspond to Cys in amino acid sequences.
#
>HASON 0
#        A      C      D      E      F      G      H      I      K      L      M      N      P      Q      R      S      T      V      W      Y      J 
A    27.55   2.21   6.28   6.59   4.97  10.78   6.77   7.17   8.50   6.56   7.02   3.15   8.51   6.46   6.61  11.59   6.60  10.46   3.87   5.70  10.93 
C     0.22  78.09   0.13   0.11   0.28   0.19   0.16   0.15   0.19   0.24   0.28   0.17   0.08   0.14   0.22   0.11   0.19   0.15   0.33   0.29   0.55 
D     5.34   1.47  43.83   9.22   1.67   5.00   3.05   1.89   4.78   2.01   1.49   9.72   5.67   6.98   3.95   3.77   5.97   2.42   1.19   1.83   1.41 
E     6.60   1.37   9.69  37.22   1.98   4.44   3.78   2.59   6.91   2.64   2.71   5.36   5.41  13.06   5.47   6.20   3.58   3.43   1.64   2.53   2.21 
F     1.62   0.89   1.75   0.96  31.80   0.95   3.69   4.33   1.44   6.37   5.21   2.17   1.06   1.56   1.39   1.98   1.37   3.63   9.86  10.21   3.43 
G     6.46   1.31   3.53   3.37   1.90  41.17   3.03   2.13   4.05   2.29   2.58   4.25   4.68   2.23   3.86   7.77   3.31   2.75   1.82   1.67   3.37 
H     1.25   0.52   2.50   0.69   1.78   1.06  36.45   0.93   1.85   1.16   0.97   2.81   1.29   2.33   2.47   1.39   1.32   1.18   1.27   2.18   1.42 
I     3.05   0.75   0.73   0.85   5.69   1.42   1.68  22.98   2.72   9.91   8.48   1.51   2.02   2.27   2.45   1.15   3.27  11.40   2.27   3.84   4.24 
K     7.11   1.22   3.06   3.36   2.63   4.91   4.16   3.69  27.26   3.97   3.78   5.86   5.72   5.42  12.43   5.96   4.96   4.19   1.69   1.83   2.02 
L     4.87   1.95   1.30   1.56  14.45   2.32   3.00  16.95   4.11  31.93  16.73   2.72   3.11   4.37   4.14   3.54   4.88  12.47   5.76   7.09   6.46 
M     1.49   0.18   0.29   0.39   2.77   0.81   0.88   3.91   1.24   4.81  19.65   2.32   0.54   2.84   1.04   1.76   1.81   2.78   1.62   1.71   1.44 
N     3.36   2.15   9.34   4.41   1.67   4.33   5.72   1.99   4.31   2.00   3.13  32.80   3.19   3.51   4.08   5.40   7.89   1.99   0.96   1.86   0.99 
P     3.20   0.49   1.93   1.21   1.05   2.56   2.85   1.69   2.81   1.69   1.03   1.55  36.91   1.68   2.39   2.09   1.95   1.94   0.62   2.47   2.34 
Q     3.92   1.62   2.75  12.31   1.62   2.54   3.54   1.94   5.40   2.00   3.59   5.40   3.45  32.26   4.90   3.68   3.45   2.49   1.43   1.32   1.37 
R     3.26   0.80   1.67   2.81   1.64   2.72   4.60   2.32   8.47   2.51   1.97   4.79   2.93   3.64  28.68   2.92   2.81   2.32   1.61   1.76   1.81 
S     7.48   1.66   5.05   4.09   2.38   6.78   3.65   2.48   5.11   2.62   3.40   6.53   6.44   3.12   4.77  25.86  10.89   3.60   1.82   2.13   4.13 
T     4.93   0.85   3.20   6.01   2.63   3.66   3.00   4.46   4.79   3.68   4.22   5.37   4.04   2.96   4.55  10.01  28.27   6.05   1.24   2.96   4.05 
V     5.50   1.04   1.26   2.79   5.91   2.51   2.68  14.31   3.47   9.10   8.30   1.62   3.28   3.04   3.43   2.75   5.28  22.94   3.15   5.42   8.85 
W     0.58   0.32   0.19   0.30   3.40   0.39   0.71   0.71   0.45   1.03   1.26   0.17   0.27   0.72   0.62   0.22   0.29   0.67  50.74   3.32   0.19 
Y     1.57   0.83   1.43   0.73   9.23   1.07   5.91   2.70   1.88   2.88   3.78   1.65   1.22   1.31   2.25   0.96   1.43   2.21   6.88  39.52   2.09 
J     0.66   0.26   0.09   1.02   0.55   0.39   0.70   0.68   0.27   0.62   0.43   0.10   0.19   0.11   0.31   0.88   0.50   0.93   0.21   0.36  36.69 
