#
# Environment-specific amino acid substitution matrices
# Creator: subst version 1.15
# CreationDate: 30/11/2007 20:14:32
#
# Definitions for structural environments:
# 6 features used
#
# domain interface;TF;Dd;T;T
# secondary structure and phi angle;HEPC;HEPC;F;F
# solvent accessibility;TF;Aa;F;F
# hydrogen bond to other sidechain/heterogen;TF;Ss;F;F
# hydrogen bond to mainchain CO;TF;Oo;F;F
# hydrogen bond to mainchain NH;TF;Nn;F;F
#
# (read in from classdef.dat)
#
# Number of alignments: 177
# (list of .tem files read in from TEMLIST.new_allmask_ppi_and_act)
#
# Total number of structures: 706
#
# Total number of raw substitution counts: 493194
#   0 HASON     733
#   1 HASOn    5134
#   2 HASoN    1695
#   3 HASon   17399
#   4 HAsON     941
#   5 HAsOn   12902
#   6 HAsoN    1213
#   7 HAson   69315
#   8 HaSON     669
#   9 HaSOn    2806
#  10 HaSoN    1031
#  11 HaSon    3333
#  12 HasON    1086
#  13 HasOn    3668
#  14 HasoN     538
#  15 Hason   48732
#  16 EASON     295
#  17 EASOn    1853
#  18 EASoN     959
#  19 EASon   11184
#  20 EAsON     786
#  21 EAsOn    2974
#  22 EAsoN    1193
#  23 EAson   36784
#  24 EaSON     852
#  25 EaSOn    2127
#  26 EaSoN    1111
#  27 EaSon    4777
#  28 EasON    1033
#  29 EasOn    2639
#  30 EasoN     599
#  31 Eason   49177
#  32 PASON      86
#  33 PASOn     452
#  34 PASoN     238
#  35 PASon    1465
#  36 PAsON     181
#  37 PAsOn     989
#  38 PAsoN     279
#  39 PAson   23318
#  40 PaSON      52
#  41 PaSOn      85
#  42 PaSoN     102
#  43 PaSon     107
#  44 PasON      77
#  45 PasOn      65
#  46 PasoN      23
#  47 Pason    5741
#  48 CASON    1601
#  49 CASOn    4028
#  50 CASoN    6773
#  51 CASon   16192
#  52 CAsON    2628
#  53 CAsOn    9286
#  54 CAsoN    6943
#  55 CAson   79951
#  56 CaSON    1624
#  57 CaSOn    1618
#  58 CaSoN    1948
#  59 CaSon    3079
#  60 CasON    1866
#  61 CasOn    2255
#  62 CasoN     889
#  63 Cason   29715
#
# Number of counts discarded due to constraints: 0
#
# Number of counts discarded due to masking: 43992
#
# Total number of environments: 64
# Weighting scheme: clustering at PID 60 level
#
# Smoothing:
# p1(ri) (i.e., amino acid composition) is estimated by summing over
# each row in all matrices (no smoothing)
#                           ^^^^^^^^^^^^
# p2(ri|Rj) is estimated as:
#    p2(ri|Rj) = omega1 * p1(ri) + omega2 * W2(ri|Rj)
# 
# p3(ri|Rj,fq) is estimated as:
#    p3(ri|Rj,fq) = omega1 * A2(ri|fq) + omega2 * W3(ri|Rj,fq)
# where
#    A2(ri|fq) = p2(ri|fq) (fixed fq; partial smoothing)
# 
# The smoothing procedure is curtailed here and finally
# p5(ri|Rj,...) is estimated as:
#    p5(ri|Rj,...) = omega1 * A3(ri|Rj,fq) + omega2 * W5(ri|Rj...)
# where
#    A3(ri|Rj,fq) = sum over fq omega_c * pc3(Rj,fq)
# 
# Weights (omegas) are calculated as in Topham et al. 1993)
# 
# sigma value used is:  5.00
# 
# Each column (j) represents the probability distribution for the 
# likelihood of acceptance of a mutational event by a residue type j in 
# a particular structural environment (specified after >) leading to 
# any other residue type (i).
#
# The probabilities were then divided by the background probabilities
# which were derived from the environment-independent amino acid frequencies.
#                             ^^^^^^^^^^^^^^^^^^^^^^^
# See Eq. 3 of Shi et al. (2001) for more detail.
#
# Shown here are logarithms of these values multiplied by 3/log(2) 
# rounded to the nearest integer (log-odds scores in 1/3 bit units).
#
# There are 21 amino acids considered:
# ACDEFGHIKLMNPQRSTVWYJ
# where C represents half-cystine (disulphide bonded)
# and J represents cysteine (non disulphide bonded).
#
# The sequence has an additional row for 'U', which means
# both half-cystine and cysteine (with no distinction) and
# this should normally correspond to Cys in amino acid sequences.
#
# For total (composite) matrix, Entropy = 0.6717 bits, Expected score = -0.5624
#
>HASON 0
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      5   -6   -1   -1   -2    1   -1   -1    0   -1   -1   -4    0   -1   -1    1   -1    1   -4   -2    1 
C     -7   18   -9  -10   -6   -8   -8   -9   -8   -7   -6   -8  -12   -9   -7  -10   -8   -9   -6   -6   -3 
D      0   -6    9    2   -5   -1   -3   -5   -1   -5   -6    2    0    1   -2   -2    0   -4   -7   -5   -6 
E      1   -6    3    8   -4   -1   -1   -3    1   -3   -3    0    0    4    0    1   -2   -2   -5   -3   -4 
F     -4   -7   -4   -6    9   -6    0    0   -5    2    1   -3   -6   -4   -5   -3   -5   -1    4    4   -1 
G     -1   -8   -4   -4   -7    7   -4   -6   -3   -6   -5   -3   -3   -6   -3    0   -4   -5   -7   -7   -4 
H     -2   -6    1   -4    0   -3   12   -3    0   -2   -3    2   -2    1    1   -2   -2   -2   -2    0   -1 
I     -3   -9   -9   -8    0   -6   -5    6   -3    2    2   -6   -5   -4   -4   -7   -2    3   -4   -2   -1 
K      1   -7   -3   -2   -3   -1   -1   -2    6   -2   -2    0    0    0    3    0   -1   -1   -5   -5   -5 
L     -2   -7   -8   -7    2   -6   -4    3   -3    6    3   -5   -4   -3   -3   -4   -2    2   -2   -1   -1 
M     -1  -10   -8   -7    2   -4   -3    3   -2    4   10    1   -5    2   -3    0    0    2   -1   -1   -1 
N     -1   -3    3   -1   -4    0    1   -4    0   -4   -2    9   -1   -1    0    1    2   -4   -7   -4   -6 
P     -1   -9   -3   -5   -6   -2   -2   -4   -2   -4   -6   -4    9   -4   -2   -3   -3   -3   -8   -2   -3 
Q      0   -3   -1    6   -3   -1    0   -3    2   -2    0    2    0   10    1    0    0   -2   -4   -4   -4 
R     -1   -7   -4   -1   -4   -1    1   -2    4   -2   -3    1   -1    0    9   -1   -1   -2   -4   -3   -3 
S      1   -6   -1   -2   -4    0   -2   -4   -1   -4   -3    0    0   -3   -1    6    2   -3   -5   -5   -2 
T     -1   -8   -3    0   -4   -2   -3   -1   -1   -2   -1    0   -2   -3   -1    2    7    0   -7   -3   -2 
V     -2   -9   -8   -4   -1   -5   -4    3   -3    1    0   -7   -4   -4   -4   -4   -2    5   -4   -2    1 
W     -4   -7   -9   -7    4   -6   -3   -3   -5   -1   -1   -9   -7   -3   -4   -8   -7   -3   15    4   -9 
Y     -3   -6   -4   -7    4   -5    2   -1   -3   -1    0   -3   -5   -4   -2   -6   -4   -2    3   10   -2 
J      0   -4   -9    2   -1   -3    0    0   -4   -1   -2   -8   -6   -8   -4    1   -1    1   -5   -3   17 
U     -3   16   -9   -2   -4   -5   -3   -4   -6   -3   -4   -8   -8   -9   -5   -3   -4   -2   -5   -5   13 
>HASOn 1
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      5   -6    0    1   -3    0   -1   -1    2   -2    0   -2    0    0   -1    1    0    0   -3   -4    0 
C     -7   18   -8  -11   -5   -8  -12   -9   -9   -7   -6  -13  -11    0   -7  -12  -13   -8   -6   -7   -5 
D     -1   -6    7    3   -6   -1   -4   -5    0   -5   -5    1    0    1   -2    1   -1   -4   -6   -3   -5 
E      1   -6    4    8   -5   -1   -1   -4    0   -3   -3    2    0    3    0    1    1   -2   -6   -4   -2 
F     -4   -6   -6   -7    9   -7   -2    0   -3    2    1   -5   -6   -6   -5   -7   -7   -1    3    5   -2 
G     -1   -8   -3   -4   -7    7   -7   -6   -5   -6   -5   -3   -3   -3   -4   -1   -3   -5   -5   -8   -5 
H     -2   -6   -1   -2   -1   -3   12   -4   -2   -3   -2    3   -2   -1    2   -2    1   -3    0    1   -3 
I     -2   -9   -8   -9    0   -6   -5    6   -1    3    2   -3   -4   -3   -2   -6   -1    3   -4   -1    1 
K      0   -7    1    1   -4   -1   -1   -3    7   -2   -1    2    0    2    3    0    1   -2   -3   -3   -1 
L     -2   -7   -6   -6    2   -6   -3    3   -3    6    3   -3   -4   -3   -4   -2   -1    2   -1   -3   -1 
