#
# Environment-specific amino acid substitution matrices
# Creator: subst version 1.15
# CreationDate: 30/11/2007 20:13:31
#
# Definitions for structural environments:
# 6 features used
#
# domain interface;TF;Dd;T;T
# secondary structure and phi angle;HEPC;HEPC;F;F
# solvent accessibility;TF;Aa;F;F
# hydrogen bond to other sidechain/heterogen;TF;Ss;F;F
# hydrogen bond to mainchain CO;TF;Oo;F;F
# hydrogen bond to mainchain NH;TF;Nn;F;F
#
# (read in from classdef.dat)
#
# Number of alignments: 177
# (list of .tem files read in from TEMLIST.new_allmask_ppi_and_act)
#
# Total number of structures: 706
#
# Total number of raw substitution counts: 493194
#   0 HASON     733
#   1 HASOn    5134
#   2 HASoN    1695
#   3 HASon   17399
#   4 HAsON     941
#   5 HAsOn   12902
#   6 HAsoN    1213
#   7 HAson   69315
#   8 HaSON     669
#   9 HaSOn    2806
#  10 HaSoN    1031
#  11 HaSon    3333
#  12 HasON    1086
#  13 HasOn    3668
#  14 HasoN     538
#  15 Hason   48732
#  16 EASON     295
#  17 EASOn    1853
#  18 EASoN     959
#  19 EASon   11184
#  20 EAsON     786
#  21 EAsOn    2974
#  22 EAsoN    1193
#  23 EAson   36784
#  24 EaSON     852
#  25 EaSOn    2127
#  26 EaSoN    1111
#  27 EaSon    4777
#  28 EasON    1033
#  29 EasOn    2639
#  30 EasoN     599
#  31 Eason   49177
#  32 PASON      86
#  33 PASOn     452
#  34 PASoN     238
#  35 PASon    1465
#  36 PAsON     181
#  37 PAsOn     989
#  38 PAsoN     279
#  39 PAson   23318
#  40 PaSON      52
#  41 PaSOn      85
#  42 PaSoN     102
#  43 PaSon     107
#  44 PasON      77
#  45 PasOn      65
#  46 PasoN      23
#  47 Pason    5741
#  48 CASON    1601
#  49 CASOn    4028
#  50 CASoN    6773
#  51 CASon   16192
#  52 CAsON    2628
#  53 CAsOn    9286
#  54 CAsoN    6943
#  55 CAson   79951
#  56 CaSON    1624
#  57 CaSOn    1618
#  58 CaSoN    1948
#  59 CaSon    3079
#  60 CasON    1866
#  61 CasOn    2255
#  62 CasoN     889
#  63 Cason   29715
#
# Number of counts discarded due to constraints: 0
#
# Number of counts discarded due to masking: 43992
#
# Total number of environments: 64
# Weighting scheme: clustering at PID 60 level
#
# Smoothing:
# p1(ri) (i.e., amino acid composition) is estimated by summing over
# each row in all matrices (no smoothing)
#                           ^^^^^^^^^^^^
# p2(ri|Rj) is estimated as:
#    p2(ri|Rj) = omega1 * p1(ri) + omega2 * W2(ri|Rj)
# 
# p3(ri|Rj,fq) is estimated as:
#    p3(ri|Rj,fq) = omega1 * A2(ri|fq) + omega2 * W3(ri|Rj,fq)
# where
#    A2(ri|fq) = p2(ri|fq) (fixed fq; partial smoothing)
# 
# The smoothing procedure is curtailed here and finally
# p5(ri|Rj,...) is estimated as:
#    p5(ri|Rj,...) = omega1 * A3(ri|Rj,fq) + omega2 * W5(ri|Rj...)
# where
#    A3(ri|Rj,fq) = sum over fq omega_c * pc3(Rj,fq)
# 
# Weights (omegas) are calculated as in Topham et al. 1993)
# 
# sigma value used is:  5.00
# 
# Each column (j) represents the probability distribution for the 
# likelihood of acceptance of a mutational event by a residue type j in 
# a particular structural environment (specified after >) leading to 
# any other residue type (i) and sums up to 100.
#
# There are 21 amino acids considered:
# ACDEFGHIKLMNPQRSTVWYJ
# where C represents half-cystine (disulphide bonded)
# and J represents cysteine (non disulphide bonded).
#
# The sequence has an additional row for 'U', which means
# both half-cystine and cysteine (with no distinction) and
# this should normally correspond to Cys in amino acid sequences.
#
>HASON 0
#        A      C      D      E      F      G      H      I      K      L      M      N      P      Q      R      S      T      V      W      Y      J 
A    27.56   2.24   6.38   6.92   4.99  10.84   6.97   7.17   8.68   6.57   7.06   3.19   8.54   6.47   6.66  11.68   6.74  10.47   3.87   5.75  11.15 
C     0.22  78.09   0.13   0.12   0.28   0.19   0.17   0.15   0.19   0.23   0.28   0.17   0.08   0.15   0.22   0.11   0.19   0.15   0.33   0.29   0.56 
D     5.33   1.49  42.99   9.61   1.67   5.01   3.12   1.88   4.90   2.01   1.50   9.81   5.68   6.99   3.96   3.83   6.05   2.42   1.20   1.85   1.43 
E     6.59   1.39   9.78  35.25   1.98   4.46   3.91   2.57   7.10   2.63   2.72   5.39   5.38  13.04   5.51   6.25   3.65   3.43   1.64   2.54   2.14 
F     1.62   0.90   1.76   1.01  31.70   0.95   3.82   4.33   1.47   6.37   5.24   2.19   1.06   1.56   1.41   2.00   1.40   3.63   9.87  10.35   3.48 
G     6.46   1.33   3.59   3.52   1.88  40.90   3.12   2.12   4.15   2.28   2.57   4.30   4.69   2.23   3.89   7.82   3.38   2.75   1.68   1.69   3.42 
H     1.25   0.53   2.50   0.73   1.79   1.05  34.38   0.93   1.89   1.15   0.98   2.83   1.21   2.33   2.50   1.38   1.34   1.18   1.28   2.21   1.45 
I     3.05   0.76   0.74   0.88   5.69   1.42   1.75  22.99   2.78   9.92   8.53   1.52   2.02   2.28   2.45   1.17   3.33  11.40   2.28   3.90   4.32 
K     7.11   1.14   3.14   3.57   2.63   4.94   4.32   3.69  25.52   3.98   3.80   5.91   5.73   5.45  12.57   6.01   5.05   4.19   1.69   1.85   2.05 
L     4.87   1.81   1.33   1.63  14.47   2.34   3.10  16.97   4.20  31.90  16.83   2.74   3.12   4.38   4.19   3.57   4.97  12.48   5.76   7.18   6.57 
M     1.49   0.19   0.30   0.41   2.78   0.82   0.92   3.91   1.27   4.82  19.81   2.32   0.55   2.85   1.03   1.77   1.83   2.78   1.61   1.66   1.47 
N     3.35   2.17   9.44   3.61   1.68   4.35   5.98   1.99   4.43   1.99   3.13  32.33   3.19   3.51   4.10   5.35   7.96   1.99   0.95   1.88   1.01 
P     3.21   0.49   1.97   1.27   1.05   2.58   2.88   1.70   2.88   1.69   1.03   1.58  36.98   1.69   2.42   2.13   1.97   1.94   0.63   2.48   2.36 
Q     3.92   1.64   2.80  12.85   1.62   2.55   3.66   1.94   5.53   1.99   3.62   5.42   3.46  32.17   4.94   3.71   3.50   2.49   1.44   1.33   1.39 
R     3.24   0.81   1.71   2.95   1.64   2.74   4.76   2.29   8.66   2.51   1.95   4.82   2.94   3.65  28.05   2.95   2.86   2.30   1.61   1.78   1.84 
S     7.48   1.68   5.15   4.31   2.39   6.81   3.67   2.48   5.24   2.62   3.42   6.48   6.45   3.12   4.82  25.36  10.91   3.60   1.83   2.15   4.21 
T     4.93   0.86   3.27   6.29   2.64   3.69   3.13   4.47   4.91   3.69   4.22   5.42   3.95   2.96   4.60  10.07  27.20   6.05   1.22   2.98   4.13 
V     5.50   1.05   1.30   2.92   5.92   2.53   2.80  14.32   3.53   9.12   8.36   1.65   3.29   3.04   3.45   2.79   5.39  22.94   3.17   5.48   9.02 
W     0.58   0.32   0.19   0.32   3.41   0.37   0.74   0.71   0.46   1.04   1.24   0.17   0.27   0.72   0.63   0.23   0.30   0.67  50.84   3.36   0.19 
Y     1.57   0.84   1.45   0.77   9.24   1.07   6.09   2.70   1.92   2.88   3.27   1.67   1.22   1.31   2.27   0.94   1.46   2.21   6.88  38.91   2.13 
J     0.66   0.27   0.09   1.05   0.55   0.39   0.74   0.68   0.28   0.62   0.43   0.10   0.19   0.11   0.31   0.89   0.51   0.93   0.21   0.36  35.69 
>HASOn 1
#        A      C      D      E      F      G      H      I      K      L      M      N      P      Q      R      S      T      V      W      Y      J 
A    28.52   2.37   8.56  12.00   4.60   9.46   7.84   6.46  12.81   6.04   7.94   6.26   7.89   9.49   7.61  12.44   8.02   9.51   4.24   3.76   9.59 
C     0.26  78.06   0.18   0.09   0.34   0.20   0.08   0.16   0.16   0.21   0.28   0.06   0.10   1.23   0.24   0.07   0.06   0.17   0.29   0.24   0.34 
D     4.93   1.42  26.70  10.90   1.56   4.72   2.22   1.72   5.39   1.83   1.68   7.18   5.22   7.93   3.84   6.74   4.21   2.10   1.51   2.75   1.84 
