#
# Environment-specific amino acid substitution matrices
# Creator: subst version 1.15
# CreationDate: 16/11/2007 16:36:2
#
# Definitions for structural environments:
# 6 features used
#
# domain interface;TF;Dd;T;T
# secondary structure and phi angle;HEPC;HEPC;F;F
# solvent accessibility;TF;Aa;F;F
# hydrogen bond to other sidechain/heterogen;TF;Ss;F;F
# hydrogen bond to mainchain CO;TF;Oo;F;F
# hydrogen bond to mainchain NH;TF;Nn;F;F
#
# (read in from classdef.dat)
#
# Number of alignments: 177
# (list of .tem files read in from TEMLIST.nomask)
#
# Total number of structures: 706
#
# Total number of raw substitution counts: 587032
#   0 HASON     846
#   1 HASOn    6390
#   2 HASoN    2003
#   3 HASon   22747
#   4 HAsON    1136
#   5 HAsOn   16011
#   6 HAsoN    1550
#   7 HAson   88009
#   8 HaSON     827
#   9 HaSOn    3587
#  10 HaSoN    1207
#  11 HaSon    4257
#  12 HasON    1329
#  13 HasOn    4225
#  14 HasoN     593
#  15 Hason   54646
#  16 EASON     341
#  17 EASOn    2187
#  18 EASoN    1212
#  19 EASon   12861
#  20 EAsON     835
#  21 EAsOn    3584
#  22 EAsoN    1423
#  23 EAson   42457
#  24 EaSON     908
#  25 EaSOn    2428
#  26 EaSoN    1316
#  27 EaSon    5548
#  28 EasON    1143
#  29 EasOn    2981
#  30 EasoN     697
#  31 Eason   53441
#  32 PASON      87
#  33 PASOn     573
#  34 PASoN     293
#  35 PASon    1858
#  36 PAsON     222
#  37 PAsOn    1327
#  38 PAsoN     313
#  39 PAson   27448
#  40 PaSON      58
#  41 PaSOn     109
#  42 PaSoN     118
#  43 PaSon     159
#  44 PasON      83
#  45 PasOn      68
#  46 PasoN      37
#  47 Pason    6685
#  48 CASON    1800
#  49 CASOn    4700
#  50 CASoN    7986
#  51 CASon   19795
#  52 CAsON    3167
#  53 CAsOn   11223
#  54 CAsoN    8525
#  55 CAson   97872
#  56 CaSON    1794
#  57 CaSOn    1893
#  58 CaSoN    2544
#  59 CaSon    3968
#  60 CasON    2239
#  61 CasOn    2607
#  62 CasoN    1009
#  63 Cason   33747
#
# Number of counts discarded due to constraints: 0
#
# Number of counts discarded due to masking: 0
#
# Total number of environments: 64
# Weighting scheme: clustering at PID 60 level
#
# Smoothing:
# p1(ri) (i.e., amino acid composition) is estimated by summing over
# each row in all matrices (no smoothing)
#                           ^^^^^^^^^^^^
# p2(ri|Rj) is estimated as:
#    p2(ri|Rj) = omega1 * p1(ri) + omega2 * W2(ri|Rj)
# 
# p3(ri|Rj,fq) is estimated as:
#    p3(ri|Rj,fq) = omega1 * A2(ri|fq) + omega2 * W3(ri|Rj,fq)
# where
#    A2(ri|fq) = p2(ri|fq) (fixed fq; partial smoothing)
# 
# The smoothing procedure is curtailed here and finally
# p5(ri|Rj,...) is estimated as:
#    p5(ri|Rj,...) = omega1 * A3(ri|Rj,fq) + omega2 * W5(ri|Rj...)
# where
#    A3(ri|Rj,fq) = sum over fq omega_c * pc3(Rj,fq)
# 
# Weights (omegas) are calculated as in Topham et al. 1993)
# 
# sigma value used is:  5.00
# 
# Each column (j) represents the probability distribution for the 
# likelihood of acceptance of a mutational event by a residue type j in 
# a particular structural environment (specified after >) leading to 
# any other residue type (i) and sums up to 100.
#
# There are 21 amino acids considered:
# ACDEFGHIKLMNPQRSTVWYJ
# where C represents half-cystine (disulphide bonded)
# and J represents cysteine (non disulphide bonded).
#
# The sequence has an additional row for 'U', which means
# both half-cystine and cysteine (with no distinction) and
# this should normally correspond to Cys in amino acid sequences.
#
>HASON 0
#        A      C      D      E      F      G      H      I      K      L      M      N      P      Q      R      S      T      V      W      Y      J 
A    26.98   1.96   6.33   6.31   5.24  11.17   6.85   7.18   8.13   6.69   6.95   2.92   8.52   6.76   6.44  11.38   6.51  10.27   3.91   7.39  11.19 
C     0.19  78.88   0.12   0.10   0.25   0.17   0.13   0.13   0.16   0.21   0.32   0.14   0.07   0.13   0.24   0.10   0.20   0.12   0.33   0.30   0.87 
D     5.16   1.41  44.02   8.56   1.73   5.19   3.04   1.84   4.76   2.05   1.31   8.97   5.84   6.80   3.94   3.66   5.41   2.43   1.26   1.82   1.59 
E     6.39   1.31   9.02  39.97   2.18   4.29   3.78   2.71   6.82   2.65   3.26   4.96   5.66  12.83   5.36   6.01   3.27   3.60   1.77   2.38   2.09 
F     1.76   0.84   2.24   0.94  30.70   1.04   3.55   4.28   1.43   6.38   5.11   2.02   1.10   1.56   1.44   1.97   1.98   3.79   9.50  10.35   3.49 
G     6.66   1.18   3.30   3.11   2.00  40.19   2.86   2.13   3.91   2.24   2.42   4.01   4.42   2.20   3.55   7.57   3.09   2.74   1.92   1.60   4.09 
H     1.32   0.47   2.40   0.68   1.86   1.12  36.73   1.01   1.85   1.17   1.10   2.60   1.29   2.38   2.59   1.94   2.65   1.17   1.19   2.19   1.36 
I     3.12   0.68   0.70   0.87   5.53   1.48   1.70  22.92   2.74   9.68   8.23   1.37   2.23   2.26   2.32   1.21   4.50  11.40   2.68   3.50   4.15 
K     6.78   1.14   3.41   3.06   2.64   4.76   3.88   3.66  27.38   3.97   3.73   6.69   5.57   5.32  12.16   5.75   4.40   4.28   1.51   1.83   1.91 
L     4.97   1.88   1.25   1.44  14.24   2.36   2.91  16.29   4.07  31.55  16.57   2.54   3.19   4.31   3.99   3.52   5.03  11.91   5.90   6.69   6.79 
M     1.55   0.21   0.26   0.45   2.71   0.85   0.98   3.85   1.30   4.99  19.37   2.17   0.77   2.84   1.13   1.74   1.64   2.81   1.59   1.71   1.67 
N     3.39   1.99   9.82   4.69   1.89   4.56   5.83   1.90   4.45   2.08   3.25  35.29   3.09   3.86   4.08   5.23   7.23   2.20   1.04   1.91   1.67 
P     3.25   0.42   1.85   1.19   1.07   2.54   2.83   1.91   2.82   1.73   1.35   1.41  36.50   1.72   2.25   2.01   1.93   2.02   0.75   2.40   2.52 
Q     3.86   1.46   2.53  11.66   1.68   2.56   3.72   1.97   5.48   2.04   3.81   5.10   3.30  31.87   4.75   3.58   3.18   2.49   1.46   1.32   1.53 
R     3.34   0.83   1.61   2.65   1.83   2.69   4.67   2.27   8.71   2.53   2.23   5.13   2.97   4.02  30.28   2.87   2.81   2.40   1.87   1.65   1.63 
S     7.62   1.50   4.73   3.72   2.41   6.69   3.50   2.64   5.03   2.71   3.24   5.85   6.23   3.04   4.64  25.60  11.28   3.73   1.87   3.03   4.43 
T     5.00   1.04   3.00   5.57   2.66   3.64   3.12   4.66   4.69   3.61   4.07   5.39   4.02   2.91   4.36  11.01  27.95   6.05   1.21   2.86   4.33 
V     5.65   0.91   1.77   3.10   6.22   2.55   2.52  14.51   3.60   8.96   8.12   1.54   3.43   3.05   3.38   2.76   4.89  22.56   3.33   5.86   8.93 
W     0.63   0.28   0.19   0.28   3.27   0.49   0.66   0.81   0.44   1.12   1.21   0.17   0.29   0.71   0.70   0.24   0.26   0.70  50.07   3.19   0.19 
Y     1.63   1.00   1.36   0.70   9.32   1.13   6.10   2.67   1.93   2.97   3.93   1.57   1.29   1.32   2.13   0.98   1.31   2.33   6.64  37.53   2.10 
J     0.74   0.61   0.10   0.94   0.58   0.53   0.64   0.66   0.31   0.67   0.42   0.15   0.24   0.13   0.28   0.88   0.50   0.98   0.19   0.47  33.48 
