#
# Environment-specific amino acid substitution matrices
# Creator: subst version 1.15
# CreationDate: 7/3/2008 15:41:45
#
# Definitions for structural environments:
# 6 features used
#
# domain interface;TF;Dd;T;T
# secondary structure and phi angle;HEPC;HEPC;F;F
# solvent accessibility;TF;Aa;F;F
# hydrogen bond to other sidechain/heterogen;TF;Ss;F;F
# hydrogen bond to mainchain CO;TF;Oo;F;F
# hydrogen bond to mainchain NH;TF;Nn;F;F
#
# (read in from classdef.dat)
#
# Number of alignments: 371
# (list of .tem files read in from TEMLIST.new_allmask)
#
# Total number of structures: 1357
#
# Total number of raw substitution counts: 888474
#   0 HASON    1377
#   1 HASOn   10289
#   2 HASoN    3355
#   3 HASon   34093
#   4 HAsON    1999
#   5 HAsOn   25030
#   6 HAsoN    2460
#   7 HAson  130031
#   8 HaSON    1432
#   9 HaSOn    4519
#  10 HaSoN    1962
#  11 HaSon    5753
#  12 HasON    2090
#  13 HasOn    7612
#  14 HasoN    1027
#  15 Hason   96403
#  16 EASON     544
#  17 EASOn    3065
#  18 EASoN    1810
#  19 EASon   19137
#  20 EAsON    1201
#  21 EAsOn    5061
#  22 EAsoN    1968
#  23 EAson   60527
#  24 EaSON    1370
#  25 EaSOn    3668
#  26 EaSoN    1993
#  27 EaSon    8436
#  28 EasON    1885
#  29 EasOn    4691
#  30 EasoN    1163
#  31 Eason   86922
#  32 PASON     100
#  33 PASOn     734
#  34 PASoN     472
#  35 PASon    2729
#  36 PAsON     322
#  37 PAsOn    1916
#  38 PAsoN     506
#  39 PAson   39348
#  40 PaSON     100
#  41 PaSOn     185
#  42 PaSoN     183
#  43 PaSon     242
#  44 PasON     152
#  45 PasOn     110
#  46 PasoN      43
#  47 Pason    9480
#  48 CASON    2483
#  49 CASOn    6945
#  50 CASoN   11824
#  51 CASon   29049
#  52 CAsON    4717
#  53 CAsOn   16906
#  54 CAsoN   12638
#  55 CAson  138834
#  56 CaSON    2454
#  57 CaSOn    2981
#  58 CaSoN    3280
#  59 CaSon    5108
#  60 CasON    3452
#  61 CasOn    4334
#  62 CasoN    1690
#  63 Cason   52284
#
# Number of counts discarded due to constraints: 0
#
# Number of counts discarded due to masking: 120228
#
# Total number of environments: 64
# Weighting scheme: clustering at PID 60 level
#
# Smoothing:
# p1(ri) (i.e., amino acid composition) is estimated by summing over
# each row in all matrices (no smoothing)
#                           ^^^^^^^^^^^^
# p2(ri|Rj) is estimated as:
#    p2(ri|Rj) = omega1 * p1(ri) + omega2 * W2(ri|Rj)
# 
# p3(ri|Rj,fq) is estimated as:
#    p3(ri|Rj,fq) = omega1 * A2(ri|fq) + omega2 * W3(ri|Rj,fq)
# where
#    A2(ri|fq) = p2(ri|fq) (fixed fq; partial smoothing)
# 
# The smoothing procedure is curtailed here and finally
# p5(ri|Rj,...) is estimated as:
#    p5(ri|Rj,...) = omega1 * A3(ri|Rj,fq) + omega2 * W5(ri|Rj...)
# where
#    A3(ri|Rj,fq) = sum over fq omega_c * pc3(Rj,fq)
# 
# Weights (omegas) are calculated as in Topham et al. 1993)
# 
# sigma value used is:  5.00
# 
# Each column (j) represents the probability distribution for the 
# likelihood of acceptance of a mutational event by a residue type j in 
# a particular structural environment (specified after >) leading to 
# any other residue type (i).
#
# The probabilities were then divided by the background probabilities
# which were derived from the environment-independent amino acid frequencies.
#                             ^^^^^^^^^^^^^^^^^^^^^^^
# See Eq. 3 of Shi et al. (2001) for more detail.
#
# Shown here are logarithms of these values multiplied by 3/log(2) 
# rounded to the nearest integer (log-odds scores in 1/3 bit units).
#
# There are 21 amino acids considered:
# ACDEFGHIKLMNPQRSTVWYJ
# where C represents half-cystine (disulphide bonded)
# and J represents cysteine (non disulphide bonded).
#
# The sequence has an additional row for 'U', which means
# both half-cystine and cysteine (with no distinction) and
# this should normally correspond to Cys in amino acid sequences.
#
# For total (composite) matrix, Entropy = 0.5657 bits, Expected score = -0.4754
#
>HASON 0
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      5   -2    0    0   -2    1   -1   -1    0   -1   -1   -4    0    0   -1    0   -1    1   -4   -1    2 
C     -6   24   -8  -10   -4   -5   -6   -7   -5   -6   -5  -13   -6  -11   -4    4   -6   -5   -6   -5    0 
D     -1   -3    8    1   -5    0   -2   -5    0   -4   -4    2    0    0   -1   -2    1   -4   -6   -5   -5 
E      1   -3    3    7   -4   -1   -1   -3    1   -3   -3    0    0    3    0    0   -2   -2   -4   -3   -2 
F     -4   -3   -5   -6    8   -6   -1    0   -5    1    1   -4   -5   -3   -4   -3   -5   -1    3    4    0 
G     -1   -3   -4   -3   -6    7   -4   -6   -3   -6   -5   -3   -3   -6   -3    1   -3   -5   -5   -6   -3 
H     -2   -2    0   -4    0   -2   11   -2    0   -2   -2    0   -2    2    1    0    1   -2   -2    1    0 
I     -3   -6   -8   -4    0   -6   -5    6   -3    2    2   -6   -5   -5   -4   -7   -2    3   -3   -3    0 
K      1   -4   -3   -2   -3   -1   -1   -2    6   -2   -2    1    0   -1    3    0   -1   -1   -5   -4   -4 
L     -2   -4   -5   -4    2   -6   -4    3   -3    5    3   -6   -5   -6   -3   -3   -3    2   -2   -1    0 
M     -1   -6   -6   -3    1   -4   -3    3   -2    4    9   -1   -5   -2   -2    0   -1    1   -2   -1    1 
N     -1   -4    2    0   -4    0    1   -4    0   -3   -2    9   -1   -1    0    1    2   -3   -5   -4   -4 
P     -1   -3   -4   -1   -5   -2   -1   -3   -1   -4   -5   -4    9   -4   -2   -4    0   -3   -6   -4   -2 
Q      1   -2    0    5   -3   -1    2   -2    2   -2    0    2    0   10    2   -1   -1   -1   -4   -4   -3 
R     -1   -3   -3   -3   -3   -1    1   -3    4   -2   -2    0   -1    0    8   -2    0   -2   -3   -3   -2 
S      1   -3    0   -1   -4    0   -2   -4   -1   -4   -3    0    0   -3   -1    6    3   -2   -4   -5    0 
T     -1   -3   -1    2   -3   -2   -2   -1   -1   -2   -1    0   -1   -3   -1    3    6    0   -5   -3    0 
V     -2   -3   -5   -4   -1   -5   -5    2   -3    1    0   -5   -4   -6   -4   -4   -2    4   -3   -2    1 
W     -4   -5   -4   -8    3   -4   -3   -2   -5   -1   -1   -9   -6   -5   -3    0   -6   -3   15    7   -3 
Y     -3   -3   -4   -5    4   -4    3   -1   -2   -1   -1   -3   -4   -4   -2   -6   -5   -2    3   10   -1 
J      0    1    0   -6    0   -2    1    0   -3    0    0   -8   -5   -9   -2    1   -1    2   -2   -3   13 
U     -1   17   -1   -7   -1   -3    1   -1   -4   -1    0   -9   -5   -9   -2    2   -2    1   -3   -3   12 
>HASOn 1
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      5   -2    0    1   -2    0   -1   -1    1   -2    0   -1   -1    0    0    2    0    0   -3   -1    1 
C     -5   24   -4  -10   -3   -5  -10   -6   -2   -6   -3  -17   -5   -7   -4  -12  -12   -4   -7   -7   -1 
D     -1   -3    6    2   -6   -1   -3   -5   -1   -5   -5    1    0    0   -2    0   -1   -4   -5   -3   -3 
E      0   -3    4    7   -4   -1    0   -4    0   -3   -3    1    0    3   -1    1    1   -2   -5   -3   -3 
F     -3   -3   -6   -8    9   -6   -3    0   -3    1    1   -6   -5   -4   -4   -7   -6   -1    2    6   -1 
G     -1   -4   -3   -4   -6    7   -5   -6   -5   -6   -5   -3   -3   -3   -4    0   -2   -5   -3   -8   -3 
H     -2   -3   -2   -2    0   -2   11   -3   -1   -2   -2    2   -2    0    2   -1    1   -3    0    3   -2 
I     -2   -5   -8   -8    0   -6   -4    6   -2    2    2   -4   -4   -2   -4   -5   -2    3   -3   -4    1 
K      0   -5    2    3   -4   -1    0   -3    7   -2   -2    2    0    2    3    0    1   -2   -2   -4    0 
L     -2   -5   -5   -5    2   -6   -3    3   -3    6    3   -4   -4   -1   -3   -4   -2    1   -2   -3    0 
M     -1   -4   -6   -6    1   -4   -2    3   -1    4    9   -5   -5   -1   -1   -1    1    1   -3   -2    2 
N     -1   -4    2   -1   -4    0    2   -4   -1   -4   -3    7   -1    0    0    0    1   -3   -4   -3   -6 
P     -1   -4   -3   -4   -5   -3   -3   -4   -3   -4   -5   -4    9   -3   -4   -2   -4   -3   -7   -5   -6 
Q      0   -3    2    3   -3   -2   -1   -3    1   -2    0    2   -1    6    2    1    0   -2   -5   -6   -1 
R     -1   -4    2    2   -3   -2    0   -3    4   -2   -2    1   -1    3    9    1    1   -3   -4    3    2 
S      1   -3    0   -1   -4    0    0   -4   -2   -4   -3   -1    0    0   -1    4    2   -3   -3   -2   -1 
T     -1   -4   -3   -2   -3   -2    0   -1   -3   -2   -1   -1   -1   -2   -3    1    4    0   -4   -3   -1 
V     -1   -3   -4   -5   -1   -5   -2    3   -4    1    0   -3   -4   -4   -5   -3    0    5   -4   -4    1 
W     -4   -5   -7   -4    3   -4   -2   -2   -5   -2   -1   -5   -6   -6   -4   -7   -3   -3   14    5    2 
Y     -3   -3   -4   -9    4   -4    1   -1   -2   -1   -1   -1   -4   -4   -2   -3   -2   -2    4    9    1 
J      1    1   -7   -3    0   -2   -1    0    0    0    0   -5   -4   -2   -1   -3    0    2   -3   -4   11 
U      0   17   -6   -4   -1   -2   -2   -1    0   -1    0   -6   -5   -3   -1   -4   -1    1   -4   -5   10 
>HASoN 2
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      5   -2    0   -2   -2    0   -2   -1    0   -2    0   -2   -1   -3   -1    0   -1    0   -3   -2    2 
C     -5   24   -1  -15   -3   -5   -6   -6   -6   -6   -6   -9   -5  -12   -6   -7   -5   -4   -6   -6    0 
D     -1   -3    7    3   -6   -1   -1   -5    0   -5   -6    3    0    3   -1    3   -1   -4   -5   -4   -5 
E      0   -3    3    8   -4   -1    0   -4    2   -3   -1    3    0    5    1   -1    0   -2   -4    0   -4 
F     -3   -3   -7   -6    9   -6   -2    0   -5    1    0   -5   -5   -6   -4    1   -4   -1    3    5   -1 
G     -1   -4   -6   -4   -6    7   -4   -6   -3   -6   -4   -2   -3   -5   -3   -1   -3   -5   -5   -7   -2 
H     -2   -3    2    0    0   -2   12   -3    0   -2   -3    0   -2    2    1   -2    0   -3   -1    3    0 
I     -2   -5   -6   -7    0   -6   -6    6   -4    2    1   -5   -4   -7   -4   -5   -3    3   -2   -3    0 
K      0   -5    1   -2   -4   -1   -1   -3    6   -2   -2    0    0   -1    3   -2    0   -2   -5   -1   -4 
L     -2   -5   -5   -7    2   -6   -4    3   -3    6    2   -4   -4   -6   -3   -5   -4    1   -2    1   -1 
M     -1   -4   -2   -5    1   -4   -3    3   -2    4    9   -3   -5   -2   -3   -5   -3    1   -1   -1    1 
N     -1   -4    1   -1   -4    0    1   -4    0   -4   -3    6   -1    1    0    0    0   -3   -5   -2   -3 
P     -1   -4   -4   -5   -5   -3   -3   -4   -1   -4   -2   -3    9   -6   -2    1   -2   -3   -6   -7    1 
Q      0   -3    3    5   -3   -2    2   -3    2   -2    0    3   -1    8    2   -1   -1   -2   -3   -3   -3 
R     -1   -4   -1   -2   -3   -2    0   -3    3   -2    0   -1   -1   -3    7   -1   -1   -3   -3   -4   -2 
S      1   -3    0   -3   -4    0   -2   -4   -1   -4   -3    1    0    0   -1    6    2   -3   -4   -4    0 
T     -1   -4   -2   -2   -3   -2   -1   -1   -1   -2   -1    0   -1   -4   -1    1    7    0   -4   -3    0 
V     -1   -3   -5   -4   -1   -5   -3    3   -3    1    0   -4   -4   -4   -4   -5   -2    5   -3   -2    2 
W     -4   -5   -3   -3    3   -4   -3   -2   -4   -2   -1   -7   -6   -3   -3   -6   -5   -3   15    0   -3 
Y     -3   -3   -3   -3    4   -4    1   -1   -3   -1   -2   -4   -4    0   -2   -1   -4   -2    3    9   -2 
J      1    1   -6   -5    0   -2    4    0   -3    0   -1   -5   -4   -4   -2   -2   -1    2   -3   -4   13 
U      0   17   -4   -6   -1   -2    3   -1   -4   -1   -1   -6   -5   -5   -3   -3   -2    1   -3   -4   12 
>HASon 3
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      5   -2    0    0   -3    0    0   -1    0   -2    0    1   -1    1    0    2    2    0   -2   -1    1 
C     -4   24   -8  -13   -3   -4   -2   -6  -21   -6   -9   -6   -5  -16  -10  -16  -13   -4  -12  -14    0 
D     -1   -3    6    2   -6   -1    1   -6    0   -5   -3    2   -1    2    0    2    0   -5   -3   -3   -3 
E      0   -3    4    6   -4   -2    1   -4    2   -4   -1    2    0    4    3    3    2   -3   -1   -2   -2 
F     -3   -2   -5   -4    9   -6   -3    0   -6    1    0   -3   -5   -5   -4   -4   -3   -1    2    4    0 
G     -1   -4   -4   -4   -6    8   -6   -6   -5   -6   -4   -3   -3   -3   -4   -2   -3   -5   -7   -6   -1 
H     -2   -3    0    0    0   -2    9   -3    0   -2   -2    2   -2    0    0    1   -2   -3    1    2    2 
I     -2   -5   -6   -5    0   -6   -4    6   -3    2    1   -6   -4   -5   -4   -6   -2    3   -4   -1   -1 
