#
# Environment-specific amino acid substitution matrices
# Creator: subst version 1.15
# CreationDate: 7/3/2008 15:42:16
#
# Definitions for structural environments:
# 6 features used
#
# domain interface;TF;Dd;T;T
# secondary structure and phi angle;HEPC;HEPC;F;F
# solvent accessibility;TF;Aa;F;F
# hydrogen bond to other sidechain/heterogen;TF;Ss;F;F
# hydrogen bond to mainchain CO;TF;Oo;F;F
# hydrogen bond to mainchain NH;TF;Nn;F;F
#
# (read in from classdef.dat)
#
# Number of alignments: 371
# (list of .tem files read in from TEMLIST.new_allmask_no_ddi)
#
# Total number of structures: 1357
#
# Total number of raw substitution counts: 1098556
#   0 HASON    1651
#   1 HASOn   12901
#   2 HASoN    4260
#   3 HASon   45423
#   4 HAsON    2453
#   5 HAsOn   32239
#   6 HAsoN    3236
#   7 HAson  173362
#   8 HaSON    1663
#   9 HaSOn    5501
#  10 HaSoN    2325
#  11 HaSon    6940
#  12 HasON    2628
#  13 HasOn    8999
#  14 HasoN    1169
#  15 Hason  109007
#  16 EASON     646
#  17 EASOn    3855
#  18 EASoN    2327
#  19 EASon   23396
#  20 EAsON    1383
#  21 EAsOn    6405
#  22 EAsoN    2504
#  23 EAson   75565
#  24 EaSON    1535
#  25 EaSOn    4354
#  26 EaSoN    2335
#  27 EaSon    9623
#  28 EasON    2112
#  29 EasOn    5389
#  30 EasoN    1363
#  31 Eason   97442
#  32 PASON     109
#  33 PASOn     990
#  34 PASoN     626
#  35 PASon    3483
#  36 PAsON     406
#  37 PAsOn    2602
#  38 PAsoN     626
#  39 PAson   47874
#  40 PaSON     132
#  41 PaSOn     238
#  42 PaSoN     220
#  43 PaSon     309
#  44 PasON     177
#  45 PasOn     126
#  46 PasoN      53
#  47 Pason   11477
#  48 CASON    2979
#  49 CASOn    8607
#  50 CASoN   14388
#  51 CASon   36841
#  52 CAsON    5847
#  53 CAsOn   21248
#  54 CAsoN   16125
#  55 CAson  180219
#  56 CaSON    2811
#  57 CaSOn    3609
#  58 CaSoN    4032
#  59 CaSon    6233
#  60 CasON    4013
#  61 CasOn    5133
#  62 CasoN    1980
#  63 Cason   61052
#
# Number of counts discarded due to constraints: 0
#
# Number of counts discarded due to masking: 24128
#
# Total number of environments: 64
# Weighting scheme: clustering at PID 60 level
#
# Smoothing:
# p1(ri) (i.e., amino acid composition) is estimated by summing over
# each row in all matrices (no smoothing)
#                           ^^^^^^^^^^^^
# p2(ri|Rj) is estimated as:
#    p2(ri|Rj) = omega1 * p1(ri) + omega2 * W2(ri|Rj)
# 
# p3(ri|Rj,fq) is estimated as:
#    p3(ri|Rj,fq) = omega1 * A2(ri|fq) + omega2 * W3(ri|Rj,fq)
# where
#    A2(ri|fq) = p2(ri|fq) (fixed fq; partial smoothing)
# 
# The smoothing procedure is curtailed here and finally
# p5(ri|Rj,...) is estimated as:
#    p5(ri|Rj,...) = omega1 * A3(ri|Rj,fq) + omega2 * W5(ri|Rj...)
# where
#    A3(ri|Rj,fq) = sum over fq omega_c * pc3(Rj,fq)
# 
# Weights (omegas) are calculated as in Topham et al. 1993)
# 
# sigma value used is:  5.00
# 
# Each column (j) represents the probability distribution for the 
# likelihood of acceptance of a mutational event by a residue type j in 
# a particular structural environment (specified after >) leading to 
# any other residue type (i) and sums up to 100.
#
# There are 21 amino acids considered:
# ACDEFGHIKLMNPQRSTVWYJ
# where C represents half-cystine (disulphide bonded)
# and J represents cysteine (non disulphide bonded).
#
# The sequence has an additional row for 'U', which means
# both half-cystine and cysteine (with no distinction) and
# this should normally correspond to Cys in amino acid sequences.
#
>HASON 0
#        A      C      D      E      F      G      H      I      K      L      M      N      P      Q      R      S      T      V      W      Y      J 
A    25.80   5.41   8.09   9.63   5.59  11.03   6.63   7.40   7.56   6.59   7.26   3.42   8.32   7.61   6.54  10.79   6.92   9.90   3.82   8.65  13.73 
C     0.04  50.89   0.03   0.02   0.07   0.06   0.04   0.04   0.06   0.05   0.10   0.01   0.04   0.01   0.06   0.51   0.05   0.05   0.04   0.05   0.20 
D     4.75   3.17  38.21   7.89   1.75   5.25   4.05   1.82   5.11   2.04   1.99   9.75   5.51   5.79   4.16   3.50   5.42   2.35   1.58   1.88   1.95 
E     6.65   3.06   9.96  27.89   2.69   4.70   4.94   2.92   7.62   3.14   3.11   5.35   5.94  10.77   6.05   4.93   3.41   4.07   2.38   2.56   3.71 
F     1.96   2.08   1.48   0.94  28.18   1.16   3.75   4.26   1.50   5.92   5.03   1.40   1.38   2.81   1.79   1.80   1.70   3.65   8.64   9.91   4.32 
G     6.23   3.88   2.83   4.31   1.99  37.89   3.16   2.07   3.77   2.00   2.61   3.48   4.10   2.02   3.68  10.26   3.41   2.75   2.47   1.78   4.75 
H     1.48   1.18   2.34   0.70   2.11   1.31  26.81   1.27   2.21   1.40   1.27   2.17   1.24   2.85   2.55   2.31   3.21   1.32   1.23   2.57   1.72 
I     3.41   1.62   1.20   2.35   5.60   1.57   1.94  21.74   2.95   9.40   8.62   1.25   2.28   2.08   2.23   1.14   4.81  11.32   3.54   3.01   5.25 
K     6.36   2.35   2.60   3.41   2.76   4.62   4.31   3.74  23.75   3.97   3.94   7.61   5.51   5.46  12.10   5.58   4.03   4.19   1.69   1.97   2.16 
L     5.53   3.54   2.72   3.18  13.88   2.53   3.82  16.36   4.57  31.64  17.36   2.33   3.30   2.77   4.77   4.27   3.95  12.47   6.07   6.28   9.08 
M     1.65   0.68   0.43   1.02   2.74   0.88   1.13   3.97   1.30   4.79  17.28   1.61   0.88   1.71   1.27   2.05   1.39   2.81   1.37   1.42   2.44 
N     3.48   1.80   7.72   4.14   1.93   4.84   6.06   1.85   4.68   2.17   3.03  34.05   3.28   4.61   4.18   5.02   6.59   2.43   1.54   2.23   2.28 
P     3.32   1.96   1.59   3.55   1.43   2.50   2.88   2.04   3.05   1.69   1.60   1.94  36.10   1.55   2.34   1.77   3.78   2.22   1.09   1.64   2.98 
Q     4.04   2.08   3.42  11.34   1.84   2.76   6.07   2.21   5.54   2.23   3.38   5.65   3.14  34.70   5.00   2.69   2.59   2.57   1.50   1.48   1.96 
R     3.69   1.75   1.76   2.08   2.31   3.11   4.77   2.27   9.71   2.87   2.63   4.20   3.23   4.27  27.30   2.21   3.26   2.53   2.06   2.85   2.23 
S     7.51   3.62   5.93   4.49   2.51   6.55   4.09   2.69   5.04   2.82   3.23   6.21   5.86   3.02   4.76  23.06  11.25   3.69   2.34   2.90   6.04 
T     5.02   3.54   4.19   7.88   2.83   3.78   3.83   4.65   4.79   3.47   4.39   5.72   4.06   3.39   4.34  12.02  27.27   5.95   1.75   2.91   5.67 
V     5.69   4.15   2.64   3.64   6.03   2.77   2.74  14.18   3.68   8.72   8.01   2.12   3.64   2.29   3.26   3.03   5.06  21.27   3.84   5.30  10.95 
W     0.69   0.41   0.54   0.26   3.20   0.65   0.78   0.97   0.49   1.16   1.25   0.17   0.43   0.42   0.74   1.26   0.29   0.86  45.64   6.85   0.68 
Y     1.80   1.78   1.70   1.10   9.84   1.43   7.28   2.82   2.26   3.17   3.11   1.44   1.43   1.78   2.42   0.93   1.11   2.51   7.00  33.23   3.08 
J     0.90   1.04   0.64   0.17   0.73   0.59   0.92   0.73   0.35   0.79   0.80   0.14   0.33   0.10   0.45   0.89   0.51   1.10   0.42   0.52  14.80 
>HASOn 1
