#
# Environment-specific amino acid substitution matrices
# Creator: subst version 1.15
# CreationDate: 7/3/2008 15:43:26
#
# Definitions for structural environments:
# 6 features used
#
# domain interface;TF;Dd;T;T
# secondary structure and phi angle;HEPC;HEPC;F;F
# solvent accessibility;TF;Aa;F;F
# hydrogen bond to other sidechain/heterogen;TF;Ss;F;F
# hydrogen bond to mainchain CO;TF;Oo;F;F
# hydrogen bond to mainchain NH;TF;Nn;F;F
#
# (read in from classdef.dat)
#
# Number of alignments: 371
# (list of .tem files read in from TEMLIST.new_allmask_ft_only)
#
# Total number of structures: 1357
#
# Total number of raw substitution counts: 1105172
#   0 HASON    1682
#   1 HASOn   12985
#   2 HASoN    4302
#   3 HASon   45594
#   4 HAsON    2466
#   5 HAsOn   32260
#   6 HAsoN    3243
#   7 HAson  173717
#   8 HaSON    1752
#   9 HaSOn    5789
#  10 HaSoN    2358
#  11 HaSon    7102
#  12 HasON    2655
#  13 HasOn    9057
#  14 HasoN    1182
#  15 Hason  109101
#  16 EASON     649
#  17 EASOn    3894
#  18 EASoN    2331
#  19 EASon   23541
#  20 EAsON    1383
#  21 EAsOn    6444
#  22 EAsoN    2531
#  23 EAson   75690
#  24 EaSON    1542
#  25 EaSOn    4414
#  26 EaSoN    2382
#  27 EaSon   10051
#  28 EasON    2113
#  29 EasOn    5442
#  30 EasoN    1397
#  31 Eason   97580
#  32 PASON     109
#  33 PASOn     991
#  34 PASoN     630
#  35 PASon    3531
#  36 PAsON     406
#  37 PAsOn    2603
#  38 PAsoN     627
#  39 PAson   48314
#  40 PaSON     136
#  41 PaSOn     238
#  42 PaSoN     223
#  43 PaSon     333
#  44 PasON     177
#  45 PasOn     126
#  46 PasoN      53
#  47 Pason   11904
#  48 CASON    3026
#  49 CASOn    8761
#  50 CASoN   14469
#  51 CASon   37505
#  52 CAsON    5850
#  53 CAsOn   21332
#  54 CAsoN   16200
#  55 CAson  181023
#  56 CaSON    2949
#  57 CaSOn    3688
#  58 CaSoN    4067
#  59 CaSon    6605
#  60 CasON    4189
#  61 CasOn    5209
#  62 CasoN    1985
#  63 Cason   61284
#
# Number of counts discarded due to constraints: 0
#
# Number of counts discarded due to masking: 21222
#
# Total number of environments: 64
# Weighting scheme: clustering at PID 60 level
#
# Smoothing:
# p1(ri) (i.e., amino acid composition) is estimated by summing over
# each row in all matrices (no smoothing)
#                           ^^^^^^^^^^^^
# p2(ri|Rj) is estimated as:
#    p2(ri|Rj) = omega1 * p1(ri) + omega2 * W2(ri|Rj)
# 
# p3(ri|Rj,fq) is estimated as:
#    p3(ri|Rj,fq) = omega1 * A2(ri|fq) + omega2 * W3(ri|Rj,fq)
# where
#    A2(ri|fq) = p2(ri|fq) (fixed fq; partial smoothing)
# 
# The smoothing procedure is curtailed here and finally
# p5(ri|Rj,...) is estimated as:
#    p5(ri|Rj,...) = omega1 * A3(ri|Rj,fq) + omega2 * W5(ri|Rj...)
# where
#    A3(ri|Rj,fq) = sum over fq omega_c * pc3(Rj,fq)
# 
# Weights (omegas) are calculated as in Topham et al. 1993)
# 
# sigma value used is:  5.00
# 
# Each column (j) represents the probability distribution for the 
# likelihood of acceptance of a mutational event by a residue type j in 
# a particular structural environment (specified after >) leading to 
# any other residue type (i).
#
# The probabilities were then divided by the background probabilities
# which were derived from the environment-independent amino acid frequencies.
#                             ^^^^^^^^^^^^^^^^^^^^^^^
# See Eq. 3 of Shi et al. (2001) for more detail.
#
# Shown here are logarithms of these values multiplied by 3/log(2) 
# rounded to the nearest integer (log-odds scores in 1/3 bit units).
#
# There are 21 amino acids considered:
# ACDEFGHIKLMNPQRSTVWYJ
# where C represents half-cystine (disulphide bonded)
# and J represents cysteine (non disulphide bonded).
#
# The sequence has an additional row for 'U', which means
# both half-cystine and cysteine (with no distinction) and
# this should normally correspond to Cys in amino acid sequences.
#
# For total (composite) matrix, Entropy = 0.5533 bits, Expected score = -0.4558
#
>HASON 0
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      5   -2    0    0   -2    1   -1   -1   -1   -1   -1   -4    0   -1   -1    1   -1    1   -4    0    2 
C     -6   24   -8  -10   -4   -5   -6   -7   -5   -6   -3  -13   -6  -11   -5    5   -5   -5   -7   -6    0 
D     -1   -3    8    1   -5    0   -2   -5   -1   -4   -5    2    0    0   -1   -2    0   -4   -6   -5   -5 
E      1   -3    2    7   -3   -1   -1   -3    1   -3   -3   -1    0    3    0   -1   -2   -2   -4   -4   -2 
F     -3   -3   -5   -7    8   -6   -1    0   -5    1    1   -5   -5   -2   -4   -4   -4   -1    3    4    0 
G     -1   -3   -4   -3   -6    7   -4   -6   -3   -6   -5   -4   -3   -6   -3    1   -4   -5   -5   -6   -2 
H     -2   -3    0   -5    0   -2   11   -2    0   -2   -2    0   -2    1    1    0    2   -2   -2    1   -1 
I     -2   -6   -7   -4    0   -6   -5    6   -3    2    2   -7   -4   -5   -4   -7   -1    3   -2   -3   -1 
K      0   -4   -4   -3   -3   -1   -1   -2    6   -2   -2    1    0    0    3    0   -2   -1   -5   -5   -4 
L     -2   -4   -5   -5    2   -5   -4    3   -3    5    3   -6   -4   -5   -3   -3   -4    1   -2   -2    0 
M     -1   -5   -7   -3    1   -4   -3    3   -2    4    9   -1   -4   -1   -2    0   -2    1   -2   -2    1 
N     -1   -4    2    0   -4    0    1   -4    0   -3   -2    9   -1    0    0    0    2   -3   -5   -3   -3 
P     -1   -3   -4   -1   -5   -2   -2   -3   -2   -4   -4   -4    9   -4   -3   -4   -1   -3   -6   -4   -2 
Q      1   -2    0    5   -3   -1    2   -2    2   -2    0    2   -1   10    1   -1   -1   -1   -4   -4   -3 
R     -1   -4   -4   -3   -3   -1    0   -3    3   -2   -2    0   -1    0    8   -3   -1   -2   -3   -2   -3 
S      1   -2    0   -2   -4    0   -2   -4   -1   -3   -3    0    0   -3   -1    6    3   -2   -4   -3    0 
T     -1   -2   -1    1   -3   -2   -2   -1   -1   -2   -1    0   -2   -2   -1    3    7    0   -5   -3    0 
V     -1   -3   -5   -4   -1   -4   -4    3   -3    1    0   -6   -3   -5   -4   -4   -2    4   -3   -2    1 
W     -3   -6   -5   -8    3   -4   -3   -2   -5   -1   -1  -10   -6   -6   -3   -1   -7   -3   15    6   -4 
Y     -3   -3   -3   -6    4   -4    3   -1   -2   -1   -1   -4   -4   -3   -2   -6   -5   -2    3    9   -1 
J      1    1   -1   -7    0   -1    1    0   -4    0    0   -8   -4   -9   -2    1   -2    2   -3   -2   13 
U      0   17   -2   -7   -1   -2    0   -1   -4   -1    0   -8   -4   -9   -3    2   -2    1   -3   -2   12 
>HASOn 1
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      5   -2    0    1   -2    1    0   -1    1   -1    0   -1    0    0    0    2    0    0   -3   -2    1 
C     -5   25   -4  -10   -3   -4  -10   -6   -2   -6   -3  -19   -6   -7   -4  -13   -5   -4   -8   -8   -2 
D     -1   -3    6    2   -5   -1   -2   -5   -1   -5   -5    1    0    0   -2    0   -1   -4   -5   -2   -3 
E      0   -3    4    7   -4   -1    0   -4    0   -3   -3    1    0    2   -1    1    0   -2   -3   -3   -3 
F     -3   -2   -6   -8    8   -6   -3    0   -4    1    1   -6   -5   -5   -4   -5   -5   -1    2    6   -1 
G     -1   -3   -3   -3   -6    7   -5   -6   -5   -6   -5   -3   -3   -4   -5   -1   -3   -5   -3   -8   -2 
H     -2   -3   -1   -1    0   -2   11   -3   -2   -2   -2    2   -2    0    1    0    1   -3    0    2   -3 
I     -2   -5   -8   -7    0   -6   -3    6   -1    2    2   -4   -4   -3   -4   -5   -2    3   -3   -4    1 
K      0   -4    2    2   -4   -2    0   -3    7   -2   -1    1    0    2    3    0    1   -2   -2   -3   -1 
L     -2   -5   -5   -4    2   -6   -2    3   -2    6    3   -3   -4   -1   -2   -3   -2    1   -1   -3    1 
M     -1   -3   -6   -4    1   -4   -1    2    0    3    9   -4   -4    0   -1   -1    1    1   -3   -2    2 
