#
# Environment-specific amino acid substitution matrices
# Creator: subst version 1.15
# CreationDate: 7/3/2008 15:44:54
#
# Definitions for structural environments:
# 6 features used
#
# domain interface;TF;Dd;T;T
# secondary structure and phi angle;HEPC;HEPC;F;F
# solvent accessibility;TF;Aa;F;F
# hydrogen bond to other sidechain/heterogen;TF;Ss;F;F
# hydrogen bond to mainchain CO;TF;Oo;F;F
# hydrogen bond to mainchain NH;TF;Nn;F;F
#
# (read in from classdef.dat)
#
# Number of alignments: 371
# (list of .tem files read in from TEMLIST.nomask)
#
# Total number of structures: 1357
#
# Total number of raw substitution counts: 1151296
#   0 HASON    1826
#   1 HASOn   13466
#   2 HASoN    4401
#   3 HASon   47942
#   4 HAsON    2524
#   5 HAsOn   32978
#   6 HAsoN    3385
#   7 HAson  178103
#   8 HaSON    1885
#   9 HaSOn    7320
#  10 HaSoN    2500
#  11 HaSon    8424
#  12 HasON    2758
#  13 HasOn    9298
#  14 HasoN    1196
#  15 Hason  113760
#  16 EASON     666
#  17 EASOn    3996
#  18 EASoN    2530
#  19 EASon   24341
#  20 EAsON    1396
#  21 EAsOn    6521
#  22 EAsoN    2594
#  23 EAson   77836
#  24 EaSON    1724
#  25 EaSOn    4710
#  26 EaSoN    2617
#  27 EaSon   10739
#  28 EasON    2150
#  29 EasOn    5577
#  30 EasoN    1465
#  31 Eason  101582
#  32 PASON     110
#  33 PASOn    1053
#  34 PASoN     655
#  35 PASon    3702
#  36 PAsON     406
#  37 PAsOn    2668
#  38 PAsoN     630
#  39 PAson   50092
#  40 PaSON     151
#  41 PaSOn     261
#  42 PaSoN     248
#  43 PaSon     388
#  44 PasON     178
#  45 PasOn     133
#  46 PasoN      69
#  47 Pason   12870
#  48 CASON    3437
#  49 CASOn    9205
#  50 CASoN   15317
#  51 CASon   39269
#  52 CAsON    5961
#  53 CAsOn   21878
#  54 CAsoN   16687
#  55 CAson  186320
#  56 CaSON    3568
#  57 CaSOn    4142
#  58 CaSoN    4973
#  59 CaSon    7731
#  60 CasON    4287
#  61 CasOn    5378
#  62 CasoN    2089
#  63 Cason   65230
#
# Number of counts discarded due to constraints: 0
#
# Number of counts discarded due to masking: 0
#
# Total number of environments: 64
# Weighting scheme: clustering at PID 60 level
#
# Smoothing:
# p1(ri) (i.e., amino acid composition) is estimated by summing over
# each row in all matrices (no smoothing)
#                           ^^^^^^^^^^^^
# p2(ri|Rj) is estimated as:
#    p2(ri|Rj) = omega1 * p1(ri) + omega2 * W2(ri|Rj)
# 
# p3(ri|Rj,fq) is estimated as:
#    p3(ri|Rj,fq) = omega1 * A2(ri|fq) + omega2 * W3(ri|Rj,fq)
# where
#    A2(ri|fq) = p2(ri|fq) (fixed fq; partial smoothing)
# 
# The smoothing procedure is curtailed here and finally
# p5(ri|Rj,...) is estimated as:
#    p5(ri|Rj,...) = omega1 * A3(ri|Rj,fq) + omega2 * W5(ri|Rj...)
# where
#    A3(ri|Rj,fq) = sum over fq omega_c * pc3(Rj,fq)
# 
# Weights (omegas) are calculated as in Topham et al. 1993)
# 
# sigma value used is:  5.00
# 
# Each column (j) represents the probability distribution for the 
# likelihood of acceptance of a mutational event by a residue type j in 
# a particular structural environment (specified after >) leading to 
# any other residue type (i).
#
# The probabilities were then divided by the background probabilities
# which were derived from the environment-independent amino acid frequencies.
#                             ^^^^^^^^^^^^^^^^^^^^^^^
# See Eq. 3 of Shi et al. (2001) for more detail.
#
# Shown here are logarithms of these values multiplied by 3/log(2) 
# rounded to the nearest integer (log-odds scores in 1/3 bit units).
#
# There are 21 amino acids considered:
# ACDEFGHIKLMNPQRSTVWYJ
# where C represents half-cystine (disulphide bonded)
# and J represents cysteine (non disulphide bonded).
#
# The sequence has an additional row for 'U', which means
# both half-cystine and cysteine (with no distinction) and
# this should normally correspond to Cys in amino acid sequences.
#
# For total (composite) matrix, Entropy = 0.6061 bits, Expected score = -0.5131
#
>HASON 0
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      5   -5    0    0   -2    1   -1   -1   -1   -1   -1   -4    0   -1   -1    1   -1    1   -3    0    1 
C     -7   20  -11  -12   -7   -8  -10   -8   -9   -7   -6  -11  -10  -13   -8    1   -8   -8   -8   -6   -1 
D     -1   -6    8    1   -5   -1   -2   -5   -1   -5   -5    2    0    0   -2   -2    0   -4   -6   -5   -5 
E      1   -6    2    8   -3   -1   -1   -3    1   -3   -3   -1    0    3    0    0   -2   -2   -4   -4   -1 
F     -3   -7   -5   -7    8   -6   -1    0   -5    2    1   -5   -5   -2   -4   -4   -4   -1    3    4   -1 
G     -1   -7   -5   -4   -6    7   -4   -6   -3   -6   -5   -4   -3   -6   -3    1   -4   -5   -5   -7   -3 
H     -2   -7    0   -6   -1   -2   11   -3    0   -2   -3   -1   -3    1    0    0    3   -2   -3    0   -2 
I     -2   -8   -7   -5    0   -6   -5    6   -3    2    2   -7   -4   -5   -4   -7   -1    3   -2   -3   -1 
K      0   -7   -4   -3   -3   -1   -2   -2    6   -2   -2    1    0    0    3    0   -2   -1   -5   -5   -5 
L     -2   -6   -5   -5    2   -6   -4    3   -3    6    3   -6   -4   -4   -3   -3   -4    1   -2   -1   -1 
M     -1   -9   -7   -4    1   -4   -3    3   -2    4    9   -1   -4    0   -2    0   -2    1   -2   -1    0 
N     -1   -4    2    0   -4    0    1   -4    0   -3   -2    9   -1    0   -1    0    2   -3   -5   -3   -4 
P     -1   -8   -4   -2   -5   -2   -2   -3   -2   -4   -4   -4    9   -5   -3   -4   -1   -3   -6   -3   -2 
Q      1   -5    0    4   -3   -1    2   -2    2   -2    0    2    0   10    1   -1   -1   -1   -4   -4   -3 
R     -1   -8   -4   -3   -3   -2    0   -3    3   -2   -2    0   -1    0    8   -1   -1   -2   -3   -2   -4 
S      1   -6    0   -2   -4    0   -2   -4   -1   -3   -3    0    0   -3   -1    6    3   -2   -4   -3   -1 
T     -1   -6   -1    1   -3   -2   -2   -1   -1   -2   -1    0   -2   -2   -1    3    7    0   -5   -3    0 
V     -1   -8   -5   -4   -1   -4   -5    3   -3    1    0   -6   -3   -5   -4   -4   -2    4   -3   -2    1 
W     -3   -9   -4   -8    3   -4   -3   -2   -5   -1   -1  -10   -5   -6   -3   -1   -7   -2   15    7   -5 
Y     -3   -6   -3   -6    4   -4    3   -1   -2   -1    0   -4   -4   -3   -2   -6   -5   -2    3    9   -2 
J      0   -1   -1   -8   -1   -2    0   -1   -4    0    0   -8   -4   -9   -3    0   -2    1   -3   -2   15 
U     -2   17   -4  -10   -3   -4   -3   -3   -5   -2   -2  -10   -6  -11   -5    1   -4   -1   -5   -4   12 
>HASOn 1
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      5   -5    0    1   -2    1   -1   -1    1   -1    0    0    0    0    0    2    0    0   -3   -2    1 
C     -6   20   -7  -13   -6   -7  -15   -8   -7   -7   -6  -10   -9   -3  -10  -14   -6   -7   -9   -9   -4 
D     -1   -6    6    2   -6   -1   -3   -6   -1   -5   -5    1   -1    0   -2    0   -1   -5   -6   -2   -4 
E      0   -6    4    7   -4   -2   -1   -4    0   -3   -3    1    0    2   -1    1    0   -2   -3   -3   -4 
F     -3   -6   -6   -8    8   -6   -4    0   -4    2    1   -6   -5   -5   -4   -5   -5   -1    2    6   -2 
G     -1   -7   -3   -3   -6    7   -6   -6   -5   -6   -5   -3   -3   -4   -5   -1   -3   -5   -4   -9   -2 
H     -2   -7   -2   -1   -1   -3   12   -3   -2   -3   -2    1   -3    0    1   -1    0   -3   -1    2   -4 
I     -2   -8   -8   -7    0   -6   -4    6   -1    2    2   -4   -4   -3   -4   -5   -2    3   -3   -4    1 
K      0   -7    2    2   -4   -2   -1   -3    7   -2   -1    1    0    2    3    0    1   -2   -2   -3   -1 
L     -2   -7   -5   -4    2   -6   -3    3   -2    6    3   -3   -4   -1   -2   -3   -2    1   -1   -2    0 
