#
# Environment-specific amino acid substitution matrices
# Creator: subst version 1.15
# CreationDate: 23/1/2008 15:40:13
#
# Definitions for structural environments:
# 6 features used
#
# domain interface;TF;Dd;T;T
# secondary structure and phi angle;HEPC;HEPC;F;F
# solvent accessibility;TF;Aa;F;F
# hydrogen bond to other sidechain/heterogen;TF;Ss;F;F
# hydrogen bond to mainchain CO;TF;Oo;F;F
# hydrogen bond to mainchain NH;TF;Nn;F;F
#
# (read in from classdef.dat)
#
# Number of alignments: 221
# (list of .tem files read in from TEMLIST.MaskA)
#
# Total number of structures: 902
#
# Total number of raw substitution counts: 1171096
#   0 HASON    2825
#   1 HASOn   16435
#   2 HASoN    7060
#   3 HASon   53459
#   4 HAsON    3532
#   5 HAsOn   35390
#   6 HAsoN    5538
#   7 HAson  180039
#   8 HaSON    3259
#   9 HaSOn   11265
#  10 HaSoN    5446
#  11 HaSon   10915
#  12 HasON    4239
#  13 HasOn   16700
#  14 HasoN    4161
#  15 Hason  172272
#  16 EASON     849
#  17 EASOn    4272
#  18 EASoN    2828
#  19 EASon   18068
#  20 EAsON    1041
#  21 EAsOn    6129
#  22 EAsoN    2562
#  23 EAson   65278
#  24 EaSON    1646
#  25 EaSOn    3802
#  26 EaSoN    2421
#  27 EaSon   12867
#  28 EasON    2447
#  29 EasOn    5417
#  30 EasoN    1142
#  31 Eason  111492
#  32 PASON      61
#  33 PASOn    1037
#  34 PASoN     814
#  35 PASon    3249
#  36 PAsON     359
#  37 PAsOn    2127
#  38 PAsoN     541
#  39 PAson   34181
#  40 PaSON     152
#  41 PaSOn     545
#  42 PaSoN     261
#  43 PaSon     195
#  44 PasON      63
#  45 PasOn     276
#  46 PasoN     100
#  47 Pason   10051
#  48 CASON    2705
#  49 CASOn    7371
#  50 CASoN   15257
#  51 CASon   30993
#  52 CAsON    4467
#  53 CAsOn   19589
#  54 CAsoN   15379
#  55 CAson  142521
#  56 CaSON    2567
#  57 CaSOn    6603
#  58 CaSoN    3478
#  59 CaSon    5865
#  60 CasON    4648
#  61 CasOn    6559
#  62 CasoN    2171
#  63 Cason   72115
#
# Number of counts discarded due to constraints: 0
#
# Number of counts discarded due to masking: 134829
#
# Total number of environments: 64
# Weighting scheme: clustering at PID 60 level
#
# Smoothing:
# p1(ri) (i.e., amino acid composition) is estimated by summing over
# each row in all matrices (no smoothing)
#                           ^^^^^^^^^^^^
# p2(ri|Rj) is estimated as:
#    p2(ri|Rj) = omega1 * p1(ri) + omega2 * W2(ri|Rj)
# 
# p3(ri|Rj,fq) is estimated as:
#    p3(ri|Rj,fq) = omega1 * A2(ri|fq) + omega2 * W3(ri|Rj,fq)
# where
#    A2(ri|fq) = p2(ri|fq) (fixed fq; partial smoothing)
# 
# The smoothing procedure is curtailed here and finally
# p5(ri|Rj,...) is estimated as:
#    p5(ri|Rj,...) = omega1 * A3(ri|Rj,fq) + omega2 * W5(ri|Rj...)
# where
#    A3(ri|Rj,fq) = sum over fq omega_c * pc3(Rj,fq)
# 
# Weights (omegas) are calculated as in Topham et al. 1993)
# 
# sigma value used is:  5.00
# 
# Each column (j) represents the probability distribution for the 
# likelihood of acceptance of a mutational event by a residue type j in 
# a particular structural environment (specified after >) leading to 
# any other residue type (i).
#
# The probabilities were then divided by the background probabilities
# which were derived from the environment-independent amino acid frequencies.
#                             ^^^^^^^^^^^^^^^^^^^^^^^
# See Eq. 3 of Shi et al. (2001) for more detail.
#
# Shown here are logarithms of these values multiplied by 3/log(2) 
# rounded to the nearest integer (log-odds scores in 1/3 bit units).
#
# There are 21 amino acids considered:
# ACDEFGHIKLMNPQRSTVWYJ
# where C represents half-cystine (disulphide bonded)
# and J represents cysteine (non disulphide bonded).
#
# The sequence has an additional row for 'U', which means
# both half-cystine and cysteine (with no distinction) and
# this should normally correspond to Cys in amino acid sequences.
#
# For total (composite) matrix, Entropy = 0.5385 bits, Expected score = -0.4695
#
>HASON 0
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      4   -2   -1    1   -1    0   -2    0   -1   -1   -1   -1    0    0   -2    0   -1    0   -2   -3    1 
C     -6   26  -13  -12   -4   -4  -12   -3   -9   -4   -5  -11   -9  -14   -4   -9   -8   -3   -7   -7   -1 
D      0   -7    8    2   -4   -1   -1   -5    0   -5   -4    2   -1    3   -1    2    2   -5   -6   -6   -3 
E      1   -7    3    6   -3   -1    0   -2    1   -3   -3   -1    0    4    0    1    0   -1   -5   -6   -4 
F     -3   -3   -7   -6    7   -6   -3    0   -4    1    0   -5   -5   -5   -4   -9    3    0    2    6    0 
G     -1   -4   -3   -5   -6    9   -3   -7   -3   -5   -5   -4   -4   -2   -4   -4   -3   -5   -7   -8    0 
H     -1   -7   -3    1    0   -3   11   -2    0   -2   -2    0   -3   -1    0   -5   -1   -1   -3    6   -3 
I     -2   -5   -8   -3    0   -7   -5    4   -4    2    1   -6   -3   -7   -4   -1   -4    2   -2   -5    0 
K      1   -7   -3    1   -3   -1    0   -2    7   -2   -2    1   -1   -4    3   -2    0   -2   -4   -6   -4 
L     -2   -3   -8   -5    2   -5   -5    2   -3    4    3   -5   -4   -6   -3   -5   -1    1   -1   -3    0 
M     -1   -4   -7   -7    1   -5   -2    2   -3    3    8   -2   -5   -5   -3   -5   -2    1   -1   -5    1 
N     -2   -3    2   -1   -4    0    2   -5    0   -4   -4   10   -2   -5    0    0   -2   -3   -5   -8   -3 
P     -1   -9   -6   -2   -5   -3   -6   -2   -3   -3   -5   -5   10   -9   -3   -6   -4   -3   -6   -6   -4 
Q      1   -8    7    3   -3   -1    2   -2    2   -2   -2    1   -1   10    2    1    1   -1   -5   -5   -4 
R      0   -3   -1    1   -2   -3   -1   -2    3   -2   -2    2   -2   -5    8   -3    0   -2   -4   -5   -2 
S      1   -3   -2   -2   -3    0   -1   -3    0   -3   -2   -1    0   -1    0    6    3   -2   -6   -8    0 
T     -1   -4   -4   -2   -2   -2   -3   -1   -1   -2   -1   -1   -1   -4   -1    3    4    0   -4   -6    0 
V     -2   -4   -6   -3   -1   -5   -3    2   -4    0    1   -7   -3   -7   -4    2   -4    4   -2   -5    1 
W     -3   -4  -10   -6    2   -6   -5   -2   -3   -1    0   -5   -5   -7   -4   -8   -7   -1   14    2   -3 
Y     -2   -4   -4   -2    5   -4    1   -1   -2    0   -1   -8   -5   -4   -1   -9   -2   -1    5   11   -2 
J     -1   -3   -7   -5    0   -4   -3    0   -3    0    2   -6   -5   -9   -3   -6    2    1   -3   -5   10 
U     -1   16   -8   -5   -1   -4   -4    0   -3    0    2   -7   -5  -10   -3   -6    1    1   -4   -5    9 
>HASOn 1
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      4   -2    0   -2   -1    0   -1   -1   -1   -1   -1   -3    0    0   -1    2    1    0    0    0    0 
C     -4   26  -20    1   -4   -4  -17   -3  -19   -3   -4  -18   -9  -15    0   -3  -12   -3  -10  -11   -5 
D     -1   -8    5    0   -4   -1   -7   -5   -1   -5   -4    1   -1    1   -1    1    0   -5   -9   -5   -1 
E      1   -8    4    9   -4   -2    3   -3    0   -3   -3   -1    0    1    0    2    1   -2   -8   -3   -1 
F     -2   -4   -4  -12    7   -5    0    0   -4    1    1   -7   -5   -4   -4   -2   -4    0    3    2   -2 
G     -1   -4   -4   -6   -5    9  -10   -6   -4   -6   -6   -5   -3   -4   -4   -3   -2   -5   -5   -6   -3 
H     -1   -7   -1   -1    0   -3   11   -2    0   -2   -2    0   -3    3    0   -2    0   -2   -1    1   -5 
I     -2   -4   -6   -4    0   -6   -5    5   -4    2    1   -6   -3   -4   -3   -3   -1    3   -1   -2   -1 
K      0   -7    3    1   -3   -2   -2   -3    6   -2   -2    0   -1    4    3    2    1   -3   -6    2    0 
L     -2   -3   -4   -7    1   -5   -4    2   -1    5    3   -5   -4   -3   -3   -2   -1    1   -2   -2    2 
M     -1   -4   -4   -5    1   -5   -3    2   -2    3    8   -5   -5   -3   -3   -2   -1    1    0   -3    2 
