#
# Environment-specific amino acid substitution matrices
# Creator: subst version 1.15
# CreationDate: 23/1/2008 15:47:11
#
# Definitions for structural environments:
# 6 features used
#
# domain interface;TF;Dd;T;T
# secondary structure and phi angle;HEPC;HEPC;F;F
# solvent accessibility;TF;Aa;F;F
# hydrogen bond to other sidechain/heterogen;TF;Ss;F;F
# hydrogen bond to mainchain CO;TF;Oo;F;F
# hydrogen bond to mainchain NH;TF;Nn;F;F
#
# (read in from classdef.dat)
#
# Number of alignments: 221
# (list of .tem files read in from TEMLIST.MaskARand)
#
# Total number of structures: 902
#
# Total number of raw substitution counts: 1138330
#   0 HASON    2632
#   1 HASOn   15235
#   2 HASoN    6707
#   3 HASon   53721
#   4 HAsON    3743
#   5 HAsOn   35390
#   6 HAsoN    5519
#   7 HAson  186961
#   8 HaSON    2867
#   9 HaSOn    9849
#  10 HaSoN    4721
#  11 HaSon   10294
#  12 HasON    3739
#  13 HasOn   14932
#  14 HasoN    3627
#  15 Hason  148883
#  16 EASON     777
#  17 EASOn    4152
#  18 EASoN    2815
#  19 EASon   19737
#  20 EAsON    1167
#  21 EAsOn    6187
#  22 EAsoN    2868
#  23 EAson   71953
#  24 EaSON    1349
#  25 EaSOn    3471
#  26 EaSoN    2321
#  27 EaSon   10781
#  28 EasON    2087
#  29 EasOn    4438
#  30 EasoN    1246
#  31 Eason   96853
#  32 PASON      62
#  33 PASOn    1091
#  34 PASoN     826
#  35 PASon    3745
#  36 PAsON     370
#  37 PAsOn    2214
#  38 PAsoN     646
#  39 PAson   38521
#  40 PaSON     147
#  41 PaSOn     572
#  42 PaSoN     256
#  43 PaSon     196
#  44 PasON      37
#  45 PasOn     213
#  46 PasoN     119
#  47 Pason    9670
#  48 CASON    2638
#  49 CASOn    7327
#  50 CASoN   14844
#  51 CASon   32821
#  52 CAsON    4406
#  53 CAsOn   18973
#  54 CAsoN   15935
#  55 CAson  149061
#  56 CaSON    2403
#  57 CaSOn    5641
#  58 CaSoN    3374
#  59 CaSon    5445
#  60 CasON    4311
#  61 CasOn    5942
#  62 CasoN    2181
#  63 Cason   63321
#
# Number of counts discarded due to constraints: 0
#
# Number of counts discarded due to masking: 152431
#
# Total number of environments: 64
# Weighting scheme: clustering at PID 60 level
#
# Smoothing:
# p1(ri) (i.e., amino acid composition) is estimated by summing over
# each row in all matrices (no smoothing)
#                           ^^^^^^^^^^^^
# p2(ri|Rj) is estimated as:
#    p2(ri|Rj) = omega1 * p1(ri) + omega2 * W2(ri|Rj)
# 
# p3(ri|Rj,fq) is estimated as:
#    p3(ri|Rj,fq) = omega1 * A2(ri|fq) + omega2 * W3(ri|Rj,fq)
# where
#    A2(ri|fq) = p2(ri|fq) (fixed fq; partial smoothing)
# 
# The smoothing procedure is curtailed here and finally
# p5(ri|Rj,...) is estimated as:
#    p5(ri|Rj,...) = omega1 * A3(ri|Rj,fq) + omega2 * W5(ri|Rj...)
# where
#    A3(ri|Rj,fq) = sum over fq omega_c * pc3(Rj,fq)
# 
# Weights (omegas) are calculated as in Topham et al. 1993)
# 
# sigma value used is:  5.00
# 
# Each column (j) represents the probability distribution for the 
# likelihood of acceptance of a mutational event by a residue type j in 
# a particular structural environment (specified after >) leading to 
# any other residue type (i) and sums up to 100.
#
# There are 21 amino acids considered:
# ACDEFGHIKLMNPQRSTVWYJ
# where C represents half-cystine (disulphide bonded)
# and J represents cysteine (non disulphide bonded).
#
# The sequence has an additional row for 'U', which means
# both half-cystine and cysteine (with no distinction) and
# this should normally correspond to Cys in amino acid sequences.
#
>HASON 0
#        A      C      D      E      F      G      H      I      K      L      M      N      P      Q      R      S      T      V      W      Y      J 
A    22.49   4.61   5.76   8.12   6.45   9.08   8.20   7.28   6.23   7.23   6.61   6.35   8.32   6.63   5.87   8.87   6.63   8.41   5.38   4.53  11.10 
C     0.04  59.82   0.01   0.01   0.06   0.04   0.01   0.09   0.03   0.07   0.07   0.02   0.02   0.01   0.06   0.02   0.03   0.09   0.03   0.03   0.20 
D     4.00   0.86  38.17   7.68   1.92   3.34   3.20   1.78   4.39   1.73   1.94   7.37   4.43   9.01   3.96   7.45   8.37   1.82   1.21   1.12   3.13 
E     7.86   1.16  12.25  29.26   2.87   4.15   8.10   4.11   8.09   3.73   3.90   5.84   6.52  15.31   7.13   9.62   6.79   4.71   2.17   1.53   2.68 
F     2.54   2.00   0.83   1.41  21.38   1.38   2.28   4.49   1.56   5.80   4.49   1.31   1.50   2.47   1.93   0.57   7.74   3.99   6.79  16.96   3.61 
G     5.45   2.02   2.94   1.90   2.23  48.43   3.28   1.40   2.76   1.78   1.76   2.66   2.96   9.14   2.36   3.32   3.80   2.16   1.49   1.15   5.36 
H     1.98   0.48   1.08   2.98   2.32   1.24  32.71   1.57   1.92   1.49   1.38   2.52   1.17   2.24   2.24   0.94   3.04   1.53   1.16   8.31   0.95 
I     4.03   2.77   1.17   3.84   6.39   1.36   2.09  18.69   2.46   9.84   8.44   1.25   3.36   1.21   2.68   5.27   3.00  11.74   3.93   2.17   6.85 
K     5.98   1.78   2.48   7.10   2.80   3.61   4.87   3.28  29.01   3.84   3.56   7.39   4.86   3.15  10.39   3.84   4.60   3.64   2.04   1.29   2.76 
L     7.38   5.03   1.73   3.80  14.86   3.12   3.20  18.04   5.26  29.47  19.31   4.69   4.58   3.47   5.23   4.32   7.84  13.69   8.16   5.42  10.14 
M     2.11   1.41   0.48   0.93   3.76   0.81   1.60   4.30   1.44   5.30  15.12   1.96   0.93   0.71   1.50   0.80   1.44   3.69   2.20   0.93   3.21 
N     2.84   1.92   6.40   2.79   1.70   3.34   5.14   1.37   3.84   1.57   1.70  32.19   2.43   1.39   3.81   3.63   2.39   1.87   1.24   0.62   2.00 
P     3.02   0.47   0.96   3.20   1.32   1.85   1.03   2.26   2.04   1.66   1.35   1.02  37.64   0.34   1.82   1.08   1.30   2.17   0.86   0.97   1.41 
Q     4.02   0.88  13.34   5.84   2.09   2.52   3.74   2.19   5.42   2.27   2.46   4.85   2.49  33.52   5.12   5.19   4.27   2.51   1.15   1.17   1.26 
R     4.75   2.64   3.81   6.68   3.00   2.77   3.92   3.20   9.50   3.58   3.63   8.40   3.40   1.57  29.52   3.75   4.95   3.15   2.06   1.54   3.38 
S     7.48   2.69   3.18   3.84   2.80   5.30   4.29   2.92   5.05   2.89   3.37   4.28   4.98   3.59   4.91  20.82  11.70   3.75   1.60   1.00   6.24 
T     4.32   2.16   1.76   2.45   2.94   2.67   2.90   4.01   3.79   3.03   3.73   4.80   3.71   1.79   3.97   9.69  14.47   4.57   2.20   1.18   5.01 
V     5.31   3.87   2.04   4.46   6.64   2.41   3.19  13.60   3.18   8.68  10.08   1.39   4.42   1.82   3.19   9.27   3.12  20.70   4.93   2.33  11.34 
W     0.84   0.56   0.13   0.67   2.59   0.43   0.44   1.03   0.66   1.06   1.29   0.52   0.47   0.31   0.66   0.25   0.28   1.15  38.76   2.07   0.66 
Y     2.41   1.52   1.32   2.52  10.65   1.52   5.20   3.00   2.49   3.53   3.34   0.89   1.33   2.13   2.95   0.55   2.08   2.92  12.10  45.28   2.40 
J     1.15   1.33   0.15   0.50   1.24   0.62   0.61   1.39   0.88   1.46   2.46   0.30   0.48   0.20   0.69   0.77   2.17   1.72   0.55   0.40  16.30 
>HASOn 1
#        A      C      D      E      F      G      H      I      K      L      M      N      P      Q      R      S      T      V      W      Y      J 
A    23.83   4.65   8.17   3.60   5.96   8.69   7.45   6.70   5.50   6.75   6.84   4.34   7.71   8.00   7.71  14.17  12.71   7.99   8.43   8.70   9.21 
C     0.06  60.12   0.00   0.23   0.06   0.05   0.00   0.08   0.00   0.08   0.07   0.00   0.02   0.01   0.13   0.08   0.01   0.08   0.02   0.01   0.07 
D     3.64   0.86  15.17   7.28   1.72   3.33   0.90   1.51   3.72   1.54   2.02   6.39   4.22   6.19   3.60   4.60   4.49   1.57   0.68   1.76   3.83 
E     6.92   1.11  15.23  46.49   2.54   3.61  12.74   3.42   7.08   3.25   3.85   5.63   5.99   8.08   6.77   8.79   6.69   3.91   1.18   2.53   4.03 
F     2.60   1.92   1.50   0.32  23.03   1.36   4.35   4.63   1.92   5.97   5.32   1.31   1.55   2.10   1.95   2.34   1.84   4.07   6.52   6.75   2.76 
G     5.89   2.26   2.88   1.72   2.18  50.75   0.70   1.45   2.00   1.74   1.67   2.28   3.03   1.97   1.77   3.56   4.58   2.18   2.36   1.25   3.69 
H     1.86   0.45   1.92   1.42   2.10   1.17  37.07   1.37   2.01   1.38   1.44   2.57   1.19   4.25   2.05   1.10   2.24   1.38   2.16   3.57   0.62 
