#
# Environment-specific amino acid substitution matrices
# Creator: subst version 1.15
# CreationDate: 22/1/2008 18:32:12
#
# Definitions for structural environments:
# 6 features used
#
# domain interface;TF;Dd;T;T
# secondary structure and phi angle;HEPC;HEPC;F;F
# solvent accessibility;TF;Aa;F;F
# hydrogen bond to other sidechain/heterogen;TF;Ss;F;F
# hydrogen bond to mainchain CO;TF;Oo;F;F
# hydrogen bond to mainchain NH;TF;Nn;F;F
#
# (read in from classdef.dat)
#
# Number of alignments: 148
# (list of .tem files read in from TEMLIST.MaskARand_train)
#
# Total number of structures: 563
#
# Total number of raw substitution counts: 467762
#   0 HASON    1021
#   1 HASOn    6486
#   2 HASoN    2352
#   3 HASon   22814
#   4 HAsON    1409
#   5 HAsOn   14020
#   6 HAsoN    1928
#   7 HAson   86567
#   8 HaSON    1509
#   9 HaSOn    4799
#  10 HaSoN    1152
#  11 HaSon    3862
#  12 HasON    1422
#  13 HasOn    5871
#  14 HasoN     916
#  15 Hason   55652
#  16 EASON     242
#  17 EASOn    1701
#  18 EASoN     739
#  19 EASon    6960
#  20 EAsON     402
#  21 EAsOn    2531
#  22 EAsoN    1089
#  23 EAson   21692
#  24 EaSON     859
#  25 EaSOn    2016
#  26 EaSoN    1344
#  27 EaSon    5889
#  28 EasON    1213
#  29 EasOn    1992
#  30 EasoN     800
#  31 Eason   44913
#  32 PASON      36
#  33 PASOn     277
#  34 PASoN     185
#  35 PASon    1372
#  36 PAsON     202
#  37 PAsOn     618
#  38 PAsoN     269
#  39 PAson   17358
#  40 PaSON      79
#  41 PaSOn     103
#  42 PaSoN     113
#  43 PaSon     145
#  44 PasON      36
#  45 PasOn      41
#  46 PasoN      56
#  47 Pason    4068
#  48 CASON    1341
#  49 CASOn    3227
#  50 CASoN    5811
#  51 CASon   13290
#  52 CAsON    2286
#  53 CAsOn    6756
#  54 CAsoN    6523
#  55 CAson   58834
#  56 CaSON    1306
#  57 CaSOn    2033
#  58 CaSoN    1655
#  59 CaSon    2760
#  60 CasON    1566
#  61 CasOn    2292
#  62 CasoN     816
#  63 Cason   26146
#
# Number of counts discarded due to constraints: 0
#
# Number of counts discarded due to masking: 98627
#
# Total number of environments: 64
# Weighting scheme: clustering at PID 60 level
#
# Smoothing:
# p1(ri) (i.e., amino acid composition) is estimated by summing over
# each row in all matrices (no smoothing)
#                           ^^^^^^^^^^^^
# p2(ri|Rj) is estimated as:
#    p2(ri|Rj) = omega1 * p1(ri) + omega2 * W2(ri|Rj)
# 
# p3(ri|Rj,fq) is estimated as:
#    p3(ri|Rj,fq) = omega1 * A2(ri|fq) + omega2 * W3(ri|Rj,fq)
# where
#    A2(ri|fq) = p2(ri|fq) (fixed fq; partial smoothing)
# 
# The smoothing procedure is curtailed here and finally
# p5(ri|Rj,...) is estimated as:
#    p5(ri|Rj,...) = omega1 * A3(ri|Rj,fq) + omega2 * W5(ri|Rj...)
# where
#    A3(ri|Rj,fq) = sum over fq omega_c * pc3(Rj,fq)
# 
# Weights (omegas) are calculated as in Topham et al. 1993)
# 
# sigma value used is:  5.00
# 
# Each column (j) represents the probability distribution for the 
# likelihood of acceptance of a mutational event by a residue type j in 
# a particular structural environment (specified after >) leading to 
# any other residue type (i) and sums up to 100.
#
# There are 21 amino acids considered:
# ACDEFGHIKLMNPQRSTVWYJ
# where C represents half-cystine (disulphide bonded)
# and J represents cysteine (non disulphide bonded).
#
# The sequence has an additional row for 'U', which means
# both half-cystine and cysteine (with no distinction) and
# this should normally correspond to Cys in amino acid sequences.
#
>HASON 0
#        A      C      D      E      F      G      H      I      K      L      M      N      P      Q      R      S      T      V      W      Y      J 
A    26.27   2.39   5.18   8.07   7.26  10.64   8.80   7.69   6.43   8.62   6.58   6.23   7.63   4.97   6.85   6.74   6.64   9.95   6.17   6.15  13.42 
C     0.02  63.05   0.01   0.02   0.11   0.05   0.01   0.11   0.03   0.09   0.00   0.02   0.06   0.01   0.11   0.04   0.03   0.11   0.02   0.10   0.44 
D     3.75   1.13  48.38   9.12   1.99   3.12   4.01   1.97   4.77   1.98   2.53   8.48   5.71   6.44   3.43   5.93   7.20   1.80   1.08   2.29   3.26 
E     7.34   1.36   9.09  33.23   2.48   3.93   7.82   3.46   8.79   3.63   3.87   5.71   6.21  10.63   6.96   8.54   3.41   3.52   2.33   2.88   2.19 
F     2.37   2.46   0.85   1.37  22.53   1.45   2.68   4.54   1.48   5.83   5.21   1.70   1.78   5.50   1.86   0.78   5.77   3.94   8.34  10.76   2.82 
G     6.48   1.95   2.61   2.38   2.87  47.21   3.97   1.63   3.24   2.49   2.68   3.59   3.82  15.37   2.63   3.95   2.97   2.38   2.14   3.53   6.43 
H     1.73   0.12   1.70   2.97   1.96   1.02  22.18   1.55   2.00   1.60   1.72   2.77   1.32   5.17   2.25   0.80   3.41   1.46   2.43   2.62   0.95 
I     3.67   2.52   0.98   3.32   6.53   1.29   3.03  21.51   2.12   9.49   8.69   1.40   2.88   1.66   2.48   6.56   4.38  12.07   3.84   4.91   5.94 
K     5.46   1.81   2.98   7.41   2.63   3.26   6.06   2.77  29.23   3.83   3.24   5.16   5.37   4.22   9.92   4.47   3.14   3.20   2.39   1.93   1.46 
L     6.79   4.71   2.23   3.14  13.78   3.25   4.44  15.74   5.10  27.80  16.03   4.41   2.95   3.35   5.06   4.88   7.06  12.47   9.11  10.80   7.86 
M     1.78   0.10   0.74   0.93   3.83   0.94   2.09   4.02   1.31   4.40  15.25   2.24   1.08   1.09   1.40   0.56   1.67   3.40   2.84   1.90   2.27 
N     2.62   1.76   7.61   3.71   1.91   3.62   7.08   1.65   4.13   1.72   2.37  32.27   2.99   2.22   4.02   5.27   2.47   2.08   1.80   1.31   2.71 
P     2.25   0.82   1.55   2.54   1.45   1.86   1.66   1.66   2.31   1.12   1.33   1.42  35.75   0.50   1.90   1.41   1.45   2.38   0.89   2.11   1.52 
Q     3.55   1.00   2.50   6.61   2.54   2.34   4.82   1.92   5.03   2.23   3.05   3.68   2.51  22.21   4.83   3.74   3.61   2.47   1.89   2.49   1.59 
R     4.49   3.60   2.65   4.24   2.88   2.60   4.19   3.01   9.75   3.72   3.32   8.12   3.66   3.06  30.66   4.38   2.80   2.90   2.96   2.77   3.29 
S     7.02   2.81   3.27   4.46   2.64   5.76   3.44   2.46   4.42   2.78   2.79   5.15   4.90   3.37   4.42  21.17  10.79   2.94   1.65   2.45   7.76 
T     4.52   1.47   2.15   2.98   3.28   2.65   3.61   4.75   4.02   3.38   4.26   3.66   3.68   3.15   4.03  11.62  25.46   5.54   2.25   2.80   6.18 
V     5.69   3.26   3.18   1.79   6.71   2.28   4.52  14.31   3.03   9.17   9.91   2.20   5.20   3.07   3.17   6.78   4.76  21.78   5.99   5.40  10.28 
W     0.82   0.38   0.13   0.32   3.03   0.47   0.96   0.96   0.55   1.37   1.39   0.66   0.50   0.16   0.83   0.17   0.35   1.22  35.02   1.89   0.86 
Y     2.30   1.51   2.00   1.07   8.61   1.70   4.01   3.11   1.93   3.59   4.13   0.70   1.59   3.66   2.64   0.99   1.23   2.94   6.01  30.12   2.41 
J     1.10   1.78   0.21   0.31   0.98   0.56   0.64   1.20   0.33   1.14   1.66   0.43   0.40   0.18   0.56   1.22   1.39   1.43   0.83   0.78  16.36 
>HASOn 1
#        A      C      D      E      F      G      H      I      K      L      M      N      P      Q      R      S      T      V      W      Y      J 
A    27.11   2.37   8.88   6.76   6.71   9.98   5.42   7.10   4.74   8.09   6.99   7.03   7.10   8.92   9.50  16.14  12.82   9.38   5.44  13.22  10.48 
C     0.03  65.55   0.00   0.48   0.11   0.05   0.00   0.10   0.01   0.09   0.00   0.01   0.05   0.01   0.25   0.11   0.01   0.09   0.02   0.05   0.17 
