#
# Environment-specific amino acid substitution matrices
# Creator: subst version 1.15
# CreationDate: 23/1/2008 15:39:52
#
# Definitions for structural environments:
# 6 features used
#
# domain interface;TF;Dd;T;T
# secondary structure and phi angle;HEPC;HEPC;F;F
# solvent accessibility;TF;Aa;F;F
# hydrogen bond to other sidechain/heterogen;TF;Ss;F;F
# hydrogen bond to mainchain CO;TF;Oo;F;F
# hydrogen bond to mainchain NH;TF;Nn;F;F
#
# (read in from classdef.dat)
#
# Number of alignments: 221
# (list of .tem files read in from TEMLIST.MaskA)
#
# Total number of structures: 902
#
# Total number of raw substitution counts: 1171096
#   0 HASON    2825
#   1 HASOn   16435
#   2 HASoN    7060
#   3 HASon   53459
#   4 HAsON    3532
#   5 HAsOn   35390
#   6 HAsoN    5538
#   7 HAson  180039
#   8 HaSON    3259
#   9 HaSOn   11265
#  10 HaSoN    5446
#  11 HaSon   10915
#  12 HasON    4239
#  13 HasOn   16700
#  14 HasoN    4161
#  15 Hason  172272
#  16 EASON     849
#  17 EASOn    4272
#  18 EASoN    2828
#  19 EASon   18068
#  20 EAsON    1041
#  21 EAsOn    6129
#  22 EAsoN    2562
#  23 EAson   65278
#  24 EaSON    1646
#  25 EaSOn    3802
#  26 EaSoN    2421
#  27 EaSon   12867
#  28 EasON    2447
#  29 EasOn    5417
#  30 EasoN    1142
#  31 Eason  111492
#  32 PASON      61
#  33 PASOn    1037
#  34 PASoN     814
#  35 PASon    3249
#  36 PAsON     359
#  37 PAsOn    2127
#  38 PAsoN     541
#  39 PAson   34181
#  40 PaSON     152
#  41 PaSOn     545
#  42 PaSoN     261
#  43 PaSon     195
#  44 PasON      63
#  45 PasOn     276
#  46 PasoN     100
#  47 Pason   10051
#  48 CASON    2705
#  49 CASOn    7371
#  50 CASoN   15257
#  51 CASon   30993
#  52 CAsON    4467
#  53 CAsOn   19589
#  54 CAsoN   15379
#  55 CAson  142521
#  56 CaSON    2567
#  57 CaSOn    6603
#  58 CaSoN    3478
#  59 CaSon    5865
#  60 CasON    4648
#  61 CasOn    6559
#  62 CasoN    2171
#  63 Cason   72115
#
# Number of counts discarded due to constraints: 0
#
# Number of counts discarded due to masking: 134829
#
# Total number of environments: 64
# Weighting scheme: clustering at PID 60 level
#
# Smoothing:
# p1(ri) (i.e., amino acid composition) is estimated by summing over
# each row in all matrices (no smoothing)
#                           ^^^^^^^^^^^^
# p2(ri|Rj) is estimated as:
#    p2(ri|Rj) = omega1 * p1(ri) + omega2 * W2(ri|Rj)
# 
# p3(ri|Rj,fq) is estimated as:
#    p3(ri|Rj,fq) = omega1 * A2(ri|fq) + omega2 * W3(ri|Rj,fq)
# where
#    A2(ri|fq) = p2(ri|fq) (fixed fq; partial smoothing)
# 
# The smoothing procedure is curtailed here and finally
# p5(ri|Rj,...) is estimated as:
#    p5(ri|Rj,...) = omega1 * A3(ri|Rj,fq) + omega2 * W5(ri|Rj...)
# where
#    A3(ri|Rj,fq) = sum over fq omega_c * pc3(Rj,fq)
# 
# Weights (omegas) are calculated as in Topham et al. 1993)
# 
# sigma value used is:  5.00
# 
# Each column (j) represents the probability distribution for the 
# likelihood of acceptance of a mutational event by a residue type j in 
# a particular structural environment (specified after >) leading to 
# any other residue type (i) and sums up to 100.
#
# There are 21 amino acids considered:
# ACDEFGHIKLMNPQRSTVWYJ
# where C represents half-cystine (disulphide bonded)
# and J represents cysteine (non disulphide bonded).
#
# The sequence has an additional row for 'U', which means
# both half-cystine and cysteine (with no distinction) and
# this should normally correspond to Cys in amino acid sequences.
#
>HASON 0
#        A      C      D      E      F      G      H      I      K      L      M      N      P      Q      R      S      T      V      W      Y      J 
A    22.66   4.84   6.40  10.07   6.82   9.26   5.86   7.74   7.09   7.33   6.60   6.59   9.29   8.47   5.90   8.81   6.75   8.86   5.05   4.60  12.02 
C     0.05  61.79   0.01   0.01   0.06   0.07   0.01   0.08   0.02   0.07   0.06   0.01   0.02   0.01   0.07   0.02   0.03   0.09   0.03   0.03   0.13 
D     4.53   0.90  32.82   7.22   2.03   3.71   3.56   1.74   4.70   1.67   1.84   8.30   4.30  10.02   4.04   7.82   8.80   1.73   1.29   1.14   2.60 
E     8.52   1.20  13.51  27.90   2.97   4.68   6.69   4.28   8.75   3.52   3.46   5.65   6.63  17.50   7.14   8.47   7.19   4.68   2.10   1.54   2.38 
F     2.35   1.96   0.89   1.21  20.53   1.22   2.28   4.44   1.58   5.63   4.35   1.29   1.35   1.43   1.78   0.51   8.24   3.95   6.58  19.19   4.43 
G     4.74   2.51   3.14   2.01   1.68  45.81   3.19   1.35   2.82   1.75   1.74   2.21   2.63   3.93   2.23   2.46   3.20   2.13   1.24   1.00   6.60 
H     1.85   0.50   1.24   3.12   2.43   1.21  32.48   1.55   2.19   1.46   1.35   2.51   1.07   2.02   2.38   0.82   2.00   1.65   1.19   8.38   1.17 
I     4.11   2.41   0.98   3.44   6.69   1.50   2.13  18.12   2.63   9.88   8.28   1.58   3.17   1.49   2.77   5.34   2.88  12.08   3.88   2.28   7.47 
K     6.55   1.20   2.73   6.99   2.98   3.97   5.51   3.37  25.41   3.84   3.41   6.91   4.93   2.43  10.53   3.48   6.10   3.58   1.99   1.33   2.48 
L     7.20   4.92   1.84   3.66  15.31   3.54   3.07  18.20   5.42  29.77  20.23   3.24   4.54   2.98   5.16   3.42   8.24  14.13   8.81   5.69  11.36 
M     2.03   1.16   0.51   0.58   3.68   0.89   1.65   4.19   1.44   5.53  16.34   1.61   0.79   0.85   1.51   0.83   1.59   3.81   2.30   0.90   3.27 
N     2.75   2.10   6.63   3.31   1.59   3.66   6.19   1.37   4.01   1.51   1.54  35.26   2.26   1.21   3.86   3.65   2.51   1.88   1.21   0.65   2.01 
P     3.26   0.43   1.02   2.65   1.24   1.94   0.96   2.17   2.13   1.71   1.12   1.11  38.62   0.53   1.84   1.01   1.41   1.92   0.91   0.97   1.42 
Q     4.19   0.53  15.15   6.85   1.89   2.64   4.88   2.13   5.78   2.23   2.28   4.46   2.48  35.87   5.22   4.44   4.45   2.42   1.13   1.18   1.24 
R     4.55   2.67   3.76   6.42   2.80   2.65   4.00   3.05   9.36   3.32   3.37   7.47   3.12   1.43  29.08   2.37   5.18   2.94   1.74   1.47   3.09 
S     6.89   2.78   3.71   3.80   2.86   5.10   4.48   2.90   5.23   2.67   3.13   4.32   4.93   3.99   4.98  23.75  10.07   3.59   1.45   0.86   5.51 
T     4.30   1.81   1.82   2.88   3.08   2.85   2.43   3.97   4.04   3.11   3.86   4.28   3.66   2.14   4.04   8.95  13.12   4.73   2.09   1.15   4.66 
V     5.43   3.53   2.02   4.63   7.00   2.81   4.31  14.08   3.32   9.00  10.49   1.79   4.10   1.79   3.34  12.77   3.12  19.93   5.34   2.53  11.52 
W     0.72   0.53   0.16   0.34   2.54   0.37   0.45   0.94   0.70   1.05   1.31   0.51   0.50   0.28   0.62   0.21   0.27   1.22  39.35   2.17   0.66 
Y     2.15   1.42   1.39   2.43  10.42   1.48   5.17   2.71   2.57   3.27   2.76   0.55   1.14   1.46   2.78   0.50   2.52   2.76  11.63  42.47   2.26 
J     1.18   0.81   0.29   0.49   1.40   0.66   0.71   1.63   0.82   1.68   2.50   0.35   0.47   0.18   0.75   0.36   2.32   1.91   0.68   0.47  13.70 
>HASOn 1
