#
# Environment-specific amino acid substitution matrices
# Creator: subst version 1.15
# CreationDate: 23/1/2008 15:41:5
#
# Definitions for structural environments:
# 6 features used
#
# domain interface;TF;Dd;T;T
# secondary structure and phi angle;HEPC;HEPC;F;F
# solvent accessibility;TF;Aa;F;F
# hydrogen bond to other sidechain/heterogen;TF;Ss;F;F
# hydrogen bond to mainchain CO;TF;Oo;F;F
# hydrogen bond to mainchain NH;TF;Nn;F;F
#
# (read in from classdef.dat)
#
# Number of alignments: 221
# (list of .tem files read in from TEMLIST.MaskB)
#
# Total number of structures: 902
#
# Total number of raw substitution counts: 1387508
#   0 HASON    3140
#   1 HASOn   19405
#   2 HASoN    8370
#   3 HASon   66662
#   4 HAsON    4460
#   5 HAsOn   44541
#   6 HAsoN    6670
#   7 HAson  246311
#   8 HaSON    3472
#   9 HaSOn   12591
#  10 HaSoN    5632
#  11 HaSon   11904
#  12 HasON    4583
#  13 HasOn   17473
#  14 HasoN    4349
#  15 Hason  181225
#  16 EASON     897
#  17 EASOn    5092
#  18 EASoN    3048
#  19 EASon   21594
#  20 EAsON    1259
#  21 EAsOn    7394
#  22 EAsoN    2986
#  23 EAson   79644
#  24 EaSON    1817
#  25 EaSOn    4176
#  26 EaSoN    2670
#  27 EaSon   13479
#  28 EasON    2542
#  29 EasOn    5694
#  30 EasoN    1244
#  31 Eason  116750
#  32 PASON      73
#  33 PASOn    1174
#  34 PASoN     941
#  35 PASon    4069
#  36 PAsON     460
#  37 PAsOn    2631
#  38 PAsoN     674
#  39 PAson   43497
#  40 PaSON     158
#  41 PaSOn     656
#  42 PaSoN     283
#  43 PaSon     211
#  44 PasON      66
#  45 PasOn     291
#  46 PasoN     108
#  47 Pason   11134
#  48 CASON    3185
#  49 CASOn    8702
#  50 CASoN   18339
#  51 CASon   37929
#  52 CAsON    5507
#  53 CAsOn   23352
#  54 CAsoN   19489
#  55 CAson  180984
#  56 CaSON    2794
#  57 CaSOn    7079
#  58 CaSoN    3953
#  59 CaSon    6347
#  60 CasON    5159
#  61 CasOn    6935
#  62 CasoN    2439
#  63 Cason   77815
#
# Number of counts discarded due to constraints: 0
#
# Number of counts discarded due to masking: 41592
#
# Total number of environments: 64
# Weighting scheme: clustering at PID 60 level
#
# Smoothing:
# p1(ri) (i.e., amino acid composition) is estimated by summing over
# each row in all matrices (no smoothing)
#                           ^^^^^^^^^^^^
# p2(ri|Rj) is estimated as:
#    p2(ri|Rj) = omega1 * p1(ri) + omega2 * W2(ri|Rj)
# 
# p3(ri|Rj,fq) is estimated as:
#    p3(ri|Rj,fq) = omega1 * A2(ri|fq) + omega2 * W3(ri|Rj,fq)
# where
#    A2(ri|fq) = p2(ri|fq) (fixed fq; partial smoothing)
# 
# The smoothing procedure is curtailed here and finally
# p5(ri|Rj,...) is estimated as:
#    p5(ri|Rj,...) = omega1 * A3(ri|Rj,fq) + omega2 * W5(ri|Rj...)
# where
#    A3(ri|Rj,fq) = sum over fq omega_c * pc3(Rj,fq)
# 
# Weights (omegas) are calculated as in Topham et al. 1993)
# 
# sigma value used is:  5.00
# 
# Each column (j) represents the probability distribution for the 
# likelihood of acceptance of a mutational event by a residue type j in 
# a particular structural environment (specified after >) leading to 
# any other residue type (i).
#
# The probabilities were then divided by the background probabilities
# which were derived from the environment-independent amino acid frequencies.
#                             ^^^^^^^^^^^^^^^^^^^^^^^
# See Eq. 3 of Shi et al. (2001) for more detail.
#
# Shown here are logarithms of these values multiplied by 3/log(2) 
# rounded to the nearest integer (log-odds scores in 1/3 bit units).
#
# There are 21 amino acids considered:
# ACDEFGHIKLMNPQRSTVWYJ
# where C represents half-cystine (disulphide bonded)
# and J represents cysteine (non disulphide bonded).
#
# The sequence has an additional row for 'U', which means
# both half-cystine and cysteine (with no distinction) and
# this should normally correspond to Cys in amino acid sequences.
#
# For total (composite) matrix, Entropy = 0.5086 bits, Expected score = -0.4288
#
>HASON 0
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      4   -2   -2    0   -1    1   -1    0   -1   -1   -1   -1    0    0   -2    0   -1    0   -2   -3    2 
C     -6   26  -13  -12   -5   -4  -12   -3   -8   -4   -4  -11   -9  -14   -4   -8   -8   -3   -7   -7   -1 
D     -1   -6    9    2   -4   -1   -2   -5    0   -5   -4    2    0    3   -1    2    2   -5   -6   -6   -3 
E      1   -7    3    6   -3   -2    1   -2    1   -2   -3   -1    0    4    0    1    0   -1   -4   -6   -4 
F     -2   -4   -7   -5    7   -5   -3    0   -4    1    0   -6   -5   -4   -4  -10    3    0    2    6    0 
G     -1   -4   -3   -5   -5    8   -3   -6   -3   -5   -5   -4   -3   -2   -4   -3   -2   -5   -6   -8    0 
H     -1   -7   -2    1    0   -2   11   -2    0   -2   -2    0   -3   -1    0   -5    1   -2   -3    5   -3 
I     -2   -4   -8   -3    0   -6   -5    4   -4    2    1   -7   -3   -6   -4   -1   -3    3   -2   -5    0 
K      0   -6   -4    1   -3   -2    0   -2    6   -2   -2    1    0   -3    3   -2    0   -2   -4   -6   -3 
L     -1   -3   -7   -5    2   -5   -5    2   -3    4    3   -4   -4   -5   -3   -4   -1    1   -1   -3    0 
M     -1   -3   -8   -5    1   -5   -2    2   -3    3    8   -2   -5   -4   -2   -5   -3    1   -1   -5    1 
N     -2   -3    2    0   -4    0    2   -4    0   -4   -4    9   -2   -4    0    0   -2   -3   -5   -8   -3 
P     -1  -10   -6   -1   -5   -3   -6   -2   -2   -4   -4   -6   10   -9   -3   -6   -5   -2   -6   -6   -4 
Q      1   -4    6    3   -2   -1    1   -2    2   -2   -2    1   -1   10    2    1    1   -1   -4   -5   -4 
R      0   -3   -1    1   -2   -3   -1   -2    3   -2   -2    3   -2   -5    8   -2    0   -2   -4   -5   -2 
S      1   -2   -2   -2   -3    0    0   -3    0   -3   -2   -1    0   -1   -1    6    3   -2   -5   -8    0 
T     -1   -4   -5   -3   -2   -2   -2   -1   -1   -2   -1   -1   -1   -4   -1    2    4    0   -4   -6    0 
V     -2   -4   -6   -3   -1   -5   -3    2   -4    0    1   -7   -2   -7   -4    2   -4    4   -2   -5    1 
W     -3   -5  -10   -4    3   -4   -5   -1   -3   -1    0   -5   -4   -7   -3   -8   -8    0   14    1   -3 
Y     -2   -5   -4   -2    4   -4    1   -1   -2    0   -1   -5   -5   -4   -1   -6   -1   -1    5   11   -2 
J     -1   -2   -7   -5    0   -3   -4    0   -2    0    2   -7   -5   -9   -3   -6    2    1   -3   -5    9 
U     -1   16   -8   -5   -1   -3   -4    0   -3    0    2   -7   -5   -9   -3   -6    1    1   -3   -5    9 
>HASOn 1
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      4   -2    0   -2   -1    1   -1   -1   -2   -1   -1   -3    0    0    0    2    1    0    0    0    0 
C     -4   26   -5    1   -5   -4  -18   -3  -19   -3   -4  -19  -10   -2   -1   -4  -13   -3  -10  -11   -5 
D     -1   -7    5    2   -5   -1   -7   -5   -2   -5   -4    1   -1    1   -1    1    0   -5   -9   -5   -1 
E      0   -7    4    8   -4   -2    3   -3    0   -3   -2    0    0    2    0    2    1   -2   -8   -3   -1 
F     -2   -4   -5  -12    7   -5    0    0   -4    1    1   -6   -4   -4   -3   -3   -4    0    3    2   -3 
G      0   -4   -3   -6   -5    9  -10   -6   -5   -5   -6   -5   -3   -5   -5   -3   -2   -5   -5   -6   -3 
H     -1   -7   -1   -1    0   -3   11   -2    0   -2   -2    0   -3    3    0   -3    1   -2   -1    0   -6 
I     -2   -4   -5   -4    0   -6   -6    5   -3    2    1   -6   -3   -3   -3   -4   -1    3   -1   -2   -1 
K      0   -6    3    1   -3   -2   -1   -3    6   -2   -2    0   -1    3    3    2    1   -3   -6    2    0 
L     -1   -3   -4   -6    2   -5   -4    2   -1    5    3   -4   -4   -2   -2   -1   -1    1   -2   -1    2 
M     -1   -3   -4   -6    1   -5   -3    2   -2    3    7   -4   -5   -3   -3   -2    0    1    0   -3    2 
N     -2   -4    1   -1   -3    0   -1   -5    0   -4   -4   10   -2    0    0   -1    0   -3   -8   -9   -1 
P     -1  -10   -4   -5   -4   -3   -8   -3   -6   -4   -5   -6   10    0   -4   -3   -8   -3   -6   -8   -6 
