#
# Environment-specific amino acid substitution matrices
# Creator: subst version 1.15
# CreationDate: 23/1/2008 15:41:44
#
# Definitions for structural environments:
# 6 features used
#
# domain interface;TF;Dd;T;T
# secondary structure and phi angle;HEPC;HEPC;F;F
# solvent accessibility;TF;Aa;F;F
# hydrogen bond to other sidechain/heterogen;TF;Ss;F;F
# hydrogen bond to mainchain CO;TF;Oo;F;F
# hydrogen bond to mainchain NH;TF;Nn;F;F
#
# (read in from classdef.dat)
#
# Number of alignments: 221
# (list of .tem files read in from TEMLIST.MaskC)
#
# Total number of structures: 902
#
# Total number of raw substitution counts: 1181242
#   0 HASON    2826
#   1 HASOn   16511
#   2 HASoN    7093
#   3 HASon   54540
#   4 HAsON    3563
#   5 HAsOn   35570
#   6 HAsoN    5560
#   7 HAson  181288
#   8 HaSON    3279
#   9 HaSOn   11420
#  10 HaSoN    5463
#  11 HaSon   11305
#  12 HasON    4310
#  13 HasOn   16798
#  14 HasoN    4201
#  15 Hason  172526
#  16 EASON     852
#  17 EASOn    4286
#  18 EASoN    2854
#  19 EASon   18295
#  20 EAsON    1042
#  21 EAsOn    6192
#  22 EAsoN    2608
#  23 EAson   65527
#  24 EaSON    1677
#  25 EaSOn    3905
#  26 EaSoN    2489
#  27 EaSon   13219
#  28 EasON    2451
#  29 EasOn    5483
#  30 EasoN    1151
#  31 Eason  111905
#  32 PASON      73
#  33 PASOn    1098
#  34 PASoN     834
#  35 PASon    3428
#  36 PAsON     359
#  37 PAsOn    2140
#  38 PAsoN     546
#  39 PAson   34305
#  40 PaSON     167
#  41 PaSOn     560
#  42 PaSoN     268
#  43 PaSon     204
#  44 PasON      63
#  45 PasOn     286
#  46 PasoN     101
#  47 Pason   10085
#  48 CASON    2723
#  49 CASOn    7542
#  50 CASoN   15707
#  51 CASon   33079
#  52 CAsON    4494
#  53 CAsOn   19703
#  54 CAsoN   15473
#  55 CAson  143006
#  56 CaSON    2617
#  57 CaSOn    6630
#  58 CaSoN    3769
#  59 CaSon    6119
#  60 CasON    4652
#  61 CasOn    6607
#  62 CasoN    2190
#  63 Cason   72225
#
# Number of counts discarded due to constraints: 0
#
# Number of counts discarded due to masking: 130519
#
# Total number of environments: 64
# Weighting scheme: clustering at PID 60 level
#
# Smoothing:
# p1(ri) (i.e., amino acid composition) is estimated by summing over
# each row in all matrices (no smoothing)
#                           ^^^^^^^^^^^^
# p2(ri|Rj) is estimated as:
#    p2(ri|Rj) = omega1 * p1(ri) + omega2 * W2(ri|Rj)
# 
# p3(ri|Rj,fq) is estimated as:
#    p3(ri|Rj,fq) = omega1 * A2(ri|fq) + omega2 * W3(ri|Rj,fq)
# where
#    A2(ri|fq) = p2(ri|fq) (fixed fq; partial smoothing)
# 
# The smoothing procedure is curtailed here and finally
# p5(ri|Rj,...) is estimated as:
#    p5(ri|Rj,...) = omega1 * A3(ri|Rj,fq) + omega2 * W5(ri|Rj...)
# where
#    A3(ri|Rj,fq) = sum over fq omega_c * pc3(Rj,fq)
# 
# Weights (omegas) are calculated as in Topham et al. 1993)
# 
# sigma value used is:  5.00
# 
# Each column (j) represents the probability distribution for the 
# likelihood of acceptance of a mutational event by a residue type j in 
# a particular structural environment (specified after >) leading to 
# any other residue type (i).
#
# The probabilities were then divided by the background probabilities
# which were derived from the environment-independent amino acid frequencies.
#                             ^^^^^^^^^^^^^^^^^^^^^^^
# See Eq. 3 of Shi et al. (2001) for more detail.
#
# Shown here are logarithms of these values multiplied by 3/log(2) 
# rounded to the nearest integer (log-odds scores in 1/3 bit units).
#
# There are 21 amino acids considered:
# ACDEFGHIKLMNPQRSTVWYJ
# where C represents half-cystine (disulphide bonded)
# and J represents cysteine (non disulphide bonded).
#
# The sequence has an additional row for 'U', which means
# both half-cystine and cysteine (with no distinction) and
# this should normally correspond to Cys in amino acid sequences.
#
# For total (composite) matrix, Entropy = 0.5502 bits, Expected score = -0.4659
#
>HASON 0
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      4   -3   -1    1   -1    0   -2    0   -1   -1   -1   -1    0    0   -2    0   -1    0   -2   -3    1 
C     -6   25  -14  -12   -4   -4  -12   -3   -9   -4   -5  -11   -9  -14   -4   -9   -8   -3   -7   -7    0 
D     -1   -8    8    1   -4   -1   -2   -5    0   -5   -5    2   -1    3   -1    2    2   -5   -6   -7   -3 
E      1   -7    3    6   -3   -1    0   -2    1   -3   -3   -1    0    4    0    1    0   -1   -5   -6   -4 
F     -3   -4   -7   -6    7   -5   -3    0   -4    1    0   -5   -5   -5   -4   -9    3    0    2    6    0 
G     -1   -4   -3   -5   -6    9   -3   -7   -3   -5   -5   -4   -4   -2   -4   -4   -3   -5   -7   -8    0 
H     -1   -7   -3    1    0   -3   11   -2    0   -2   -2    0   -3   -1    0   -5   -1   -2   -3    5   -3 
I     -2   -5   -8   -3    0   -7   -5    4   -4    2    1   -6   -3   -7   -4   -1   -4    2   -2   -5    0 
K      1   -7   -3    1   -3   -2    0   -2    7   -2   -2    1   -1   -4    3   -2    0   -2   -4   -6   -3 
L     -2   -3   -8   -5    2   -5   -5    2   -3    4    3   -5   -4   -6   -3   -5   -1    1   -1   -3    0 
M     -1   -4   -7   -7    1   -5   -2    2   -3    3    8   -2   -5   -5   -3   -5   -2    1   -1   -5    1 
N     -2   -3    2   -1   -4    0    2   -5    0   -4   -4   10   -2   -5    0    0   -2   -3   -5   -8   -3 
P     -1  -10   -6   -2   -5   -3   -6   -2   -3   -3   -5   -5   10   -9   -3   -6   -4   -3   -6   -6   -4 
Q      1   -8    7    3   -2   -1    2   -2    2   -2   -2    1   -1   10    2    1    1   -1   -5   -5   -4 
R      0   -3   -1    1   -2   -3   -1   -2    3   -2   -2    2   -2   -5    8   -3    0   -2   -4   -5   -2 
S      1   -3   -2   -2   -3    0   -1   -3    0   -3   -2   -1    0   -1    0    6    3   -2   -6   -8    0 
T     -1   -4   -4   -2   -2   -2   -3   -1   -1   -2   -1   -1   -1   -4   -1    3    4    0   -4   -6    0 
V     -2   -4   -6   -2   -1   -5   -3    2   -4    0    1   -7   -3   -7   -4    2   -4    4   -2   -5    1 
W     -3   -4  -10   -6    2   -6   -5   -2   -3   -1    0   -5   -5   -7   -4   -8   -7   -1   14    2   -4 
Y     -2   -4   -4   -2    4   -4    1   -1   -2   -1   -1   -8   -5   -4   -1   -9   -2   -1    5   11   -2 
J     -1   -1   -7   -5    0   -4   -3    0   -3    0    2   -6   -5   -9   -3   -6    2    1   -4   -5   10 
U     -1   16   -8   -5   -1   -4   -4    0   -3    0    2   -7   -5  -10   -3   -6    1    1   -4   -5   10 
>HASOn 1
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      5   -2    0   -2   -1    0   -1   -1   -1   -1   -1   -3    0    0    0    2    1    0    0    0    0 
C     -4   25  -21    1   -4   -4  -17   -4  -20   -3   -4  -18   -9  -15    0   -3  -12   -3  -10  -11   -4 
D     -1   -8    5    0   -5   -2   -7   -6   -2   -5   -4    1   -1    1   -1    1   -1   -5   -9   -5   -2 
E      1   -8    3    9   -4   -2    3   -3    0   -3   -2   -1    0    1    0    2    1   -2   -8   -3   -2 
F     -2   -4   -4  -12    7   -5    0    0   -4    1    1   -7   -5   -4   -4   -2   -4    0    3    2   -2 
G     -1   -4   -3   -6   -5    9  -10   -6   -4   -6   -6   -5   -3   -4   -4   -3   -2   -5   -5   -6   -1 
H     -1   -7   -1   -1    0   -3   12   -2    0   -2   -2    0   -3    3    0   -3    0   -2   -1    0   -5 
I     -2   -4   -6   -4    0   -6   -6    5   -4    2    1   -6   -3   -4   -3   -3   -1    3   -1   -2   -1 
K      0   -7    3    1   -3   -2   -2   -3    6   -2   -2    0   -1    4    3    2    1   -3   -6    2    0 
L     -2   -3   -4   -7    2   -5   -4    2   -1    5    3   -4   -4   -3   -3   -2   -1    1   -2   -2    2 
M     -1   -4   -4   -5    1   -5   -3    2   -2    3    8   -5   -5   -3   -3   -2   -1    1    0   -3    1 
