#
# Environment-specific amino acid substitution matrices
# Creator: subst version 1.15
# CreationDate: 22/1/2008 9:54:12
#
# Definitions for structural environments:
# 6 features used
#
# domain interface;TF;Dd;T;T
# secondary structure and phi angle;HEPC;HEPC;F;F
# solvent accessibility;TF;Aa;F;F
# hydrogen bond to other sidechain/heterogen;TF;Ss;F;F
# hydrogen bond to mainchain CO;TF;Oo;F;F
# hydrogen bond to mainchain NH;TF;Nn;F;F
#
# (read in from classdef.dat)
#
# Number of alignments: 148
# (list of .tem files read in from TEMLIST.MaskC_train)
#
# Total number of structures: 563
#
# Total number of raw substitution counts: 483790
#   0 HASON     971
#   1 HASOn    7011
#   2 HASoN    2572
#   3 HASon   22566
#   4 HAsON    1304
#   5 HAsOn   13863
#   6 HAsoN    2049
#   7 HAson   77692
#   8 HaSON    1870
#   9 HaSOn    5707
#  10 HaSoN    1484
#  11 HaSon    4344
#  12 HasON    1698
#  13 HasOn    6446
#  14 HasoN    1174
#  15 Hason   66940
#  16 EASON     302
#  17 EASOn    1774
#  18 EASoN     655
#  19 EASon    6855
#  20 EAsON     369
#  21 EAsOn    2649
#  22 EAsoN     833
#  23 EAson   21308
#  24 EaSON    1081
#  25 EaSOn    2435
#  26 EaSoN    1342
#  27 EaSon    7895
#  28 EasON    1412
#  29 EasOn    2556
#  30 EasoN     627
#  31 Eason   53124
#  32 PASON      34
#  33 PASOn     309
#  34 PASoN     221
#  35 PASon    1168
#  36 PAsON     191
#  37 PAsOn     652
#  38 PAsoN     165
#  39 PAson   15429
#  40 PaSON      89
#  41 PaSOn     137
#  42 PaSoN     101
#  43 PaSon     140
#  44 PasON      61
#  45 PasOn      49
#  46 PasoN      26
#  47 Pason    4286
#  48 CASON    1379
#  49 CASOn    3353
#  50 CASoN    5853
#  51 CASon   12868
#  52 CAsON    2305
#  53 CAsOn    6943
#  54 CAsoN    6029
#  55 CAson   55349
#  56 CaSON    1419
#  57 CaSOn    2228
#  58 CaSoN    1730
#  59 CaSon    3171
#  60 CasON    1815
#  61 CasOn    2777
#  62 CasoN     731
#  63 Cason   29874
#
# Number of counts discarded due to constraints: 0
#
# Number of counts discarded due to masking: 89375
#
# Total number of environments: 64
# Weighting scheme: clustering at PID 60 level
#
# Smoothing:
# p1(ri) (i.e., amino acid composition) is estimated by summing over
# each row in all matrices (no smoothing)
#                           ^^^^^^^^^^^^
# p2(ri|Rj) is estimated as:
#    p2(ri|Rj) = omega1 * p1(ri) + omega2 * W2(ri|Rj)
# 
# p3(ri|Rj,fq) is estimated as:
#    p3(ri|Rj,fq) = omega1 * A2(ri|fq) + omega2 * W3(ri|Rj,fq)
# where
#    A2(ri|fq) = p2(ri|fq) (fixed fq; partial smoothing)
# 
# The smoothing procedure is curtailed here and finally
# p5(ri|Rj,...) is estimated as:
#    p5(ri|Rj,...) = omega1 * A3(ri|Rj,fq) + omega2 * W5(ri|Rj...)
# where
#    A3(ri|Rj,fq) = sum over fq omega_c * pc3(Rj,fq)
# 
# Weights (omegas) are calculated as in Topham et al. 1993)
# 
# sigma value used is:  5.00
# 
# Each column (j) represents the probability distribution for the 
# likelihood of acceptance of a mutational event by a residue type j in 
# a particular structural environment (specified after >) leading to 
# any other residue type (i) and sums up to 100.
#
# There are 21 amino acids considered:
# ACDEFGHIKLMNPQRSTVWYJ
# where C represents half-cystine (disulphide bonded)
# and J represents cysteine (non disulphide bonded).
#
# The sequence has an additional row for 'U', which means
# both half-cystine and cysteine (with no distinction) and
# this should normally correspond to Cys in amino acid sequences.
#
>HASON 0
#        A      C      D      E      F      G      H      I      K      L      M      N      P      Q      R      S      T      V      W      Y      J 
A    25.79   2.81   5.97   8.44   7.42   9.50   7.60   8.48   7.39   8.67   6.94   5.51   9.35  11.23   6.97   6.47   7.14   9.78   5.78   6.02  14.25 
C     0.03  64.25   0.02   0.02   0.13   0.08   0.01   0.09   0.03   0.09   0.00   0.02   0.06   0.00   0.15   0.04   0.02   0.11   0.02   0.10   0.30 
D     4.47   1.23  42.29  10.26   2.26   3.46   4.19   1.97   5.25   1.89   2.30   9.36   5.65   9.05   3.55   7.59   8.35   1.80   1.48   2.24   2.46 
E     8.61   1.29  10.12  31.36   2.80   4.58   7.98   3.82   9.69   3.54   3.59   5.09   6.88  13.21   7.40   9.18   4.65   3.74   2.56   2.98   2.12 
F     1.95   2.51   0.94   0.74  23.45   0.87   2.35   4.13   1.35   5.06   4.66   1.62   1.55   3.37   1.73   0.72   4.45   3.39   7.76  11.02   2.62 
G     5.20   2.92   2.84   2.55   1.57  47.71   3.58   1.50   3.17   2.46   2.53   2.34   3.40   2.64   2.50   3.44   3.31   2.37   1.53   2.79   7.48 
H     1.52   0.11   1.99   2.91   1.77   0.89  18.37   1.40   2.16   1.42   1.55   2.78   1.10   4.00   2.27   0.79   1.77   1.58   2.25   2.46   1.56 
I     3.91   2.08   0.66   3.34   6.82   1.31   2.80  20.12   2.04   9.84   8.16   1.85   2.54   3.09   2.62   6.54   4.30  12.06   4.32   5.09   6.77 
K     6.37   1.09   3.54   7.40   2.76   3.57   6.54   2.82  26.58   3.95   2.83   4.10   5.26   4.72  10.28   4.77   4.45   3.20   2.19   1.94   1.52 
L     6.48   4.17   2.45   2.99  13.48   3.52   3.76  16.35   5.24  28.01  16.31   3.93   3.00   3.59   5.06   3.77   7.65  12.29  10.20  10.82   8.81 
M     1.67   0.09   0.81   0.89   3.35   0.89   1.94   3.44   1.13   4.19  16.96   2.20   0.77   1.77   1.34   0.60   2.00   3.24   3.16   1.61   2.21 
N     2.56   1.69   8.47   4.43   1.85   3.95   9.19   1.68   4.28   1.78   2.21  36.40   2.92   3.06   4.34   5.67   2.82   2.10   1.62   1.35   2.78 
P     2.65   0.77   1.70   2.59   1.50   2.00   1.67   1.48   2.16   1.16   0.94   1.53  35.72   1.14   2.08   1.46   1.61   2.04   0.95   1.99   1.75 
Q     4.07   0.44   3.20   6.86   2.41   2.29   5.97   2.02   5.62   2.47   2.72   3.28   2.76  19.23   5.37   3.93   4.09   2.38   2.02   2.52   1.74 
R     4.26   4.07   2.41   3.68   2.74   2.31   4.76   2.93   9.15   3.45   2.88   6.89   3.52   3.46  28.47   2.83   3.09   2.59   2.21   2.23   3.10 
S     6.10   2.97   4.12   4.52   2.53   5.17   4.64   2.50   4.45   2.54   2.65   4.97   5.05   5.31   4.60  20.40   8.03   2.63   1.26   1.97   6.23 
T     4.65   1.11   2.55   3.02   3.61   2.70   3.54   4.62   4.22   3.57   4.49   3.42   3.52   4.39   4.25  12.10  23.12   5.74   2.19   2.60   5.45 
V     5.91   3.15   3.38   2.39   7.33   2.76   5.76  15.59   3.36  10.02  11.40   2.85   4.85   3.54   3.44   8.21   5.21  23.56   7.09   5.49  11.55 
W     0.70   0.36   0.22   0.36   2.93   0.32   0.98   0.86   0.58   1.42   1.53   0.64   0.51   0.19   0.74   0.16   0.38   1.24  35.20   1.78   0.81 
Y     1.98   1.42   2.16   0.93   8.21   1.56   3.51   2.73   1.83   3.06   3.57   0.69   1.16   2.80   2.18   0.71   1.95   2.48   5.27  32.14   2.19 
J     1.11   1.46   0.19   0.32   1.07   0.55   0.86   1.45   0.33   1.43   1.77   0.52   0.43   0.21   0.68   0.63   1.58   1.70   0.95   0.85  14.30 
