#
# Environment-specific amino acid substitution matrices
# Creator: subst version 1.15
# CreationDate: 23/1/2008 15:46:21
#
# Definitions for structural environments:
# 6 features used
#
# domain interface;TF;Dd;T;T
# secondary structure and phi angle;HEPC;HEPC;F;F
# solvent accessibility;TF;Aa;F;F
# hydrogen bond to other sidechain/heterogen;TF;Ss;F;F
# hydrogen bond to mainchain CO;TF;Oo;F;F
# hydrogen bond to mainchain NH;TF;Nn;F;F
#
# (read in from classdef.dat)
#
# Number of alignments: 221
# (list of .tem files read in from TEMLIST.MaskD)
#
# Total number of structures: 902
#
# Total number of raw substitution counts: 1470812
#   0 HASON    3318
#   1 HASOn   20196
#   2 HASoN    8553
#   3 HASon   69694
#   4 HAsON    4698
#   5 HAsOn   46170
#   6 HAsoN    6800
#   7 HAson  255682
#   8 HaSON    3620
#   9 HaSOn   13031
#  10 HaSoN    5751
#  11 HaSon   12340
#  12 HasON    4707
#  13 HasOn   19013
#  14 HasoN    4370
#  15 Hason  189893
#  16 EASON     911
#  17 EASOn    5274
#  18 EASoN    3190
#  19 EASon   24714
#  20 EAsON    1454
#  21 EAsOn    8136
#  22 EAsoN    3583
#  23 EAson   90274
#  24 EaSON    2038
#  25 EaSOn    4498
#  26 EaSoN    3091
#  27 EaSon   14062
#  28 EasON    2983
#  29 EasOn    5956
#  30 EasoN    1675
#  31 Eason  125259
#  32 PASON      73
#  33 PASOn    1183
#  34 PASoN     973
#  35 PASon    4293
#  36 PAsON     461
#  37 PAsOn    2693
#  38 PAsoN     830
#  39 PAson   50475
#  40 PaSON     158
#  41 PaSOn     675
#  42 PaSoN     308
#  43 PaSon     222
#  44 PasON      66
#  45 PasOn     296
#  46 PasoN     140
#  47 Pason   11929
#  48 CASON    3414
#  49 CASOn    9096
#  50 CASoN   19273
#  51 CASon   39733
#  52 CAsON    5856
#  53 CAsOn   23914
#  54 CAsoN   20587
#  55 CAson  191343
#  56 CaSON    2933
#  57 CaSOn    7197
#  58 CaSoN    4167
#  59 CaSon    6598
#  60 CasON    5436
#  61 CasOn    7260
#  62 CasoN    2598
#  63 Cason   81698
#
# Number of counts discarded due to constraints: 0
#
# Number of counts discarded due to masking: 5260
#
# Total number of environments: 64
# Weighting scheme: clustering at PID 60 level
#
# Smoothing:
# p1(ri) (i.e., amino acid composition) is estimated by summing over
# each row in all matrices (no smoothing)
#                           ^^^^^^^^^^^^
# p2(ri|Rj) is estimated as:
#    p2(ri|Rj) = omega1 * p1(ri) + omega2 * W2(ri|Rj)
# 
# p3(ri|Rj,fq) is estimated as:
#    p3(ri|Rj,fq) = omega1 * A2(ri|fq) + omega2 * W3(ri|Rj,fq)
# where
#    A2(ri|fq) = p2(ri|fq) (fixed fq; partial smoothing)
# 
# The smoothing procedure is curtailed here and finally
# p5(ri|Rj,...) is estimated as:
#    p5(ri|Rj,...) = omega1 * A3(ri|Rj,fq) + omega2 * W5(ri|Rj...)
# where
#    A3(ri|Rj,fq) = sum over fq omega_c * pc3(Rj,fq)
# 
# Weights (omegas) are calculated as in Topham et al. 1993)
# 
# sigma value used is:  5.00
# 
# Each column (j) represents the probability distribution for the 
# likelihood of acceptance of a mutational event by a residue type j in 
# a particular structural environment (specified after >) leading to 
# any other residue type (i).
#
# The probabilities were then divided by the background probabilities
# which were derived from the environment-independent amino acid frequencies.
#                             ^^^^^^^^^^^^^^^^^^^^^^^
# See Eq. 3 of Shi et al. (2001) for more detail.
#
# Shown here are logarithms of these values multiplied by 3/log(2) 
# rounded to the nearest integer (log-odds scores in 1/3 bit units).
#
# There are 21 amino acids considered:
# ACDEFGHIKLMNPQRSTVWYJ
# where C represents half-cystine (disulphide bonded)
# and J represents cysteine (non disulphide bonded).
#
# The sequence has an additional row for 'U', which means
# both half-cystine and cysteine (with no distinction) and
# this should normally correspond to Cys in amino acid sequences.
#
# For total (composite) matrix, Entropy = 0.5315 bits, Expected score = -0.4500
#
>HASON 0
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      4   -2   -2    0   -1    0    0   -1   -1   -1   -1   -1    0   -1   -2    0   -1    0   -2   -3    2 
C     -6   26  -13  -12   -5   -5  -12   -3   -8   -4   -4  -11   -9  -14   -4   -8   -8   -3   -7   -7    0 
D     -1   -6    9    2   -4   -2   -2   -4   -1   -5   -4    2    0    2   -1    2    2   -4   -6   -6   -3 
E      1   -7    3    6   -3   -2    1   -2    1   -2   -2   -1    0    4    1    1    0   -1   -4   -6   -4 
F     -2   -4   -7   -5    7   -5   -3    0   -4    1    0   -6   -4   -3   -3  -10    3    0    2    6    0 
G     -1   -4   -4   -6   -5    8   -3   -7   -4   -6   -6   -4   -4    1   -5   -3   -3   -5   -6   -8    0 
H     -1   -7   -2    1    0   -3   11   -2   -1   -2   -2    0   -3    0    0   -5    1   -2   -3    5   -3 
I     -2   -4   -8   -3    0   -7   -5    5   -4    2    1   -7   -3   -7   -4   -1   -3    3   -2   -5    0 
K      0   -6   -4    1   -3   -2    0   -2    7   -2   -2    1   -1   -3    3   -2    0   -2   -4   -7   -3 
L     -1   -3   -7   -5    2   -5   -5    2   -3    4    3   -4   -4   -5   -3   -4   -1    1   -1   -3    0 
M     -1   -3   -8   -5    1   -5   -2    2   -3    3    8   -2   -4   -4   -2   -5   -3    1   -1   -4    1 
N     -1   -3    2    0   -4   -1    2   -5    0   -4   -4    9   -2   -4    0    0   -2   -3   -5   -8   -3 
P     -1  -10   -6   -1   -4   -3   -6   -2   -2   -4   -4   -6   10   -9   -3   -6   -5   -2   -6   -6   -4 
Q      1   -4    6    3   -2   -1    1   -2    2   -2   -1    1   -1   10    2    1    1   -1   -4   -5   -4 
R      0   -3   -1    1   -2   -3    0   -2    3   -2   -2    3   -2   -5    8   -2    0   -2   -4   -5   -2 
S      1   -2   -2   -2   -3    0    0   -3    0   -3   -2   -1    0   -2   -1    6    3   -2   -5   -8    0 
T     -1   -4   -5   -3   -2   -3   -2   -1   -1   -2   -1   -1   -1   -4   -1    2    5    0   -4   -6    0 
V     -2   -4   -6   -3   -1   -5   -3    2   -4    0    1   -7   -2   -7   -4    2   -4    4   -2   -5    1 
W     -2   -5  -10   -3    3   -4   -5   -1   -3   -1    0   -5   -4   -8   -3   -8   -8    0   14    2   -3 
Y     -2   -5   -4   -2    4   -4    1   -1   -2    0   -1   -5   -4   -3   -1   -6   -1   -1    5   11   -2 
J     -1   -1   -7   -5   -1   -4   -3    0   -2    0    2   -7   -5  -10   -3   -4    2    1   -3   -5   10 
U     -1   16   -8   -5   -1   -4   -4    0   -2    0    2   -7   -5  -10   -3   -4    1    1   -3   -5    9 
>HASOn 1
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      4   -2    0   -2   -1    0   -1   -1   -2   -1   -1   -3    0    0    0    2    1    0    0    0    0 
C     -4   26   -5    1   -5   -4  -18   -3  -19   -3   -4  -19  -10   -2   -1   -4  -13   -3  -10  -11   -4 
D     -1   -7    5    2   -5   -2   -7   -5   -2   -5   -4    1   -1    1   -1    1    0   -5   -9   -5   -1 
E      0   -7    4    8   -4   -3    3   -3    0   -3   -2    0    0    2    0    2    1   -2   -8   -3   -1 
F     -2   -4   -5  -12    7   -5    0    0   -4    1    1   -5   -4   -4   -3   -3   -4    0    4    2   -3 
G     -1   -4   -4   -7   -5    9  -10   -7   -5   -6   -6   -5   -4   -5   -6   -3   -2   -5   -5   -7   -4 
H     -1   -7   -1   -1    0   -3   12   -2    0   -2   -2    0   -3    3    0   -3    1   -2   -1    2   -5 
I     -2   -4   -5   -4    0   -7   -6    5   -3    2    1   -6   -3   -3   -3   -4   -1    3   -1   -2   -1 
K      0   -6    3    1   -3   -3   -2   -3    6   -2   -2    0   -1    3    2    2    1   -3   -6    2    0 
L     -1   -3   -4   -6    2   -5   -4    2   -1    5    3   -4   -4   -2   -2   -1   -1    1   -2   -2    2 
M     -1   -3   -4   -5    1   -5   -3    2   -2    3    7   -4   -4   -3   -3   -1    0    1    0   -3    2 
