#
# Environment-specific amino acid substitution matrices
# Creator: subst version 1.15
# CreationDate: 23/1/2008 15:46:12
#
# Definitions for structural environments:
# 6 features used
#
# domain interface;TF;Dd;T;T
# secondary structure and phi angle;HEPC;HEPC;F;F
# solvent accessibility;TF;Aa;F;F
# hydrogen bond to other sidechain/heterogen;TF;Ss;F;F
# hydrogen bond to mainchain CO;TF;Oo;F;F
# hydrogen bond to mainchain NH;TF;Nn;F;F
#
# (read in from classdef.dat)
#
# Number of alignments: 221
# (list of .tem files read in from TEMLIST.MaskD)
#
# Total number of structures: 902
#
# Total number of raw substitution counts: 1470812
#   0 HASON    3318
#   1 HASOn   20196
#   2 HASoN    8553
#   3 HASon   69694
#   4 HAsON    4698
#   5 HAsOn   46170
#   6 HAsoN    6800
#   7 HAson  255682
#   8 HaSON    3620
#   9 HaSOn   13031
#  10 HaSoN    5751
#  11 HaSon   12340
#  12 HasON    4707
#  13 HasOn   19013
#  14 HasoN    4370
#  15 Hason  189893
#  16 EASON     911
#  17 EASOn    5274
#  18 EASoN    3190
#  19 EASon   24714
#  20 EAsON    1454
#  21 EAsOn    8136
#  22 EAsoN    3583
#  23 EAson   90274
#  24 EaSON    2038
#  25 EaSOn    4498
#  26 EaSoN    3091
#  27 EaSon   14062
#  28 EasON    2983
#  29 EasOn    5956
#  30 EasoN    1675
#  31 Eason  125259
#  32 PASON      73
#  33 PASOn    1183
#  34 PASoN     973
#  35 PASon    4293
#  36 PAsON     461
#  37 PAsOn    2693
#  38 PAsoN     830
#  39 PAson   50475
#  40 PaSON     158
#  41 PaSOn     675
#  42 PaSoN     308
#  43 PaSon     222
#  44 PasON      66
#  45 PasOn     296
#  46 PasoN     140
#  47 Pason   11929
#  48 CASON    3414
#  49 CASOn    9096
#  50 CASoN   19273
#  51 CASon   39733
#  52 CAsON    5856
#  53 CAsOn   23914
#  54 CAsoN   20587
#  55 CAson  191343
#  56 CaSON    2933
#  57 CaSOn    7197
#  58 CaSoN    4167
#  59 CaSon    6598
#  60 CasON    5436
#  61 CasOn    7260
#  62 CasoN    2598
#  63 Cason   81698
#
# Number of counts discarded due to constraints: 0
#
# Number of counts discarded due to masking: 5260
#
# Total number of environments: 64
# Weighting scheme: clustering at PID 60 level
#
# Smoothing:
# p1(ri) (i.e., amino acid composition) is estimated by summing over
# each row in all matrices (no smoothing)
#                           ^^^^^^^^^^^^
# p2(ri|Rj) is estimated as:
#    p2(ri|Rj) = omega1 * p1(ri) + omega2 * W2(ri|Rj)
# 
# p3(ri|Rj,fq) is estimated as:
#    p3(ri|Rj,fq) = omega1 * A2(ri|fq) + omega2 * W3(ri|Rj,fq)
# where
#    A2(ri|fq) = p2(ri|fq) (fixed fq; partial smoothing)
# 
# The smoothing procedure is curtailed here and finally
# p5(ri|Rj,...) is estimated as:
#    p5(ri|Rj,...) = omega1 * A3(ri|Rj,fq) + omega2 * W5(ri|Rj...)
# where
#    A3(ri|Rj,fq) = sum over fq omega_c * pc3(Rj,fq)
# 
# Weights (omegas) are calculated as in Topham et al. 1993)
# 
# sigma value used is:  5.00
# 
# Each column (j) represents the probability distribution for the 
# likelihood of acceptance of a mutational event by a residue type j in 
# a particular structural environment (specified after >) leading to 
# any other residue type (i) and sums up to 100.
#
# There are 21 amino acids considered:
# ACDEFGHIKLMNPQRSTVWYJ
# where C represents half-cystine (disulphide bonded)
# and J represents cysteine (non disulphide bonded).
#
# The sequence has an additional row for 'U', which means
# both half-cystine and cysteine (with no distinction) and
# this should normally correspond to Cys in amino acid sequences.
#
>HASON 0
#        A      C      D      E      F      G      H      I      K      L      M      N      P      Q      R      S      T      V      W      Y      J 
A    22.94   5.01   6.07   9.38   6.69   9.58   7.93   7.54   6.60   7.56   6.60   6.60   8.83   7.65   6.08   8.90   7.22   8.69   5.40   4.54  12.43 
C     0.04  59.80   0.01   0.01   0.05   0.05   0.01   0.07   0.02   0.06   0.06   0.01   0.02   0.01   0.06   0.02   0.02   0.07   0.03   0.03   0.14 
D     4.14   1.19  37.35   7.83   1.82   3.29   3.45   1.86   4.41   1.77   1.88   7.86   4.53   8.86   3.96   7.28   7.81   1.80   1.35   1.14   2.81 
E     7.85   1.28  12.23  27.83   2.92   4.06   8.44   4.04   8.21   3.68   3.69   5.55   6.33  15.63   7.21   8.42   6.97   4.65   2.30   1.49   2.42 
F     2.47   1.76   0.77   1.43  21.58   1.43   2.20   4.47   1.58   5.76   4.51   1.14   1.55   1.96   1.92   0.46   8.58   4.05   6.92  18.74   4.31 
G     5.64   2.52   3.02   1.95   2.27  48.11   3.21   1.44   2.81   1.84   1.83   2.60   2.99   9.35   2.44   3.10   3.55   2.15   1.59   1.22   6.95 
H     1.87   0.44   1.32   2.85   2.33   1.22  29.13   1.51   2.05   1.51   1.36   2.47   1.18   2.41   2.33   0.76   2.82   1.62   1.28   8.11   1.15 
I     4.06   2.38   1.11   3.49   6.43   1.40   2.08  18.84   2.53   9.95   8.64   1.39   3.22   1.40   2.73   5.51   3.16  11.81   4.31   2.28   7.15 
K     5.97   1.49   2.33   6.96   2.89   3.47   5.47   3.20  28.13   3.84   3.45   7.77   5.01   2.77  10.44   3.21   5.26   3.59   2.15   1.25   2.61 
L     7.35   4.84   1.89   3.45  14.72   3.14   3.21  18.10   5.31  28.95  19.39   4.17   4.23   3.03   5.28   3.76   8.21  13.43   8.96   5.55  10.56 
M     1.99   1.25   0.44   0.83   3.53   0.84   1.54   4.21   1.38   5.20  15.53   1.71   0.96   0.94   1.48   0.74   1.37   3.61   2.25   0.95   3.08 
N     2.72   2.07   6.22   3.83   1.66   3.33   5.55   1.34   3.76   1.59   1.65  31.77   2.47   1.37   3.79   3.94   2.18   1.89   1.32   0.64   2.03 
P     3.01   0.39   0.90   2.89   1.35   1.80   0.97   2.12   2.11   1.54   1.41   1.02  36.83   0.44   1.92   0.90   1.20   2.21   0.96   0.96   1.41 
Q     3.92   1.26  13.70   6.36   2.06   2.46   4.50   2.08   5.46   2.27   2.44   4.77   2.47  33.15   5.12   4.21   3.90   2.41   1.38   1.17   1.35 
R     4.66   2.64   3.79   6.52   3.00   2.71   4.58   3.16   9.57   3.59   3.49   9.34   3.57   1.61  28.85   3.09   4.56   3.20   2.12   1.48   3.28 
S     7.22   3.30   3.23   3.83   2.70   5.33   5.01   2.74   4.93   2.74   3.19   4.13   4.92   3.77   4.87  23.00  10.82   3.46   1.62   0.95   6.01 
T     4.28   2.14   1.70   2.74   3.11   2.70   2.95   4.01   3.84   3.19   4.02   4.29   3.93   1.79   4.05   8.74  14.51   4.77   2.17   1.25   4.93 
V     5.46   3.40   2.04   4.48   6.86   2.45   4.08  13.88   3.33   8.78  10.11   1.58   4.66   1.50   3.41  12.19   3.02  20.80   5.51   2.41  11.08 
W     0.79   0.48   0.13   0.62   2.62   0.52   0.46   1.04   0.67   1.13   1.27   0.45   0.57   0.24   0.67   0.20   0.23   1.24  36.67   1.97   0.69 
Y     2.37   1.25   1.50   2.28  10.14   1.50   4.58   2.89   2.42   3.54   3.14   1.07   1.29   1.97   2.68   0.95   2.59   2.86  11.05  43.44   2.34 
J     1.24   1.09   0.26   0.45   1.26   0.62   0.66   1.46   0.87   1.53   2.34   0.29   0.45   0.15   0.71   0.62   2.01   1.69   0.68   0.44  13.27 
>HASOn 1
