#
# Environment-specific amino acid substitution matrices
# Creator: subst version 1.15
# CreationDate: 23/1/2008 16:41:47
#
# Definitions for structural environments:
# 6 features used
#
# domain interface;TF;Dd;T;T
# secondary structure and phi angle;HEPC;HEPC;F;F
# solvent accessibility;TF;Aa;F;F
# hydrogen bond to other sidechain/heterogen;TF;Ss;F;F
# hydrogen bond to mainchain CO;TF;Oo;F;F
# hydrogen bond to mainchain NH;TF;Nn;F;F
#
# (read in from classdef.dat)
#
# Number of alignments: 221
# (list of .tem files read in from TEMLIST.Nomask)
#
# Total number of structures: 902
#
# Total number of raw substitution counts: 1482766
#   0 HASON    3321
#   1 HASOn   20292
#   2 HASoN    8595
#   3 HASon   70920
#   4 HAsON    4729
#   5 HAsOn   46377
#   6 HAsoN    6823
#   7 HAson  256980
#   8 HaSON    3641
#   9 HaSOn   13254
#  10 HaSoN    5778
#  11 HaSon   12835
#  12 HasON    4777
#  13 HasOn   19169
#  14 HasoN    4414
#  15 Hason  190156
#  16 EASON     917
#  17 EASOn    5293
#  18 EASoN    3258
#  19 EASon   24996
#  20 EAsON    1460
#  21 EAsOn    8193
#  22 EAsoN    3757
#  23 EAson   90494
#  24 EaSON    2069
#  25 EaSOn    4592
#  26 EaSoN    3201
#  27 EaSon   14428
#  28 EasON    2988
#  29 EasOn    6025
#  30 EasoN    1685
#  31 Eason  125668
#  32 PASON      85
#  33 PASOn    1247
#  34 PASoN    1005
#  35 PASon    4512
#  36 PAsON     461
#  37 PAsOn    2720
#  38 PAsoN     850
#  39 PAson   50595
#  40 PaSON     173
#  41 PaSOn     696
#  42 PaSoN     315
#  43 PaSon     231
#  44 PasON      66
#  45 PasOn     306
#  46 PasoN     146
#  47 Pason   11965
#  48 CASON    3433
#  49 CASOn    9351
#  50 CASoN   19799
#  51 CASon   42174
#  52 CAsON    5883
#  53 CAsOn   24039
#  54 CAsoN   20765
#  55 CAson  192016
#  56 CaSON    2987
#  57 CaSOn    7235
#  58 CaSoN    4517
#  59 CaSon    6913
#  60 CasON    5441
#  61 CasOn    7309
#  62 CasoN    2628
#  63 Cason   81818
#
# Number of counts discarded due to constraints: 0
#
# Number of counts discarded due to masking: 0
#
# Total number of environments: 64
# Weighting scheme: clustering at PID 60 level
#
# Smoothing:
# p1(ri) (i.e., amino acid composition) is estimated by summing over
# each row in all matrices (no smoothing)
#                           ^^^^^^^^^^^^
# p2(ri|Rj) is estimated as:
#    p2(ri|Rj) = omega1 * p1(ri) + omega2 * W2(ri|Rj)
# 
# p3(ri|Rj,fq) is estimated as:
#    p3(ri|Rj,fq) = omega1 * A2(ri|fq) + omega2 * W3(ri|Rj,fq)
# where
#    A2(ri|fq) = p2(ri|fq) (fixed fq; partial smoothing)
# 
# The smoothing procedure is curtailed here and finally
# p5(ri|Rj,...) is estimated as:
#    p5(ri|Rj,...) = omega1 * A3(ri|Rj,fq) + omega2 * W5(ri|Rj...)
# where
#    A3(ri|Rj,fq) = sum over fq omega_c * pc3(Rj,fq)
# 
# Weights (omegas) are calculated as in Topham et al. 1993)
# 
# sigma value used is:  5.00
# 
# Each column (j) represents the probability distribution for the 
# likelihood of acceptance of a mutational event by a residue type j in 
# a particular structural environment (specified after >) leading to 
# any other residue type (i).
#
# The probabilities were then divided by the background probabilities
# which were derived from the environment-independent amino acid frequencies.
#                             ^^^^^^^^^^^^^^^^^^^^^^^
# See Eq. 3 of Shi et al. (2001) for more detail.
#
# Shown here are logarithms of these values multiplied by 3/log(2) 
# rounded to the nearest integer (log-odds scores in 1/3 bit units).
#
# There are 21 amino acids considered:
# ACDEFGHIKLMNPQRSTVWYJ
# where C represents half-cystine (disulphide bonded)
# and J represents cysteine (non disulphide bonded).
#
# The sequence has an additional row for 'U', which means
# both half-cystine and cysteine (with no distinction) and
# this should normally correspond to Cys in amino acid sequences.
#
# For total (composite) matrix, Entropy = 0.5433 bits, Expected score = -0.4485
#
>HASON 0
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      4   -2   -2    0   -1    0    0   -1   -1   -1   -1   -1    0    0   -1    0   -1    0   -2   -3    1 
C     -6   26  -13  -12   -5   -5  -12   -3   -8   -4   -4  -11   -9  -14   -4   -8   -8   -3   -7   -7    0 
D     -1   -6    9    2   -5   -2   -2   -4   -1   -5   -4    2   -1    2   -1    1    2   -5   -6   -7   -3 
E      1   -7    3    6   -3   -2    1   -2    1   -2   -2   -1    0    4    1    1    0   -1   -4   -6   -4 
F     -2   -4   -7   -5    7   -5   -3    0   -4    1    0   -6   -4   -3   -3  -10    3    0    2    6    0 
G     -1   -4   -4   -5   -5    8   -3   -7   -4   -6   -6   -4   -4    1   -5   -4   -3   -5   -6   -8    0 
H     -1   -7   -3    1    0   -3   11   -2   -1   -2   -2    0   -3    0    0   -5    1   -2   -3    5   -3 
I     -2   -5   -8   -3    0   -7   -5    5   -4    2    1   -7   -3   -7   -4   -1   -3    3   -2   -5    0 
K      0   -6   -4    1   -3   -2    0   -3    7   -2   -2    1   -1   -3    3   -3    0   -2   -4   -7   -3 
L     -1   -3   -7   -5    2   -5   -5    2   -3    5    3   -4   -4   -5   -3   -4   -1    1   -1   -3    0 
M     -1   -3   -8   -5    1   -5   -2    2   -3    3    8   -2   -4   -4   -2   -5   -3    1   -1   -4    0 
N     -1   -3    2    0   -4   -1    2   -5    0   -4   -4    9   -2   -4    0    0   -2   -3   -5   -8   -3 
P     -1  -10   -6   -1   -4   -3   -6   -2   -2   -4   -4   -6   10   -9   -3   -6   -5   -2   -6   -6   -4 
Q      1   -4    6    3   -2   -1    1   -2    2   -2   -1    2   -1   10    2    1    1   -1   -4   -5   -4 
R      0   -3   -1    1   -2   -3    0   -2    3   -1   -2    3   -2   -5    8   -2    0   -2   -4   -5   -2 
S      1   -2   -2   -2   -3    0   -1   -3   -1   -3   -2   -1   -1   -2   -1    6    3   -2   -5   -8    0 
T     -1   -4   -5   -3   -2   -3   -2   -1   -1   -2   -1   -1   -1   -4   -1    2    5    0   -4   -6    0 
V     -2   -4   -6   -3   -1   -5   -3    2   -4    0    1   -7   -2   -7   -4    2   -4    4   -2   -5    1 
W     -2   -5  -10   -3    3   -4   -5   -1   -3   -1    0   -5   -4   -8   -3   -8   -8    0   14    1   -3 
Y     -2   -5   -4   -2    4   -4    1   -1   -2    0    0   -5   -5   -3   -1   -6   -2   -1    5   11   -2 
J     -1    0   -7   -5   -1   -4   -3    0   -2    0    2   -7   -5  -10   -3   -4    1    1   -3   -5   11 
U     -1   16   -8   -5   -1   -4   -4    0   -2    0    2   -7   -5  -10   -3   -4    1    0   -4   -5   10 
>HASOn 1
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      4   -2    0   -2   -1    0   -1   -1   -2   -1   -1   -3    0    0    0    2    2    0    0    0    0 
C     -4   26   -5    1   -5   -4  -18   -3  -19   -3   -4  -19  -10   -2   -1   -4  -13   -3  -10  -12   -4 
D     -1   -7    5    1   -5   -2   -7   -5   -2   -5   -4    1   -1    0   -1    0    0   -5   -9   -5   -1 
E      0   -7    4    8   -4   -3    2   -3    0   -3   -2    0    0    2    0    2    1   -2   -8   -3   -1 
F     -2   -4   -5  -12    7   -5    0    0   -4    1    1   -5   -4   -4   -3   -3   -4    0    4    2   -3 
G     -1   -4   -4   -7   -5    9  -10   -7   -5   -6   -6   -5   -4   -5   -6   -3   -2   -5   -5   -7   -2 
H     -1   -8   -1   -1    0   -3   12   -2    0   -2   -2    0   -3    3    0   -3    1   -2   -1    1   -6 
I     -2   -4   -5   -4    0   -7   -6    5   -3    2    1   -6   -3   -3   -3   -4   -1    3   -1   -2   -1 
K      0   -7    3    1   -3   -3   -2   -3    6   -2   -2    0   -1    3    2    2    1   -3   -6    1    0 
L     -1   -3   -4   -6    2   -5   -4    2   -1    5    3   -4   -4   -2   -2   -1   -1    1   -2   -2    2 
M     -1   -3   -4   -5    1   -5   -3    2   -2    3    7   -4   -4   -3   -3   -1    0    1    0   -3    2 
