#
# Environment-specific amino acid substitution matrices
# Creator: subst version 1.15
# CreationDate: 23/1/2008 16:41:31
#
# Definitions for structural environments:
# 6 features used
#
# domain interface;TF;Dd;T;T
# secondary structure and phi angle;HEPC;HEPC;F;F
# solvent accessibility;TF;Aa;F;F
# hydrogen bond to other sidechain/heterogen;TF;Ss;F;F
# hydrogen bond to mainchain CO;TF;Oo;F;F
# hydrogen bond to mainchain NH;TF;Nn;F;F
#
# (read in from classdef.dat)
#
# Number of alignments: 221
# (list of .tem files read in from TEMLIST.Nomask)
#
# Total number of structures: 902
#
# Total number of raw substitution counts: 1482766
#   0 HASON    3321
#   1 HASOn   20292
#   2 HASoN    8595
#   3 HASon   70920
#   4 HAsON    4729
#   5 HAsOn   46377
#   6 HAsoN    6823
#   7 HAson  256980
#   8 HaSON    3641
#   9 HaSOn   13254
#  10 HaSoN    5778
#  11 HaSon   12835
#  12 HasON    4777
#  13 HasOn   19169
#  14 HasoN    4414
#  15 Hason  190156
#  16 EASON     917
#  17 EASOn    5293
#  18 EASoN    3258
#  19 EASon   24996
#  20 EAsON    1460
#  21 EAsOn    8193
#  22 EAsoN    3757
#  23 EAson   90494
#  24 EaSON    2069
#  25 EaSOn    4592
#  26 EaSoN    3201
#  27 EaSon   14428
#  28 EasON    2988
#  29 EasOn    6025
#  30 EasoN    1685
#  31 Eason  125668
#  32 PASON      85
#  33 PASOn    1247
#  34 PASoN    1005
#  35 PASon    4512
#  36 PAsON     461
#  37 PAsOn    2720
#  38 PAsoN     850
#  39 PAson   50595
#  40 PaSON     173
#  41 PaSOn     696
#  42 PaSoN     315
#  43 PaSon     231
#  44 PasON      66
#  45 PasOn     306
#  46 PasoN     146
#  47 Pason   11965
#  48 CASON    3433
#  49 CASOn    9351
#  50 CASoN   19799
#  51 CASon   42174
#  52 CAsON    5883
#  53 CAsOn   24039
#  54 CAsoN   20765
#  55 CAson  192016
#  56 CaSON    2987
#  57 CaSOn    7235
#  58 CaSoN    4517
#  59 CaSon    6913
#  60 CasON    5441
#  61 CasOn    7309
#  62 CasoN    2628
#  63 Cason   81818
#
# Number of counts discarded due to constraints: 0
#
# Number of counts discarded due to masking: 0
#
# Total number of environments: 64
# Weighting scheme: clustering at PID 60 level
#
# Smoothing:
# p1(ri) (i.e., amino acid composition) is estimated by summing over
# each row in all matrices (no smoothing)
#                           ^^^^^^^^^^^^
# p2(ri|Rj) is estimated as:
#    p2(ri|Rj) = omega1 * p1(ri) + omega2 * W2(ri|Rj)
# 
# p3(ri|Rj,fq) is estimated as:
#    p3(ri|Rj,fq) = omega1 * A2(ri|fq) + omega2 * W3(ri|Rj,fq)
# where
#    A2(ri|fq) = p2(ri|fq) (fixed fq; partial smoothing)
# 
# The smoothing procedure is curtailed here and finally
# p5(ri|Rj,...) is estimated as:
#    p5(ri|Rj,...) = omega1 * A3(ri|Rj,fq) + omega2 * W5(ri|Rj...)
# where
#    A3(ri|Rj,fq) = sum over fq omega_c * pc3(Rj,fq)
# 
# Weights (omegas) are calculated as in Topham et al. 1993)
# 
# sigma value used is:  5.00
# 
# Each column (j) represents the probability distribution for the 
# likelihood of acceptance of a mutational event by a residue type j in 
# a particular structural environment (specified after >) leading to 
# any other residue type (i) and sums up to 100.
#
# There are 21 amino acids considered:
# ACDEFGHIKLMNPQRSTVWYJ
# where C represents half-cystine (disulphide bonded)
# and J represents cysteine (non disulphide bonded).
#
# The sequence has an additional row for 'U', which means
# both half-cystine and cysteine (with no distinction) and
# this should normally correspond to Cys in amino acid sequences.
#
>HASON 0
#        A      C      D      E      F      G      H      I      K      L      M      N      P      Q      R      S      T      V      W      Y      J 
A    22.93   4.89   6.03   9.36   6.68   9.57   7.87   7.54   6.50   7.56   6.59   6.60   8.82   7.65   6.06   8.87   7.21   8.69   5.39   4.49  11.92 
C     0.04  60.48   0.01   0.01   0.05   0.05   0.01   0.07   0.02   0.06   0.06   0.01   0.02   0.01   0.06   0.02   0.02   0.07   0.03   0.03   0.16 
D     4.14   1.16  37.90   7.79   1.82   3.29   3.37   1.86   4.36   1.77   1.87   7.86   4.53   8.86   3.95   7.26   7.80   1.80   1.36   1.13   2.79 
E     7.86   1.24  12.15  28.12   2.92   4.06   8.38   4.04   8.08   3.68   3.70   5.55   6.35  15.63   7.20   8.40   6.97   4.65   2.30   1.48   2.32 
F     2.47   1.71   0.76   1.43  21.55   1.43   2.18   4.47   1.57   5.76   4.50   1.14   1.55   1.96   1.91   0.46   8.58   4.05   6.94  18.61   4.12 
G     5.63   2.45   2.99   1.94   2.26  48.12   3.17   1.44   2.79   1.84   1.83   2.60   2.99   9.35   2.43   3.07   3.54   2.15   1.59   1.19   6.74 
H     1.88   0.43   1.31   2.84   2.34   1.22  29.94   1.52   2.02   1.52   1.36   2.47   1.18   2.41   2.33   0.76   2.82   1.62   1.28   8.05   1.12 
I     4.06   2.32   1.10   3.48   6.43   1.40   2.06  18.84   2.55   9.95   8.62   1.39   3.22   1.40   2.72   5.50   3.15  11.81   4.30   2.24   6.75 
K     5.97   1.45   2.28   6.93   2.88   3.47   5.49   3.20  29.08   3.84   3.44   7.77   5.01   2.76  10.43   3.20   5.27   3.59   2.16   1.23   2.57 
L     7.35   4.71   1.86   3.43  14.70   3.15   3.15  18.09   5.26  28.94  19.35   4.17   4.22   3.03   5.27   3.75   8.20  13.43   8.97   5.47   9.88 
M     1.99   1.22   0.43   0.83   3.53   0.84   1.54   4.21   1.37   5.19  15.49   1.71   0.96   0.94   1.48   0.74   1.37   3.61   2.25   0.95   2.89 
N     2.71   2.02   6.18   3.82   1.66   3.33   5.45   1.34   3.69   1.59   1.65  31.79   2.47   1.37   3.79   3.93   2.17   1.89   1.31   0.62   1.94 
P     3.01   0.38   0.88   2.88   1.35   1.79   0.95   2.11   2.08   1.54   1.40   1.02  36.83   0.44   1.92   0.89   1.19   2.21   0.96   0.94   1.35 
Q     3.91   1.23  13.65   6.33   2.06   2.46   4.43   2.08   5.36   2.27   2.43   4.77   2.47  33.15   5.11   4.19   3.90   2.41   1.38   1.16   1.28 
R     4.66   2.58   3.75   6.49   3.01   2.71   4.54   3.16   9.41   3.59   3.48   9.34   3.58   1.61  28.96   3.07   4.56   3.20   2.12   1.45   3.15 
S     7.23   3.32   3.18   3.80   2.70   5.32   4.94   2.75   4.85   2.74   3.18   4.12   4.92   3.77   4.86  23.18  10.89   3.47   1.62   0.96   5.94 
T     4.28   2.08   1.66   2.73   3.11   2.69   2.92   4.01   3.79   3.18   4.01   4.28   3.93   1.79   4.05   8.76  14.52   4.77   2.17   1.23   4.71 
V     5.46   3.32   2.02   4.46   6.85   2.45   4.04  13.87   3.30   8.78  10.09   1.58   4.65   1.50   3.40  12.17   3.01  20.79   5.50   2.35  10.51 
W     0.79   0.47   0.13   0.61   2.63   0.52   0.46   1.04   0.66   1.13   1.26   0.45   0.57   0.24   0.67   0.20   0.23   1.24  36.64   1.92   0.66 
Y     2.38   1.21   1.48   2.27  10.20   1.51   4.46   2.90   2.39   3.55   3.37   1.07   1.29   1.97   2.69   0.96   2.60   2.87  11.04  44.05   2.25 
J     1.25   1.34   0.26   0.45   1.27   0.63   0.65   1.46   0.87   1.53   2.34   0.29   0.45   0.15   0.71   0.63   2.01   1.69   0.68   0.43  16.96 
>HASOn 1
#        A      C      D      E      F      G      H      I      K      L      M      N      P      Q      R      S      T      V      W      Y      J 
A    24.12   5.00   9.01   5.33   6.17   9.11   6.94   6.95   5.88   7.03   6.86   4.62   8.14   8.17   8.03  14.85  12.11   8.28   8.05   8.56   8.58 
C     0.06  60.68   0.05   0.20   0.05   0.05   0.00   0.07   0.00   0.07   0.06   0.00   0.02   0.10   0.12   0.06   0.01   0.07   0.01   0.01   0.06 
D     3.78   1.07  15.74   7.17   1.65   3.29   1.03   1.57   3.35   1.58   1.96   6.69   4.29   5.65   3.86   5.80   4.70   1.56   0.69   1.67   3.78 
E     6.96   1.16  14.96  45.48   2.58   3.55  11.39   3.38   6.89   3.22   3.71   5.95   5.82   9.37   6.93  10.65   8.00   3.86   1.13   2.95   5.16 
F     2.54   1.67   1.30   0.27  23.04   1.41   4.22   4.60   1.83   5.88   5.12   1.22   1.58   1.83   2.24   2.13   1.78   4.10   9.67   6.53   2.20 
G     6.02   2.61   3.06   1.53   2.25  50.40   0.66   1.49   2.23   1.80   1.72   2.20   3.07   2.43   1.93   3.08   3.92   2.16   2.17   1.48   4.16 
H     1.78   0.42   1.81   1.91   2.14   1.15  35.82   1.36   2.16   1.41   1.42   2.41   1.19   4.30   2.26   1.17   2.84   1.48   2.00   3.31   0.62 
