#
# Environment-specific amino acid substitution matrices
# Creator: subst version 1.15
# CreationDate: 23/1/2008 15:50:38
#
# Definitions for structural environments:
# 6 features used
#
# domain interface;TF;Dd;T;T
# secondary structure and phi angle;HEPC;HEPC;F;F
# solvent accessibility;TF;Aa;F;F
# hydrogen bond to other sidechain/heterogen;TF;Ss;F;F
# hydrogen bond to mainchain CO;TF;Oo;F;F
# hydrogen bond to mainchain NH;TF;Nn;F;F
#
# (read in from classdef.dat)
#
# Number of alignments: 1187
# (list of .tem files read in from TEMLIST.MaskB)
#
# Total number of structures: 5833
#
# Total number of raw substitution counts: 9105094
#   0 HASON   13574
#   1 HASOn   99876
#   2 HASoN   35351
#   3 HASon  350545
#   4 HAsON   19607
#   5 HAsOn  227077
#   6 HAsoN   28292
#   7 HAson 1405384
#   8 HaSON   23513
#   9 HaSOn   48823
#  10 HaSoN   27354
#  11 HaSon   50613
#  12 HasON   19822
#  13 HasOn   69806
#  14 HasoN   11294
#  15 Hason  788276
#  16 EASON    6118
#  17 EASOn   49685
#  18 EASoN   25839
#  19 EASon  278465
#  20 EAsON    9026
#  21 EAsOn   96007
#  22 EAsoN   31191
#  23 EAson 1005316
#  24 EaSON   22821
#  25 EaSOn   60715
#  26 EaSoN   18779
#  27 EaSon   93416
#  28 EasON   19410
#  29 EasOn   60728
#  30 EasoN   12505
#  31 Eason 1060023
#  32 PASON    1306
#  33 PASOn    4563
#  34 PASoN    3548
#  35 PASon   19995
#  36 PAsON    3415
#  37 PAsOn   16662
#  38 PAsoN    4596
#  39 PAson  340929
#  40 PaSON     611
#  41 PaSOn    1260
#  42 PaSoN     777
#  43 PaSon    1215
#  44 PasON     549
#  45 PasOn     958
#  46 PasoN     517
#  47 Pason   78251
#  48 CASON   19196
#  49 CASOn   64978
#  50 CASoN   93639
#  51 CASon  234233
#  52 CAsON   52472
#  53 CAsOn  134962
#  54 CAsoN  127564
#  55 CAson 1267316
#  56 CaSON   16228
#  57 CaSOn   22769
#  58 CaSoN   21568
#  59 CaSon   30291
#  60 CasON   22407
#  61 CasOn   30492
#  62 CasoN   11578
#  63 Cason  406998
#
# Number of counts discarded due to constraints: 0
#
# Number of counts discarded due to masking: 142105
#
# Total number of environments: 64
# Weighting scheme: clustering at PID 60 level
#
# Smoothing:
# p1(ri) (i.e., amino acid composition) is estimated by summing over
# each row in all matrices (no smoothing)
#                           ^^^^^^^^^^^^
# p2(ri|Rj) is estimated as:
#    p2(ri|Rj) = omega1 * p1(ri) + omega2 * W2(ri|Rj)
# 
# p3(ri|Rj,fq) is estimated as:
#    p3(ri|Rj,fq) = omega1 * A2(ri|fq) + omega2 * W3(ri|Rj,fq)
# where
#    A2(ri|fq) = p2(ri|fq) (fixed fq; partial smoothing)
# 
# The smoothing procedure is curtailed here and finally
# p5(ri|Rj,...) is estimated as:
#    p5(ri|Rj,...) = omega1 * A3(ri|Rj,fq) + omega2 * W5(ri|Rj...)
# where
#    A3(ri|Rj,fq) = sum over fq omega_c * pc3(Rj,fq)
# 
# Weights (omegas) are calculated as in Topham et al. 1993)
# 
# sigma value used is:  5.00
# 
# Each column (j) represents the probability distribution for the 
# likelihood of acceptance of a mutational event by a residue type j in 
# a particular structural environment (specified after >) leading to 
# any other residue type (i).
#
# The probabilities were then divided by the background probabilities
# which were derived from the environment-independent amino acid frequencies.
#                             ^^^^^^^^^^^^^^^^^^^^^^^
# See Eq. 3 of Shi et al. (2001) for more detail.
#
# Shown here are logarithms of these values multiplied by 3/log(2) 
# rounded to the nearest integer (log-odds scores in 1/3 bit units).
#
# There are 21 amino acids considered:
# ACDEFGHIKLMNPQRSTVWYJ
# where C represents half-cystine (disulphide bonded)
# and J represents cysteine (non disulphide bonded).
#
# The sequence has an additional row for 'U', which means
# both half-cystine and cysteine (with no distinction) and
# this should normally correspond to Cys in amino acid sequences.
#
# For total (composite) matrix, Entropy = 0.4322 bits, Expected score = -0.3683
#
>HASON 0
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      4   -4   -1   -1   -1    1   -2    0   -1    0    0    0    0    0   -1    0   -1    1   -2   -1    3 
C     -9   23   -7   -7   -6  -10  -15   -8   -9   -9   -8   -5  -10   -9   -9  -16   -4   -7   -8   -2   -3 
D     -1   -8    9    3   -5    0   -2   -5    0   -4   -4    1    0    1   -1    1    1   -4   -5   -6   -4 
E      1   -7    3    8   -3   -1    1   -3    2   -2   -2    1    0    3    1    1    0   -2   -4   -3   -4 
F     -2   -4   -7   -5    7   -5   -2    1   -4    1    1   -5   -4   -2   -3   -5    1    0    3    5   -2 
G     -1   -7   -6   -4   -5    8   -2   -5   -3   -5   -4   -3   -2   -1   -3   -1   -2   -4   -6   -9    0 
H     -1   -7   -2    0    0   -2    8   -2    0   -2   -1    1   -2    1    1   -1    0   -1   -1    4   -1 
I     -2   -6   -7   -3    0   -6   -7    4   -4    2    1   -5   -4   -3   -3   -2   -3    2   -1   -2    0 
K      0   -6   -1   -1   -3   -1    0   -2    6   -2   -2    1    0   -2    3   -1    0   -2   -4   -3   -4 
L     -1   -6   -6   -4    2   -5   -3    3   -3    4    2   -4   -4   -2   -3   -3   -3    2    0   -2    1 
M     -1   -6  -10   -1    2   -4    1    2   -2    3    7   -2   -4   -2   -1   -1   -2    2    0   -2    0 
N     -1   -6    1   -1   -3    0    3   -4    0   -3   -3    8   -1   -1    0    1    1   -3   -4   -6   -2 
P     -1   -7   -7   -5   -4   -2   -7   -4   -2   -4   -4   -4    9   -6   -2   -4   -6   -3   -5   -6   -3 
Q      1   -6    3    2   -2   -1    2   -2    2   -1   -1    1    0    9    2    1    1   -1   -3   -1   -2 
R      0   -6   -1   -1   -2   -2    1   -2    3   -1   -1    1   -1   -1    7   -1   -2   -1   -2    0   -1 
S      1   -5   -3   -1   -3    0    1   -3   -1   -3   -2    0    0   -1   -1    5    3   -2   -4   -6    0 
T     -1   -5   -3   -3   -2   -2   -2   -1   -1   -2   -1   -1   -1   -4   -1    2    5    0   -3   -3   -1 
V     -1   -5   -6   -6    0   -5   -3    2   -3    1    1   -5   -3   -4   -3    0   -3    3   -1   -4    0 
W     -2   -5   -5   -3    3   -5   -1   -1   -3    0    0   -6   -4   -1   -2   -3   -6    0   14    7   -6 
Y     -2   -4   -5   -3    4   -4    4    0   -2    0    0   -2   -4   -2   -1   -5    0   -1    4    9   -4 
J      0    2   -6   -3    0   -2    1    0   -3    0    1   -2   -4   -5   -3   -3    1    1   -1   -3   10 
U     -1   17   -6   -3   -1   -3    0   -1   -4   -1    0   -3   -5   -6   -3   -4    0    0   -2   -3    9 
>HASOn 1
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      4   -5    0    0   -1    0    0   -1    0   -1    0    0   -1    0    0    2    1    0    0    0    1 
C     -8   23  -14   -9   -5   -9  -10   -7   -6   -8   -9  -13  -10  -12   -8  -14  -24   -6  -14   -2   -7 
D     -1   -9    5    2   -5   -1   -3   -5   -2   -5   -4    1    0    0   -1    1    0   -5   -7   -6    0 
E      0   -7    4    6   -4   -2    1   -3    1   -3   -2    2    0    2    1    2    1   -2   -9   -3    1 
F     -2   -4   -6   -5    7   -5   -1    1   -3    1    1   -4   -4   -3   -3   -3   -2    0    4    3   -2 
G      0   -7   -3   -4   -5    8   -6   -6   -5   -5   -4   -3   -2   -4   -4   -2   -3   -4   -7   -6   -1 
H     -1   -7    0   -1    0   -2   10   -2    0   -2   -1    1   -2    1    1    0    0   -2   -1    3   -1 
I     -2   -6   -6   -5    1   -6   -4    5   -3    2    2   -5   -4   -3   -3   -3   -1    3    0   -1    0 
K      0   -7    3    2   -3   -2    0   -3    6   -2   -1    1    0    3    3    2    1   -2   -5    1    1 
L     -1   -6   -4   -3    2   -5   -2    3   -1    4    2   -3   -4   -1   -2   -2   -1    2    1   -1   -1 
M     -1   -7   -4   -2    2   -4   -1    2   -1    3    7   -3   -4   -1   -1   -1    0    1    0    1   -1 
