#
# Environment-specific amino acid substitution matrices
# Creator: subst version 1.15
# CreationDate: 21/1/2008 21:59:43
#
# Definitions for structural environments:
# 6 features used
#
# domain interface;TF;Dd;T;T
# secondary structure and phi angle;HEPC;HEPC;F;F
# solvent accessibility;TF;Aa;F;F
# hydrogen bond to other sidechain/heterogen;TF;Ss;F;F
# hydrogen bond to mainchain CO;TF;Oo;F;F
# hydrogen bond to mainchain NH;TF;Nn;F;F
#
# (read in from classdef.dat)
#
# Number of alignments: 1114
# (list of .tem files read in from TEMLIST.MaskB_train)
#
# Total number of structures: 5271
#
# Total number of raw substitution counts: 7713218
#   0 HASON   10399
#   1 HASOn   81338
#   2 HASoN   27427
#   3 HASon  286322
#   4 HAsON   15121
#   5 HAsOn  184231
#   6 HAsoN   21595
#   7 HAson 1176647
#   8 HaSON   20791
#   9 HaSOn   39052
#  10 HaSoN   21882
#  11 HaSon   39115
#  12 HasON   15056
#  13 HasOn   52915
#  14 HasoN    7162
#  15 Hason  606761
#  16 EASON    5116
#  17 EASOn   44584
#  18 EASoN   22055
#  19 EASon  254267
#  20 EAsON    7622
#  21 EAsOn   88379
#  22 EAsoN   27881
#  23 EAson  915322
#  24 EaSON   20705
#  25 EaSOn   56501
#  26 EaSoN   15530
#  27 EaSon   80809
#  28 EasON   16906
#  29 EasOn   54025
#  30 EasoN   10903
#  31 Eason  930661
#  32 PASON    1238
#  33 PASOn    3456
#  34 PASoN    2683
#  35 PASon   15986
#  36 PAsON    3065
#  37 PAsOn   14138
#  38 PAsoN    3929
#  39 PAson  297032
#  40 PaSON     398
#  41 PaSOn     637
#  42 PaSoN     427
#  43 PaSon    1054
#  44 PasON     492
#  45 PasOn     578
#  46 PasoN     328
#  47 Pason   66382
#  48 CASON   16130
#  49 CASOn   55967
#  50 CASoN   75630
#  51 CASon  196940
#  52 CAsON   47682
#  53 CAsOn  111146
#  54 CAsoN  107885
#  55 CAson 1085055
#  56 CaSON   13072
#  57 CaSOn   15598
#  58 CaSoN   16713
#  59 CaSon   23852
#  60 CasON   17028
#  61 CasOn   23630
#  62 CasoN    8901
#  63 Cason  329086
#
# Number of counts discarded due to constraints: 0
#
# Number of counts discarded due to masking: 131248
#
# Total number of environments: 64
# Weighting scheme: clustering at PID 60 level
#
# Smoothing:
# p1(ri) (i.e., amino acid composition) is estimated by summing over
# each row in all matrices (no smoothing)
#                           ^^^^^^^^^^^^
# p2(ri|Rj) is estimated as:
#    p2(ri|Rj) = omega1 * p1(ri) + omega2 * W2(ri|Rj)
# 
# p3(ri|Rj,fq) is estimated as:
#    p3(ri|Rj,fq) = omega1 * A2(ri|fq) + omega2 * W3(ri|Rj,fq)
# where
#    A2(ri|fq) = p2(ri|fq) (fixed fq; partial smoothing)
# 
# The smoothing procedure is curtailed here and finally
# p5(ri|Rj,...) is estimated as:
#    p5(ri|Rj,...) = omega1 * A3(ri|Rj,fq) + omega2 * W5(ri|Rj...)
# where
#    A3(ri|Rj,fq) = sum over fq omega_c * pc3(Rj,fq)
# 
# Weights (omegas) are calculated as in Topham et al. 1993)
# 
# sigma value used is:  5.00
# 
# Each column (j) represents the probability distribution for the 
# likelihood of acceptance of a mutational event by a residue type j in 
# a particular structural environment (specified after >) leading to 
# any other residue type (i) and sums up to 100.
#
# There are 21 amino acids considered:
# ACDEFGHIKLMNPQRSTVWYJ
# where C represents half-cystine (disulphide bonded)
# and J represents cysteine (non disulphide bonded).
#
# The sequence has an additional row for 'U', which means
# both half-cystine and cysteine (with no distinction) and
# this should normally correspond to Cys in amino acid sequences.
#
>HASON 0
#        A      C      D      E      F      G      H      I      K      L      M      N      P      Q      R      S      T      V      W      Y      J 
A    22.70   2.69   6.78   5.78   7.27  10.66   6.37   8.59   7.88   8.49   8.65   8.19   8.39  10.24   7.31   8.86   7.73  10.42   5.98   6.93  18.98 
C     0.04  73.42   0.08   0.00   0.09   0.03   0.02   0.06   0.04   0.05   0.04   0.12   0.04   0.00   0.04   0.01   0.01   0.07   0.06   0.35   0.21 
D     4.33   0.92  44.59  10.79   1.73   4.73   2.20   1.82   5.03   1.97   2.31   6.80   5.79   5.66   4.37   5.61   6.06   2.11   1.47   2.08   2.06 
E     7.85   1.38  11.29  41.76   3.23   5.07   8.83   3.53   9.60   3.89   3.92   8.18   7.46  10.11   7.98   7.35   5.08   4.28   2.88   4.56   2.71 
F     2.48   1.77   0.88   1.11  20.68   1.36   3.17   5.15   1.85   5.87   5.51   1.33   1.58   3.25   2.08   1.60   4.44   4.44   8.62  11.30   2.04 
G     5.73   1.37   1.47   2.51   2.13  39.73   3.64   1.90   3.26   2.03   2.61   3.50   3.97   5.73   3.01   6.24   4.22   2.35   1.71   1.36   6.01 
H     1.69   0.41   1.64   1.88   2.15   1.40  13.05   1.46   2.36   1.50   1.79   3.29   1.50   3.92   2.76   1.62   2.25   1.57   1.94   3.21   1.68 
I     4.08   1.29   1.38   2.80   7.20   1.75   1.51  16.96   2.73   9.77   8.98   2.06   2.33   4.32   3.04   3.99   3.73  11.13   4.82   5.00   6.65 
K     5.98   1.17   4.95   3.97   3.07   4.13   6.30   3.29  20.93   3.81   4.00   7.59   5.63   4.22  10.88   4.82   5.21   3.92   2.27   2.56   2.28 
L     7.69   2.17   2.32   3.79  15.55   3.45   6.12  18.27   5.63  27.20  16.54   4.10   4.21   7.50   5.74   5.64   5.31  14.47  10.01   8.29  13.02 
M     1.87   0.29   0.26   1.73   3.22   0.99   2.29   3.70   1.42   3.96  10.36   1.49   0.98   1.48   1.56   2.13   1.55   3.01   2.10   2.22   1.94 
N     2.98   0.83   5.92   3.39   1.82   4.26   8.09   1.64   3.96   1.78   2.25  25.75   3.15   3.45   3.85   5.50   5.51   1.95   1.62   1.27   2.71 
P     2.67   0.82   1.00   0.90   1.38   2.36   0.85   1.47   2.58   1.43   1.46   1.57  31.16   1.33   2.34   1.33   1.21   2.05   1.11   1.58   1.79 
Q     3.89   0.87   3.51   5.34   2.34   2.73   5.11   2.29   5.62   2.59   3.29   3.98   3.24  16.93   5.18   3.96   3.76   2.70   1.81   2.55   2.09 
R     4.66   1.18   4.03   2.91   3.12   3.23   6.14   3.38  10.31   3.69   4.04   6.06   4.25   5.42  22.62   4.10   3.03   3.54   2.98   4.71   3.81 
S     6.31   1.72   3.01   4.37   2.64   5.90   6.15   2.74   4.84   2.85   3.58   5.57   5.48   4.71   4.78  19.23  12.04   3.53   2.50   2.18   6.10 
T     4.70   1.69   2.72   2.53   3.20   3.09   3.82   4.39   4.66   3.65   4.62   3.73   4.25   2.75   4.47   9.30  18.72   5.25   2.47   3.90   4.40 
V     6.11   2.32   2.31   1.48   7.68   2.64   3.97  13.74   4.01   9.55   9.72   3.14   4.07   4.94   4.12   6.18   4.72  17.85   6.63   4.94   8.06 
W     0.79   0.48   0.49   0.56   2.77   0.45   1.22   1.16   0.66   1.35   1.21   0.34   0.57   1.41   0.88   0.90   0.43   1.19  31.50  10.81   0.36 
Y     2.33   1.38   1.07   1.75   7.80   1.45   9.94   3.33   2.19   3.50   3.84   2.47   1.55   2.26   2.41   1.09   3.91   3.00   6.62  19.31   1.32 
J     1.12   1.84   0.29   0.63   0.94   0.59   1.22   1.14   0.44   1.07   1.28   0.74   0.41   0.38   0.57   0.55   1.09   1.18   0.91   0.89  11.77 
>HASOn 1
