#
# Environment-specific amino acid substitution matrices
# Creator: subst version 1.15
# CreationDate: 22/1/2008 9:45:39
#
# Definitions for structural environments:
# 6 features used
#
# domain interface;TF;Dd;T;T
# secondary structure and phi angle;HEPC;HEPC;F;F
# solvent accessibility;TF;Aa;F;F
# hydrogen bond to other sidechain/heterogen;TF;Ss;F;F
# hydrogen bond to mainchain CO;TF;Oo;F;F
# hydrogen bond to mainchain NH;TF;Nn;F;F
#
# (read in from classdef.dat)
#
# Number of alignments: 1114
# (list of .tem files read in from TEMLIST.MaskD_train)
#
# Total number of structures: 5271
#
# Total number of raw substitution counts: 8004932
#   0 HASON   11418
#   1 HASOn   84956
#   2 HASoN   28362
#   3 HASon  302455
#   4 HAsON   15829
#   5 HAsOn  193531
#   6 HAsoN   22112
#   7 HAson 1221446
#   8 HaSON   21329
#   9 HaSOn   40865
#  10 HaSoN   22243
#  11 HaSon   40880
#  12 HasON   15643
#  13 HasOn   58534
#  14 HasoN    7249
#  15 Hason  632984
#  16 EASON    5277
#  17 EASOn   45333
#  18 EASoN   22971
#  19 EASon  259168
#  20 EAsON    8027
#  21 EAsOn   89848
#  22 EAsoN   29806
#  23 EAson  926992
#  24 EaSON   22854
#  25 EaSOn   57696
#  26 EaSoN   16623
#  27 EaSon   83933
#  28 EasON   18597
#  29 EasOn   55560
#  30 EasoN   11995
#  31 Eason  955566
#  32 PASON    1268
#  33 PASOn    4946
#  34 PASoN    2802
#  35 PASon   16836
#  36 PAsON    3083
#  37 PAsOn   15690
#  38 PAsoN    4233
#  39 PAson  318647
#  40 PaSON     400
#  41 PaSOn     669
#  42 PaSoN     473
#  43 PaSon    1080
#  44 PasON     495
#  45 PasOn     586
#  46 PasoN     402
#  47 Pason   70738
#  48 CASON   17352
#  49 CASOn   57854
#  50 CASoN   80402
#  51 CASon  207007
#  52 CAsON   48875
#  53 CAsOn  114664
#  54 CAsoN  113739
#  55 CAson 1119476
#  56 CaSON   14297
#  57 CaSOn   16266
#  58 CaSoN   18419
#  59 CaSon   25500
#  60 CasON   18264
#  61 CasOn   25212
#  62 CasoN    9658
#  63 Cason  345517
#
# Number of counts discarded due to constraints: 0
#
# Number of counts discarded due to masking: 6268
#
# Total number of environments: 64
# Weighting scheme: clustering at PID 60 level
#
# Smoothing:
# p1(ri) (i.e., amino acid composition) is estimated by summing over
# each row in all matrices (no smoothing)
#                           ^^^^^^^^^^^^
# p2(ri|Rj) is estimated as:
#    p2(ri|Rj) = omega1 * p1(ri) + omega2 * W2(ri|Rj)
# 
# p3(ri|Rj,fq) is estimated as:
#    p3(ri|Rj,fq) = omega1 * A2(ri|fq) + omega2 * W3(ri|Rj,fq)
# where
#    A2(ri|fq) = p2(ri|fq) (fixed fq; partial smoothing)
# 
# The smoothing procedure is curtailed here and finally
# p5(ri|Rj,...) is estimated as:
#    p5(ri|Rj,...) = omega1 * A3(ri|Rj,fq) + omega2 * W5(ri|Rj...)
# where
#    A3(ri|Rj,fq) = sum over fq omega_c * pc3(Rj,fq)
# 
# Weights (omegas) are calculated as in Topham et al. 1993)
# 
# sigma value used is:  5.00
# 
# Each column (j) represents the probability distribution for the 
# likelihood of acceptance of a mutational event by a residue type j in 
# a particular structural environment (specified after >) leading to 
# any other residue type (i) and sums up to 100.
#
# There are 21 amino acids considered:
# ACDEFGHIKLMNPQRSTVWYJ
# where C represents half-cystine (disulphide bonded)
# and J represents cysteine (non disulphide bonded).
#
# The sequence has an additional row for 'U', which means
# both half-cystine and cysteine (with no distinction) and
# this should normally correspond to Cys in amino acid sequences.
#
>HASON 0
#        A      C      D      E      F      G      H      I      K      L      M      N      P      Q      R      S      T      V      W      Y      J 
A    22.84   2.65   6.69   4.95   7.24  10.36   6.44   8.45   7.50   8.50   8.60   8.06   8.37   9.84   7.30   9.28   7.81  10.54   6.01   6.76  17.69 
C     0.04  73.17   0.08   0.00   0.09   0.03   0.02   0.05   0.03   0.04   0.04   0.11   0.04   0.00   0.04   0.01   0.01   0.07   0.06   0.34   0.20 
D     4.29   0.94  45.16  10.35   1.74   4.50   2.09   1.84   4.76   1.96   2.31   6.78   5.78   5.65   4.30   5.57   6.17   2.11   1.48   2.02   1.93 
E     7.84   1.38  11.24  49.35   3.23   4.85   8.72   3.48   9.03   3.86   3.90   8.05   7.42   9.31   7.91   7.83   5.02   4.28   2.89   4.44   2.47 
F     2.45   1.74   1.00   0.86  20.78   1.36   3.09   5.05   1.74   5.85   5.46   1.30   1.58   3.23   2.07   1.52   4.41   4.40   8.59  10.97   2.43 
G     5.80   1.37   1.43   2.04   2.33  41.80   3.63   1.88   3.18   2.03   2.69   3.42   4.01   9.12   3.07   6.07   4.18   2.36   1.72   1.37   5.54 
H     1.72   0.40   1.60   1.46   2.14   1.37  14.15   1.45   2.28   1.52   1.77   3.22   1.49   3.97   2.75   1.66   2.23   1.59   1.97   3.14   1.87 
I     4.03   1.28   1.35   2.23   7.12   1.67   1.47  17.61   2.62   9.83   8.98   2.01   2.32   3.90   2.99   3.79   3.70  11.13   4.80   4.86   6.35 
K     5.94   1.17   4.82   3.97   3.05   3.98   6.24   3.27  24.46   3.82   4.03   7.69   5.63   3.86  10.91   4.70   5.32   3.95   2.31   3.08   2.09 
L     7.65   2.14   2.26   2.94  15.52   3.30   6.07  18.21   5.37  27.25  16.43   4.07   4.22   6.83   5.75   5.61   5.25  14.39   9.99   8.07  14.39 
M     1.84   0.30   0.32   1.54   3.20   0.95   2.25   3.70   1.35   3.94  10.58   1.45   1.01   1.29   1.54   2.14   1.53   3.00   2.09   2.16   1.74 
N     2.97   0.87   5.77   2.63   1.80   4.06   7.90   1.60   3.76   1.75   2.23  26.23   3.14   3.38   3.79   5.23   5.46   1.94   1.61   1.23   2.50 
P     2.63   0.80   0.97   0.69   1.37   2.22   0.78   1.45   2.43   1.42   1.48   1.53  31.14   1.18   2.27   1.26   1.19   2.04   1.10   1.83   1.62 
Q     3.89   0.86   3.42   4.68   2.35   2.65   5.04   2.27   5.37   2.58   3.33   4.09   3.26  17.88   5.14   4.28   3.71   2.70   1.83   2.79   2.25 
R     4.69   1.16   3.93   2.26   3.18   3.21   6.09   3.36   9.97   3.74   4.05   5.99   4.25   5.40  22.98   4.62   3.00   3.56   3.05   5.48   3.83 
S     6.35   1.74   3.01   3.76   2.65   5.81   6.05   2.71   4.66   2.89   3.59   5.58   5.50   4.29   4.82  18.66  12.00   3.55   2.52   2.43   5.58 
T     4.69   1.67   2.73   2.33   3.21   2.98   3.73   4.45   4.44   3.65   4.61   3.75   4.24   2.53   4.44   9.07  18.94   5.26   2.49   3.79   4.28 
V     6.13   2.38   2.26   1.15   7.61   2.52   3.96  13.61   3.92   9.47   9.65   3.06   4.08   4.40   4.08   5.88   4.69  17.80   6.56   5.10   8.29 
W     0.77   0.48   0.48   0.44   2.73   0.42   1.19   1.12   0.62   1.33   1.19   0.33   0.56   1.23   0.87   0.86   0.42   1.16  31.37  10.51   0.32 
Y     2.30   1.37   1.20   1.88   7.72   1.40   9.87   3.30   2.08   3.49   3.80   2.56   1.57   2.37   2.41   1.29   3.87   2.98   6.65  18.74   1.17 
J     1.13   2.13   0.28   0.49   0.94   0.57   1.21   1.14   0.44   1.08   1.28   0.73   0.41   0.33   0.58   0.68   1.08   1.20   0.92   0.87  13.46 
>HASOn 1
