#
# Environment-specific amino acid substitution matrices
# Creator: subst version 1.15
# CreationDate: 23/1/2008 15:54:42
#
# Definitions for structural environments:
# 6 features used
#
# domain interface;TF;Dd;T;T
# secondary structure and phi angle;HEPC;HEPC;F;F
# solvent accessibility;TF;Aa;F;F
# hydrogen bond to other sidechain/heterogen;TF;Ss;F;F
# hydrogen bond to mainchain CO;TF;Oo;F;F
# hydrogen bond to mainchain NH;TF;Nn;F;F
#
# (read in from classdef.dat)
#
# Number of alignments: 1187
# (list of .tem files read in from TEMLIST.Nomask)
#
# Total number of structures: 5833
#
# Total number of raw substitution counts: 9458282
#   0 HASON   14604
#   1 HASOn  103884
#   2 HASoN   36448
#   3 HASon  370217
#   4 HAsON   20447
#   5 HAsOn  237425
#   6 HAsoN   28987
#   7 HAson 1456562
#   8 HaSON   24119
#   9 HaSOn   51173
#  10 HaSoN   27867
#  11 HaSon   53484
#  12 HasON   20611
#  13 HasOn   75869
#  14 HasoN   11473
#  15 Hason  817082
#  16 EASON    6299
#  17 EASOn   50718
#  18 EASoN   26914
#  19 EASon  287039
#  20 EAsON    9567
#  21 EAsOn   98067
#  22 EAsoN   33638
#  23 EAson 1027845
#  24 EaSON   25047
#  25 EaSOn   62435
#  26 EaSoN   20159
#  27 EaSon   97505
#  28 EasON   21124
#  29 EasOn   62536
#  30 EasoN   13650
#  31 Eason 1086930
#  32 PASON    1359
#  33 PASOn    6151
#  34 PASoN    3727
#  35 PASon   21266
#  36 PAsON    3434
#  37 PAsOn   18313
#  38 PAsoN    4949
#  39 PAson  366410
#  40 PaSON     635
#  41 PaSOn    1327
#  42 PaSoN     837
#  43 PaSon    1285
#  44 PasON     553
#  45 PasOn     982
#  46 PasoN     598
#  47 Pason   83233
#  48 CASON   20514
#  49 CASOn   67473
#  50 CASoN   99332
#  51 CASon  248639
#  52 CAsON   53810
#  53 CAsOn  139150
#  54 CAsoN  134133
#  55 CAson 1309841
#  56 CaSON   17588
#  57 CaSOn   23572
#  58 CaSoN   23799
#  59 CaSon   32711
#  60 CasON   23703
#  61 CasOn   32413
#  62 CasoN   12408
#  63 Cason  424412
#
# Number of counts discarded due to constraints: 0
#
# Number of counts discarded due to masking: 0
#
# Total number of environments: 64
# Weighting scheme: clustering at PID 60 level
#
# Smoothing:
# p1(ri) (i.e., amino acid composition) is estimated by summing over
# each row in all matrices (no smoothing)
#                           ^^^^^^^^^^^^
# p2(ri|Rj) is estimated as:
#    p2(ri|Rj) = omega1 * p1(ri) + omega2 * W2(ri|Rj)
# 
# p3(ri|Rj,fq) is estimated as:
#    p3(ri|Rj,fq) = omega1 * A2(ri|fq) + omega2 * W3(ri|Rj,fq)
# where
#    A2(ri|fq) = p2(ri|fq) (fixed fq; partial smoothing)
# 
# The smoothing procedure is curtailed here and finally
# p5(ri|Rj,...) is estimated as:
#    p5(ri|Rj,...) = omega1 * A3(ri|Rj,fq) + omega2 * W5(ri|Rj...)
# where
#    A3(ri|Rj,fq) = sum over fq omega_c * pc3(Rj,fq)
# 
# Weights (omegas) are calculated as in Topham et al. 1993)
# 
# sigma value used is:  5.00
# 
# Each column (j) represents the probability distribution for the 
# likelihood of acceptance of a mutational event by a residue type j in 
# a particular structural environment (specified after >) leading to 
# any other residue type (i).
#
# The probabilities were then divided by the background probabilities
# which were derived from the environment-independent amino acid frequencies.
#                             ^^^^^^^^^^^^^^^^^^^^^^^
# See Eq. 3 of Shi et al. (2001) for more detail.
#
# Shown here are logarithms of these values multiplied by 3/log(2) 
# rounded to the nearest integer (log-odds scores in 1/3 bit units).
#
# There are 21 amino acids considered:
# ACDEFGHIKLMNPQRSTVWYJ
# where C represents half-cystine (disulphide bonded)
# and J represents cysteine (non disulphide bonded).
#
# The sequence has an additional row for 'U', which means
# both half-cystine and cysteine (with no distinction) and
# this should normally correspond to Cys in amino acid sequences.
#
# For total (composite) matrix, Entropy = 0.4529 bits, Expected score = -0.3814
#
>HASON 0
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      4   -4   -1   -2   -1    0   -2    0   -1    0    0   -1    0    0   -1    0   -1    1   -2   -1    3 
C     -9   23   -7   -8   -6  -10  -14   -8  -10   -9   -8   -5  -10  -10   -9  -16   -4   -7   -8   -2   -3 
D     -1   -8    9    3   -5   -1   -2   -5   -1   -4   -4    1    0    1   -1    1    1   -4   -5   -6   -4 
E      1   -7    3    8   -3   -1    1   -3    1   -2   -2    1    1    3    1    1    0   -2   -4   -4   -4 
F     -2   -4   -7   -6    7   -5   -2    1   -4    1    1   -5   -4   -2   -3   -5    1    0    3    5   -2 
G     -1   -7   -6   -5   -5    8   -2   -6   -3   -5   -4   -3   -2    0   -4   -1   -2   -5   -6   -9   -1 
H     -1   -7   -2   -1    0   -2    8   -2    0   -2   -1    1   -2    1    1   -1    0   -2   -1    4   -1 
I     -2   -6   -7   -4    0   -6   -7    4   -4    2    1   -5   -4   -3   -3   -2   -3    2   -1   -2    0 
K      0   -6   -1   -1   -3   -2    0   -2    6   -2   -2    1    0   -2    3   -1    0   -2   -4   -2   -4 
L     -1   -6   -7   -5    2   -5   -3    3   -3    4    2   -4   -4   -3   -2   -3   -3    2    0   -2    1 
M     -1   -6   -9   -2    2   -4    1    2   -2    3    7   -2   -3   -2   -1    0   -2    2    0   -2   -1 
N     -1   -5    1   -2   -3    0    3   -4    0   -3   -3    8   -1   -1    0    1    1   -3   -4   -6   -2 
P     -1   -7   -7   -6   -4   -2   -8   -4   -2   -4   -4   -4    9   -6   -2   -5   -6   -3   -5   -5   -4 
Q      1   -6    3    2   -2   -1    2   -2    2   -1    0    1    0    9    2    1    1   -1   -3   -1   -2 
R      0   -6   -1   -2   -2   -2    1   -2    3   -1   -1    1   -1    0    7   -1   -2   -1   -2    0   -1 
S      1   -5   -3   -2   -3    0    1   -3   -1   -3   -2    0    0   -1   -1    5    3   -2   -4   -6    0 
T     -1   -5   -3   -3   -2   -3   -2   -1   -1   -2   -1   -1   -1   -4   -1    2    5    0   -3   -3   -1 
V     -1   -5   -6   -6    0   -5   -3    2   -3    1    1   -5   -3   -4   -3   -1   -3    3   -1   -4    0 
W     -2   -5   -5   -4    3   -5   -1   -1   -3    0    0   -6   -4   -1   -2   -3   -6    0   14    7   -6 
Y     -2   -4   -5   -2    4   -4    4    0   -2    0    0   -2   -4   -2   -1   -4    0   -1    4    9   -5 
J      0    3   -6   -4   -1   -3    1    0   -3    0    1   -2   -4   -5   -3   -3    1    0   -1   -3   11 
U     -1   17   -7   -4   -1   -4    0   -1   -4   -1    0   -3   -5   -6   -4   -4    0    0   -2   -3   10 
>HASOn 1
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      4   -5    0    0   -1    0    0   -1    0   -1    0    0   -1    0    0    2    1    0    0    0    1 
C     -8   23  -14   -9   -5   -9  -11   -7   -6   -8   -9  -12  -10  -12   -8  -14  -24   -6  -14   -2   -6 
D     -1   -9    5    2   -5   -1   -3   -5   -2   -5   -4    1    0    0   -2    1    0   -5   -7   -6    0 
E      0   -7    4    6   -4   -2    1   -3    1   -3   -2    2    0    2    1    2    1   -2   -9   -3    1 
F     -2   -4   -6   -5    7   -5   -1    1   -3    1    1   -4   -4   -3   -3   -3   -2    0    4    3   -2 
G     -1   -7   -4   -5   -5    8   -6   -6   -5   -5   -4   -3   -2   -4   -4   -3   -4   -5   -7   -7   -1 
H     -1   -7    0   -1    0   -2   11   -2    0   -2   -1    1   -2    1    1    0    0   -2   -1    3   -1 
I     -2   -6   -6   -5    1   -6   -4    5   -3    2    2   -5   -4   -3   -3   -3   -1    3    0   -1    0 
K      0   -7    3    2   -3   -2    0   -3    7   -2   -1    1    0    3    3    1    1   -2   -5    1    1 
L     -1   -6   -4   -3    2   -5   -2    3   -1    4    2   -3   -4   -1   -2   -2   -1    2    1    0   -1 
M     -1   -7   -4   -2    2   -4   -2    2   -1    3    7   -3   -4    0   -1   -1    0    1    0    1   -1 
