#
# Environment-specific amino acid substitution matrices
# Creator: subst version 1.10
# CreationDate: 28/9/2007 15:10:0
#
# Definitions for structural environments:
# 6 features used
#
# domain interface;TF;Dd;T;T
# secondary structure and phi angle;HEPC;HEPC;F;F
# solvent accessibility;TF;Aa;F;F
# hydrogen bond to other sidechain/heterogen;TF;Ss;F;F
# hydrogen bond to mainchain CO;TF;Oo;F;F
# hydrogen bond to mainchain NH;TF;Nn;F;F
#
# (read in from classdef.dat)
#
# Number of alignments: 1269
# (list of .tem files read in from TEMLIST.new_allmask)
#
# Total number of environments: 64
# Weighting scheme: clustering at PID 60 level
#
# Smoothing:
# p1(ri) (i.e., amino acid composition) is estimated by summing over
# each row in all matrices (no smoothing)
#                           ^^^^^^^^^^^^
# p2(ri|Rj) is estimated as:
#    p2(ri|Rj) = omega1 * p1(ri) + omega2 * W2(ri|Rj)
# 
# p3(ri|Rj,fq) is estimated as:
#    p3(ri|Rj,fq) = omega1 * A2(ri|fq) + omega2 * W3(ri|Rj,fq)
# where
#    A2(ri|fq) = p2(ri|fq) (fixed fq; partial smoothing)
# 
# The smoothing procedure is curtailed here and finally
# p5(ri|Rj,...) is estimated as:
#    p5(ri|Rj,...) = omega1 * A3(ri|Rj,fq) + omega2 * W5(ri|Rj...)
# where
#    A3(ri|Rj,fq) = sum over fq omega_c * pc3(Rj,fq)
# 
# Weights (omegas) are calculated as in Topham et al. 1993)
# 
# sigma value used is:  5.00
# 
# Each column (j) represents the probability distribution for the 
# likelihood of acceptance of a mutational event by a residue type j in 
# a particular structural environment (specified after >) leading to 
# any other residue type (i) and sums up to 100.
#
# There are 21 amino acids considered.
# ACDEFGHIKLMNPQRSTVWYJ
#
>HASON 0
#        A      C      D      E      F      G      H      I      K      L      M      N      P      Q      R      S      T      V      W      Y      J 
A    21.36   4.29   7.72   5.83   7.30  10.23   4.46   8.40   7.66   8.47   8.38   9.00   8.41   9.05   7.41   9.98   7.63  10.38   5.90   5.55  17.79 
C     0.07  63.58   0.12   0.00   0.10   0.05   0.02   0.06   0.04   0.08   0.07   0.05   0.05   0.04   0.06   0.01   0.14   0.09   0.09   0.24   0.23 
D     4.53   1.05  32.00   9.04   1.89   4.84   3.10   1.87   5.06   2.08   2.39   7.05   6.12   7.77   4.64   7.20   9.85   2.23   2.02   3.36   1.40 
E     7.67   2.04  14.38  43.65   3.26   5.09   6.72   3.64   8.56   3.79   3.79   8.22   7.56  12.52   7.80   6.58   6.66   4.40   3.02   2.52   2.61 
F     2.53   2.08   1.04   1.86  19.14   1.40   2.63   5.12   1.80   5.82   5.46   1.68   1.73   2.33   2.16   1.39   4.69   4.45   7.89  10.50   3.11 
G     5.98   1.63   2.36   2.19   2.46  39.28   2.63   2.05   3.68   2.20   2.66   4.02   4.73   4.94   3.36   5.90   3.85   2.58   2.16   1.43   5.87 
H     1.80   0.67   2.09   2.35   2.33   1.48  13.99   1.45   2.34   1.56   1.77   3.00   1.53   3.10   2.79   3.12   2.16   1.71   2.00   6.07   1.88 
I     4.06   1.78   1.01   2.60   7.19   1.73   1.83  16.94   2.69   9.71   8.90   1.86   2.47   2.51   2.99   3.95   2.37  10.93   5.24   3.73   6.32 
K     6.09   1.57   5.11   3.77   3.16   4.31   8.31   3.41  23.32   3.92   3.99   7.99   5.86   4.61  10.53   5.62   5.53   4.03   2.56   3.33   1.14 
L     7.64   3.72   3.19   2.92  15.24   3.49   7.05  17.98   5.32  26.49  17.05   5.23   4.39   5.29   5.70   4.13   6.00  14.22  10.06   6.04  12.19 
M     1.87   0.96   0.68   0.75   3.24   0.95   2.88   3.71   1.37   4.11  10.22   1.37   1.03   1.17   1.53   1.28   1.77   3.09   2.21   1.74   2.15 
N     3.35   1.63   4.74   2.69   1.95   4.15   5.01   1.76   4.13   1.97   2.40  23.07   3.49   4.10   4.11   5.20   5.02   2.13   2.01   1.81   3.10 
P     2.95   0.85   1.47   2.20   1.65   2.69   1.53   1.73   2.73   1.71   1.73   1.93  28.12   1.59   2.60   0.90   1.19   2.18   1.58   1.55   1.54 
Q     4.02   0.93   8.54   5.09   2.33   2.70   5.32   2.36   5.30   2.54   3.04   4.48   3.26  21.74   5.12   5.38   4.40   2.77   2.00   3.33   2.24 
R     4.76   1.46   3.43   3.57   3.25   3.26   5.80   3.38   9.40   3.65   3.88   5.57   4.34   4.79  21.62   4.15   4.93   3.54   3.15   4.39   4.24 
S     6.41   2.32   4.44   3.29   2.78   5.87   6.17   2.97   4.91   2.94   3.52   5.21   5.77   4.84   4.99  17.13   9.01   3.58   2.73   1.70   5.20 
T     4.66   1.86   3.04   3.99   3.38   3.25   5.80   4.31   4.39   3.60   4.45   3.83   4.25   2.72   4.46   9.09  15.96   5.02   2.71   2.17   4.55 
V     5.97   3.18   1.78   1.70   7.57   2.63   4.38  13.09   3.79   9.24   9.61   2.34   4.01   3.12   3.98   6.44   2.93  17.01   6.31   5.09   9.35 
W     0.84   0.57   0.78   0.56   2.78   0.47   1.16   1.27   0.71   1.41   1.40   1.00   0.73   0.83   0.94   0.32   0.65   1.23  27.74   7.47   0.37 
Y     2.36   1.78   1.62   1.66   8.02   1.51  10.04   3.36   2.26   3.63   3.95   2.50   1.76   2.64   2.63   1.69   4.05   3.22   7.84  27.47   1.47 
J     1.08   2.05   0.46   0.28   0.96   0.61   1.17   1.16   0.53   1.08   1.34   0.60   0.41   0.30   0.56   0.54   1.21   1.22   0.77   0.51  13.23 
>HASOn 1
#        A      C      D      E      F      G      H      I      K      L      M      N      P      Q      R      S      T      V      W      Y      J 
A    21.85   3.72   9.24   9.17   6.91   9.67   8.28   7.83   8.54   8.00   8.37   9.20   8.01   9.65   9.09  13.42  12.16   9.70   7.46   8.89  12.47 
C     0.08  66.21   0.03   0.08   0.12   0.06   0.03   0.07   0.08   0.10   0.09   0.04   0.05   0.05   0.06   0.02   0.00   0.11   0.02   0.22   0.09 
D     4.24   0.93  15.40   7.75   1.76   4.69   3.07   1.64   4.41   1.90   2.51   7.38   5.95   4.77   3.87   6.84   5.82   1.95   2.77   1.99   4.41 
E     6.94   1.66  15.03  24.04   2.97   4.60   8.57   3.12   7.03   3.38   3.98   9.24   6.96   9.98   7.27   9.51   9.05   3.72   2.50   3.12   7.77 
F     2.65   1.98   1.19   1.34  19.90   1.42   3.50   5.32   1.78   6.03   5.55   1.86   1.79   2.26   2.19   1.79   2.66   4.61   9.27   8.05   2.48 
G     6.30   1.64   3.23   2.57   2.47  41.50   2.00   2.04   2.91   2.19   2.64   3.94   4.81   3.19   2.83   4.96   3.77   2.55   1.78   2.42   4.06 
H     1.77   0.59   2.34   1.51   2.23   1.44  25.38   1.36   2.37   1.50   1.83   2.96   1.53   2.24   2.78   2.29   2.29   1.60   2.64   5.95   1.71 
I     4.33   1.79   1.88   1.83   7.64   1.75   2.69  18.38   3.20  10.34   8.98   2.14   2.50   3.40   3.14   3.08   4.36  12.10   6.74   6.25   6.55 
K     5.62   1.29   9.97   9.47   2.88   3.99   5.61   2.96  25.11   3.52   4.17   7.90   5.63  10.24  10.66   6.72   6.83   3.47   2.34   5.45   7.86 
