#
# Environment-specific amino acid substitution matrices
# Creator: subst version 1.15
# CreationDate: 23/1/2008 15:59:4
#
# Definitions for structural environments:
# 6 features used
#
# domain interface;TF;Dd;T;T
# secondary structure and phi angle;HEPC;HEPC;F;F
# solvent accessibility;TF;Aa;F;F
# hydrogen bond to other sidechain/heterogen;TF;Ss;F;F
# hydrogen bond to mainchain CO;TF;Oo;F;F
# hydrogen bond to mainchain NH;TF;Nn;F;F
#
# (read in from classdef.dat)
#
# Number of alignments: 566
# (list of .tem files read in from TEMLIST.Nomask)
#
# Total number of structures: 2556
#
# Total number of raw substitution counts: 3891252
#   0 HASON    4915
#   1 HASOn   24968
#   2 HASoN   10822
#   3 HASon   99897
#   4 HAsON    4644
#   5 HAsOn   65631
#   6 HAsoN    7262
#   7 HAson  441330
#   8 HaSON   10564
#   9 HaSOn    8052
#  10 HaSoN   13089
#  11 HaSon   10554
#  12 HasON    4462
#  13 HasOn   12741
#  14 HasoN    1325
#  15 Hason  172163
#  16 EASON    3196
#  17 EASOn   30392
#  18 EASoN   14384
#  19 EASon  177604
#  20 EAsON    4003
#  21 EAsOn   63447
#  22 EAsoN   19726
#  23 EAson  663762
#  24 EaSON   15046
#  25 EaSOn   40928
#  26 EaSoN    6197
#  27 EaSon   38746
#  28 EasON    7474
#  29 EasOn   36518
#  30 EasoN    5332
#  31 Eason  550433
#  32 PASON     854
#  33 PASOn    1343
#  34 PASoN    1420
#  35 PASon    7042
#  36 PAsON    2146
#  37 PAsOn    8493
#  38 PAsoN    2189
#  39 PAson  170006
#  40 PaSON      63
#  41 PaSOn     114
#  42 PaSoN      41
#  43 PaSon     124
#  44 PasON      95
#  45 PasOn     161
#  46 PasoN      66
#  47 Pason   38847
#  48 CASON    8582
#  49 CASOn   33344
#  50 CASoN   32382
#  51 CASon   99463
#  52 CAsON   31533
#  53 CAsOn   58856
#  54 CAsoN   57949
#  55 CAson  595344
#  56 CaSON    5676
#  57 CaSOn    4023
#  58 CaSoN    4295
#  59 CaSon    5923
#  60 CasON    5644
#  61 CasOn    7223
#  62 CasoN    2816
#  63 Cason  135588
#
# Number of counts discarded due to constraints: 0
#
# Number of counts discarded due to masking: 0
#
# Total number of environments: 64
# Weighting scheme: clustering at PID 60 level
#
# Smoothing:
# p1(ri) (i.e., amino acid composition) is estimated by summing over
# each row in all matrices (no smoothing)
#                           ^^^^^^^^^^^^
# p2(ri|Rj) is estimated as:
#    p2(ri|Rj) = omega1 * p1(ri) + omega2 * W2(ri|Rj)
# 
# p3(ri|Rj,fq) is estimated as:
#    p3(ri|Rj,fq) = omega1 * A2(ri|fq) + omega2 * W3(ri|Rj,fq)
# where
#    A2(ri|fq) = p2(ri|fq) (fixed fq; partial smoothing)
# 
# The smoothing procedure is curtailed here and finally
# p5(ri|Rj,...) is estimated as:
#    p5(ri|Rj,...) = omega1 * A3(ri|Rj,fq) + omega2 * W5(ri|Rj...)
# where
#    A3(ri|Rj,fq) = sum over fq omega_c * pc3(Rj,fq)
# 
# Weights (omegas) are calculated as in Topham et al. 1993)
# 
# sigma value used is:  5.00
# 
# Each column (j) represents the probability distribution for the 
# likelihood of acceptance of a mutational event by a residue type j in 
# a particular structural environment (specified after >) leading to 
# any other residue type (i).
#
# The probabilities were then divided by the background probabilities
# which were derived from the environment-independent amino acid frequencies.
#                             ^^^^^^^^^^^^^^^^^^^^^^^
# See Eq. 3 of Shi et al. (2001) for more detail.
#
# Shown here are logarithms of these values multiplied by 3/log(2) 
# rounded to the nearest integer (log-odds scores in 1/3 bit units).
#
# There are 21 amino acids considered:
# ACDEFGHIKLMNPQRSTVWYJ
# where C represents half-cystine (disulphide bonded)
# and J represents cysteine (non disulphide bonded).
#
# The sequence has an additional row for 'U', which means
# both half-cystine and cysteine (with no distinction) and
# this should normally correspond to Cys in amino acid sequences.
#
# For total (composite) matrix, Entropy = 0.4833 bits, Expected score = -0.4335
#
>HASON 0
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      4   -6   -2   -4   -1    1   -1    0    0    0    0   -1    0    0   -1    1    0    1   -3   -1    3 
C    -10   20  -21  -22   -7  -13  -14  -10  -15  -12  -11  -19   -9  -20  -13  -14  -13   -9   -9   -9   -4 
D     -1  -11   10    2   -5    0   -3   -5   -1   -5   -4    2    0    2   -1    1   -2   -4   -7   -6   -3 
E      1  -11   -1   10   -3   -1    1   -3    1   -3   -2    3    1    2    0    1   -3   -2   -5   -5   -4 
F     -3   -6   -6  -12    8   -5   -2    1   -4    1    1   -7   -5   -4   -3   -5   -4    0    3    4    0 
G     -1   -8   -8   -7   -5    8   -4   -5   -3   -5   -4   -6   -2   -6   -3   -2   -2   -4   -6   -6   -5 
H     -1  -10   -3   -6   -1   -2   10   -2    0   -2   -2    2   -2    2    1    0   -2   -2   -2    0   -2 
I     -2   -9   -6   -4    0   -6   -6    5   -3    2    2   -4   -4   -4   -3   -2   -1    3   -2   -2    0 
K      0  -15    2   -3   -3   -1   -1   -2    5   -2   -1    1    0    1    3    1    0   -2   -5   -2   -4 
L     -1  -10   -8   -8    2   -5   -1    3   -3    4    2   -4   -3   -5   -2   -2   -5    2   -1   -1    0 
M      0  -10   -8    0    2   -3   -2    2   -1    3    7    0   -3   -3   -1    0   -4    2   -1    1   -1 
N     -1  -11    2   -2   -4    0    4   -3    0   -3   -1    8   -1    2    0    1    3   -3   -6   -4    0 
P     -1   -5   -4   -8   -5   -2   -6   -4   -2   -4   -3   -4   10   -2   -2   -2   -3   -3   -7   -6   -3 
Q      1  -11   -1   -1   -3   -1    0   -2    2   -2    0   -3   -1    8    2    1   -3   -1   -4   -2    0 
R      0  -10   -2   -7   -2   -2    1   -2    3   -1    0   -1   -1    0    7    0   -1   -1   -3    2   -3 
S      0   -7   -3   -3   -3    0    0   -3    0   -3   -2   -1    0   -1   -1    4    3   -2   -5   -4    1 
T     -1   -6   -3   -3   -3   -2   -3   -1   -1   -2   -1   -2   -1   -3   -1    2    6    0   -4   -1   -1 
V     -1   -7   -6  -10   -1   -5   -3    2   -3    1    0   -4   -4   -3   -3   -4   -2    3   -2   -2    1 
W     -3   -4   -3   -4    3   -6   -1   -1   -4   -1   -1   -5   -6   -1   -2   -8   -8   -1   15    9   -6 
Y     -2   -6   -6   -3    4   -4    3   -1   -2    0   -1   -2   -4   -2   -1    0   -1   -1    2    7   -4 
J      1    0  -10   -4    0   -3   -5    0   -3    0    1   -3   -5   -3   -3   -1    2    0   -3   -4   12 
U     -2   17  -12   -7   -2   -5   -7   -2   -6   -2   -2   -5   -6   -6   -5   -3    0   -2   -5   -6   10 
>HASOn 1
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      4   -7    1    1   -1    0    0   -1    1   -1    0    0   -1    1    0    2    1    0   -1   -2    2 
C    -10   20  -30  -20   -5  -12  -21   -9  -27  -11  -12  -26   -9  -23  -28  -20  -19   -8  -11   -9   -9 
D     -1  -12    5    0   -6    0   -2   -5   -1   -5   -4    1    0    0   -2    1   -2   -5   -7   -7   -1 
E      0  -11    3    5   -4   -1   -4   -3    0   -3   -2    1    0    2   -1    1    0   -2   -8   -3    1 
F     -2   -5   -5   -4    8   -5   -4    1   -4    2    1   -5   -5   -4   -3   -3   -2    0    2    5   -1 
G      0   -9   -3   -4   -5    8   -3   -6   -5   -5   -4   -2   -2   -4   -5   -2   -5   -5   -9   -9   -4 
H     -1  -10    1   -1   -1   -3   12   -3    0   -2   -2    2   -2   -3    1    0   -1   -2   -1    2   -1 
I     -2   -8   -6   -4    1   -6   -5    5   -3    2    2   -3   -4   -3   -2   -3    0    3    0    0    1 
K      0  -14    3    3   -3   -1   -1   -3    7   -2   -1    2    0    3    3    1    1   -2   -4   -1    1 
L     -1   -9   -5   -2    2   -5   -3    3   -2    5    3   -3   -4   -3   -1   -2   -1    2    1    0   -1 
M      0  -10   -2    0    2   -4   -4    2    1    3    6   -3   -3    0    1   -1    0    1    0   -2    0 
