#
# Environment-specific amino acid substitution matrices
# Creator: subst version 1.15
# CreationDate: 9/1/2008 23:1:20
#
# Definitions for structural environments:
# 6 features used
#
# domain interface;TF;Dd;T;T
# secondary structure and phi angle;HEPC;HEPC;F;F
# solvent accessibility;TF;Aa;F;F
# hydrogen bond to other sidechain/heterogen;TF;Ss;F;F
# hydrogen bond to mainchain CO;TF;Oo;F;F
# hydrogen bond to mainchain NH;TF;Nn;F;F
#
# (read in from classdef.dat)
#
# Number of alignments: 566
# (list of .tem files read in from TEMLIST.Nomask)
#
# Total number of structures: 2556
#
# Total number of raw substitution counts: 3891252
#   0 HASON    4915
#   1 HASOn   24968
#   2 HASoN   10822
#   3 HASon   99897
#   4 HAsON    4644
#   5 HAsOn   65631
#   6 HAsoN    7262
#   7 HAson  441330
#   8 HaSON   10564
#   9 HaSOn    8052
#  10 HaSoN   13089
#  11 HaSon   10554
#  12 HasON    4462
#  13 HasOn   12741
#  14 HasoN    1325
#  15 Hason  172163
#  16 EASON    3196
#  17 EASOn   30392
#  18 EASoN   14384
#  19 EASon  177604
#  20 EAsON    4003
#  21 EAsOn   63447
#  22 EAsoN   19726
#  23 EAson  663762
#  24 EaSON   15046
#  25 EaSOn   40928
#  26 EaSoN    6197
#  27 EaSon   38746
#  28 EasON    7474
#  29 EasOn   36518
#  30 EasoN    5332
#  31 Eason  550433
#  32 PASON     854
#  33 PASOn    1343
#  34 PASoN    1420
#  35 PASon    7042
#  36 PAsON    2146
#  37 PAsOn    8493
#  38 PAsoN    2189
#  39 PAson  170006
#  40 PaSON      63
#  41 PaSOn     114
#  42 PaSoN      41
#  43 PaSon     124
#  44 PasON      95
#  45 PasOn     161
#  46 PasoN      66
#  47 Pason   38847
#  48 CASON    8582
#  49 CASOn   33344
#  50 CASoN   32382
#  51 CASon   99463
#  52 CAsON   31533
#  53 CAsOn   58856
#  54 CAsoN   57949
#  55 CAson  595344
#  56 CaSON    5676
#  57 CaSOn    4023
#  58 CaSoN    4295
#  59 CaSon    5923
#  60 CasON    5644
#  61 CasOn    7223
#  62 CasoN    2816
#  63 Cason  135588
#
# Number of counts discarded due to constraints: 0
#
# Number of counts discarded due to masking: 0
#
# Total number of environments: 64
# Weighting scheme: clustering at PID 60 level
#
# Smoothing:
# p1(ri) (i.e., amino acid composition) is estimated by summing over
# each row in all matrices (no smoothing)
#                           ^^^^^^^^^^^^
# p2(ri|Rj) is estimated as:
#    p2(ri|Rj) = omega1 * p1(ri) + omega2 * W2(ri|Rj)
# 
# p3(ri|Rj,fq) is estimated as:
#    p3(ri|Rj,fq) = omega1 * A2(ri|fq) + omega2 * W3(ri|Rj,fq)
# where
#    A2(ri|fq) = p2(ri|fq) (fixed fq; partial smoothing)
# 
# The smoothing procedure is curtailed here and finally
# p5(ri|Rj,...) is estimated as:
#    p5(ri|Rj,...) = omega1 * A3(ri|Rj,fq) + omega2 * W5(ri|Rj...)
# where
#    A3(ri|Rj,fq) = sum over fq omega_c * pc3(Rj,fq)
# 
# Weights (omegas) are calculated as in Topham et al. 1993)
# 
# sigma value used is:  5.00
# 
# Each column (j) represents the probability distribution for the 
# likelihood of acceptance of a mutational event by a residue type j in 
# a particular structural environment (specified after >) leading to 
# any other residue type (i) and sums up to 100.
#
# There are 21 amino acids considered:
# ACDEFGHIKLMNPQRSTVWYJ
# where C represents half-cystine (disulphide bonded)
# and J represents cysteine (non disulphide bonded).
#
# The sequence has an additional row for 'U', which means
# both half-cystine and cysteine (with no distinction) and
# this should normally correspond to Cys in amino acid sequences.
#
>HASON 0
#        A      C      D      E      F      G      H      I      K      L      M      N      P      Q      R      S      T      V      W      Y      J 
A    22.92   2.07   5.82   3.55   6.41   9.83   6.26   7.94   7.62   7.89   8.52   7.50   7.90   8.91   6.80  11.47   9.35   9.91   4.23   7.57  17.97 
C     0.07  83.84   0.01   0.01   0.14   0.04   0.03   0.08   0.03   0.05   0.06   0.01   0.09   0.01   0.04   0.03   0.04   0.09   0.11   0.09   0.29 
D     4.67   0.42  50.16   8.16   1.59   5.25   2.73   1.73   4.86   1.77   2.25   8.82   5.64   8.21   4.26   6.69   3.81   2.19   1.09   1.24   2.87 
E     7.58   0.59   4.86  61.12   3.19   5.37   9.39   3.60   9.18   3.68   4.20  12.16   7.50  11.38   7.47   8.64   3.74   4.50   2.04   2.30   2.46 
F     2.40   1.09   1.00   0.25  25.50   1.25   2.64   4.88   1.82   6.04   5.26   0.82   1.34   1.71   2.26   1.39   1.72   4.20   9.27  11.73   4.06 
G     5.56   0.97   0.94   1.26   1.92  40.52   2.91   1.85   3.49   1.89   2.33   1.63   4.04   1.79   2.98   4.04   4.48   2.38   1.53   1.54   1.93 
H     1.66   0.20   1.02   0.60   1.77   1.27  20.17   1.25   2.38   1.49   1.38   3.50   1.24   3.55   2.73   2.33   1.48   1.52   1.53   2.02   1.31 
I     4.03   0.82   1.68   2.28   6.74   1.66   1.44  17.86   2.83  10.28   8.87   2.36   2.25   2.37   3.31   3.48   4.67  11.49   3.84   3.73   5.87 
K     6.63   0.18   9.08   3.42   2.95   4.95   5.32   3.55  21.87   3.96   5.39   7.21   5.77   7.03  12.24   7.08   6.42   4.33   2.18   4.02   2.64 
L     7.34   1.06   1.56   1.38  14.94   2.97   6.98  18.43   5.13  27.38  16.63   4.14   4.44   3.33   5.62   6.52   3.12  14.90   7.75   8.48  10.03 
M     1.88   0.19   0.35   1.87   3.10   0.89   1.17   3.57   1.62   4.02  10.18   1.79   1.12   1.07   1.78   2.01   0.84   2.86   1.51   2.40   1.74 
N     3.13   0.27   6.36   2.50   1.64   4.04   8.60   1.71   4.00   1.70   2.70  26.61   2.84   6.57   3.67   4.93   8.45   1.93   1.06   1.51   3.55 
P     2.66   1.00   1.44   0.57   1.08   2.31   0.93   1.37   2.39   1.54   1.60   1.47  33.65   2.02   2.05   2.07   1.87   1.75   0.74   0.93   1.82 
Q     4.22   0.29   3.04   2.74   1.90   2.70   3.91   2.33   5.54   2.52   3.35   1.99   3.10  21.62   5.39   4.49   1.87   2.66   1.49   2.50   3.70 
R     4.21   0.43   3.22   0.88   2.75   2.95   6.41   3.24   9.56   3.28   4.22   3.99   3.59   5.08  21.15   4.44   3.28   3.46   2.32   7.62   2.31 
S     6.12   1.20   2.94   3.15   2.61   5.80   6.29   2.78   5.25   2.94   3.59   4.91   5.61   4.20   4.94  14.34  11.08   3.69   1.93   2.44   6.64 
T     4.85   1.47   3.00   2.72   2.84   3.35   2.72   4.27   4.78   3.60   4.95   3.94   4.14   2.88   4.86   8.19  23.36   5.05   2.11   4.05   4.22 
V     6.10   1.49   1.91   0.90   7.23   2.68   3.77  14.33   4.23  10.28   9.22   3.69   3.54   4.35   4.45   3.71   5.76  18.16   5.42   4.81   9.60 
W     0.69   0.58   0.68   0.57   2.60   0.39   1.06   1.11   0.63   1.20   1.07   0.47   0.40   1.22   0.87   0.22   0.26   1.09  43.40  11.65   0.35 
Y     2.15   0.87   0.86   1.71   8.20   1.30   6.92   3.09   2.35   3.51   3.13   2.48   1.48   2.29   2.65   3.14   2.81   2.78   5.98  19.01   1.38 
J     1.13   0.95   0.09   0.37   0.88   0.48   0.32   1.06   0.45   0.97   1.10   0.50   0.33   0.45   0.50   0.80   1.60   1.05   0.47   0.37  15.28 
>HASOn 1
#        A      C      D      E      F      G      H      I      K      L      M      N      P      Q      R      S      T      V      W      Y      J 
A    23.28   1.77  10.37  10.41   6.20   9.26   9.04   7.31   9.59   7.43   8.52   8.99   7.46  11.24   8.58  12.52  11.13   9.23   7.24   4.81  12.51 
C     0.08  84.29   0.00   0.01   0.22   0.04   0.01   0.10   0.00   0.06   0.05   0.00   0.09   0.00   0.00   0.01   0.01   0.13   0.07   0.09   0.09 
D     4.37   0.35  16.16   5.72   1.49   5.03   3.26   1.55   3.96   1.60   2.33   7.47   5.46   6.01   3.59   7.28   3.73   1.89   1.14   1.10   4.39 
