#
# Environment-specific amino acid substitution matrices
# Creator: subst version 1.13
# CreationDate: 18/3/2004 16:7:45
#
# Definitions for structural environments:
# 6 features used
#
# domain interface;TF;Dd;T;T
# secondary structure and phi angle;HEPC;HEPC;F;F
# solvent accessibility;TF;Aa;F;F
# hydrogen bond to other sidechain/heterogen;TF;Ss;F;F
# hydrogen bond to mainchain CO;TF;Oo;F;F
# hydrogen bond to mainchain NH;TF;Nn;F;F
#
# (read in from classdef.dat)
#
# Number of alignments: 177
# (list of .tem files read in from TEMLIST_ALLMASK)
#
# Total number of structures: 706
#
# Total number of raw substitution counts: 560144
#   0 HASON     825
#   1 HASOn    6090
#   2 HASoN    1965
#   3 HASon   21659
#   4 HAsON    1108
#   5 HAsOn   15535
#   6 HAsoN    1529
#   7 HAson   85502
#   8 HaSON     756
#   9 HaSOn    2650
#  10 HaSoN    1068
#  11 HaSon    3323
#  12 HasON    1267
#  13 HasOn    3996
#  14 HasoN     569
#  15 Hason   49513
#  16 EASON     325
#  17 EASOn    2107
#  18 EASoN    1179
#  19 EASon   12575
#  20 EAsON     815
#  21 EAsOn    3507
#  22 EAsoN    1397
#  23 EAson   41520
#  24 EaSON     816
#  25 EaSOn    2146
#  26 EaSoN    1198
#  27 EaSon    5246
#  28 EasON    1098
#  29 EasOn    2806
#  30 EasoN     628
#  31 Eason   51480
#  32 PASON      85
#  33 PASOn     521
#  34 PASoN     280
#  35 PASon    1834
#  36 PAsON     215
#  37 PAsOn    1311
#  38 PAsoN     312
#  39 PAson   27175
#  40 PaSON      52
#  41 PaSOn      89
#  42 PaSoN      79
#  43 PaSon     124
#  44 PasON      79
#  45 PasOn      57
#  46 PasoN      37
#  47 Pason    6169
#  48 CASON    1752
#  49 CASOn    4505
#  50 CASoN    7739
#  51 CASon   19142
#  52 CAsON    3151
#  53 CAsOn   10953
#  54 CAsoN    8433
#  55 CAson   95963
#  56 CaSON    1542
#  57 CaSOn    1466
#  58 CaSoN    2182
#  59 CaSon    2967
#  60 CasON    2169
#  61 CasOn    2427
#  62 CasoN     957
#  63 Cason   30179
#
# Number of counts discarded due to constraints: 7291
#
# Number of counts discarded due to masking: 5960
#
# Total number of environments: 64
# Weighting scheme: clustering at PID 60 level
#
# Smoothing:
# p1(ri) (i.e., amino acid composition) is estimated by summing over
# each row in all matrices (no smoothing)
#                           ^^^^^^^^^^^^
# p2(ri|Rj) is estimated as:
#    p2(ri|Rj) = omega1 * p1(ri) + omega2 * W2(ri|Rj)
# 
# p3(ri|Rj,fq) is estimated as:
#    p3(ri|Rj,fq) = omega1 * A2(ri|fq) + omega2 * W3(ri|Rj,fq)
# where
#    A2(ri|fq) = p2(ri|fq) (fixed fq; partial smoothing)
# 
# The smoothing procedure is curtailed here and finally
# p5(ri|Rj,...) is estimated as:
#    p5(ri|Rj,...) = omega1 * A3(ri|Rj,fq) + omega2 * W5(ri|Rj...)
# where
#    A3(ri|Rj,fq) = sum over fq omega_c * pc3(Rj,fq)
# 
# Weights (omegas) are calculated as in Topham et al. 1993)
# 
# sigma value used is:  5.00
# 
# Each column (j) represents the probability distribution for the 
# likelihood of acceptance of a mutational event by a residue type j in 
# a particular structural environment (specified after >) leading to 
# any other residue type (i) and sums up to 100.
#
# There are 21 amino acids considered.
# ACDEFGHIKLMNPQRSTVWYJ
#
>HASON 0
#        A      C      D      E      F      G      H      I      K      L      M      N      P      Q      R      S      T      V      W      Y      J 
A    27.04   2.05   6.36   6.44   5.26  11.09   7.77   7.13   8.15   6.92   7.15   2.95   8.54   7.03   6.45  11.45   6.61  10.56   4.04   7.03  15.07 
C     0.19  78.16   0.12   0.09   0.25   0.17   0.14   0.10   0.13   0.22   0.24   0.14   0.07   0.12   0.25   0.09   0.19   0.12   0.31   0.29   1.14 
D     5.26   1.50  43.57   8.71   1.90   5.27   3.57   1.92   4.89   2.14   1.38   9.12   5.94   6.68   4.14   3.68   5.71   2.56   1.32   1.87   2.09 
E     6.50   1.39   9.06  39.46   2.36   4.34   4.31   2.82   6.93   2.75   3.44   5.01   5.70  12.00   5.50   6.06   3.48   3.71   1.84   2.46   2.37 
F     1.66   0.80   2.24   0.96  29.28   1.05   3.66   4.19   1.44   6.03   5.20   2.01   1.05   1.63   1.42   1.95   2.06   3.65   9.45  10.05   4.34 
G     6.64   1.28   3.30   3.17   2.12  40.06   3.30   2.14   3.94   2.33   2.40   4.04   4.49   2.24   3.56   7.60   3.23   2.88   2.01   1.64   5.04 
H     1.34   0.50   2.40   0.70   1.88   1.11  29.60   0.99   1.87   1.13   1.14   2.61   1.24   2.43   2.61   1.92   1.26   1.08   1.15   2.22   1.52 
I     3.04   0.55   0.70   0.90   5.68   1.42   1.78  23.26   2.76   9.72   8.28   1.36   2.23   2.36   2.31   1.20   3.90  11.15   2.51   3.61   5.58 
K     6.88   1.07   3.49   3.16   2.84   4.81   4.55   3.77  27.07   4.07   3.94   6.77   5.67   5.59  12.27   5.79   4.55   4.39   1.55   1.94   2.48 
L     4.94   2.04   1.24   1.45  13.80   2.35   3.02  16.17   4.03  31.04  16.65   2.54   3.14   4.49   4.04   3.46   5.19  11.52   5.82   6.70   7.78 
M     1.54   0.20   0.26   0.46   2.84   0.83   1.08   3.84   1.33   5.09  19.19   2.05   0.72   2.97   1.13   1.74   1.69   2.78   1.46   1.78   2.13 
N     3.39   2.13   9.91   4.76   2.02   4.63   6.90   1.89   4.49   2.17   2.12  34.83   3.09   4.04   4.21   5.27   7.55   2.20   1.07   2.00   2.12 
P     3.27   0.44   1.88   1.20   1.09   2.59   3.10   1.96   2.86   1.74   1.24   1.39  36.50   1.73   2.33   1.99   2.00   2.08   0.74   2.45   2.73 
Q     3.88   1.56   2.56  11.82   1.81   2.54   3.97   2.01   5.53   2.10   4.02   5.15   3.33  31.32   4.92   3.60   3.35   2.56   1.37   1.37   1.98 
R     3.35   0.88   1.64   2.66   1.88   2.65   5.10   2.30   8.56   2.62   2.26   5.18   3.00   4.21  29.26   2.87   2.87   2.41   1.90   1.70   1.99 
S     7.64   1.53   4.76   3.80   2.47   6.73   3.92   2.62   5.11   2.69   3.31   5.95   6.10   3.19   4.69  25.57  10.25   3.74   1.74   3.05   5.49 
T     4.89   1.01   3.06   5.68   2.86   3.67   3.53   4.65   4.63   3.71   4.14   5.45   3.98   3.05   4.31  10.99  28.87   6.18   1.23   2.99   5.71 
V     5.62   0.91   1.80   3.08   6.27   2.56   2.73  14.12   3.57   8.72   8.32   1.52   3.42   3.13   3.41   2.72   5.10  22.43   3.03   5.67  11.93 
W     0.62   0.29   0.19   0.29   3.47   0.50   0.70   0.78   0.44   1.13   1.03   0.17   0.27   0.28   0.72   0.22   0.26   0.65  50.51   3.28   0.27 
Y     1.57   1.05   1.35   0.70   9.30   1.11   6.57   2.65   1.93   2.96   4.10   1.60   1.28   1.36   2.19   0.97   1.37   2.34   6.73  37.41   2.55 
J     0.74   0.67   0.10   0.50   0.62   0.50   0.70   0.69   0.32   0.72   0.45   0.15   0.23   0.13   0.27   0.86   0.52   1.01   0.21   0.48  15.68 
>HASOn 1
#        A      C      D      E      F      G      H      I      K      L      M      N      P      Q      R      S      T      V      W      Y      J 
A    27.91   2.26   8.89  12.20   4.86   9.65   8.82   6.47  12.81   6.34   8.03   6.54   7.92  10.17   7.75  14.83   8.13   9.61   4.63   3.50  12.67 
C     0.24  78.22   0.16   0.07   0.32   0.19   0.07   0.12   0.12   0.21   0.12   0.04   0.09   1.05   0.21   0.06   0.19   0.14   0.26   0.19   0.86 
D     4.87   1.44  26.60  10.23   1.76   4.91   2.32   1.75   5.00   1.93   1.58   6.82   5.44   7.64   3.89   6.90   4.83   2.22   1.56   3.56   2.40 
E     5.92   1.27  11.56  30.76   2.10   3.81   4.08   2.43   4.77   2.45   3.24   7.67   5.24   8.89   4.73   5.92   5.98   3.19   1.98   2.00   3.56 
F     1.75   1.06   1.47   0.84  30.62   1.01   2.52   4.37   2.18   6.06   4.97   1.24   1.15   1.15   1.54   1.12   0.91   3.64   9.79  13.11   3.29 
G     6.85   1.41   4.06   4.10   2.09  45.06   2.02   2.01   2.84   2.22   2.55   3.70   4.49   4.28   2.40   7.38   4.06   2.65   2.64   1.42   5.46 
H     1.29   0.47   1.56   1.96   1.81   1.08  30.29   0.87   1.23   1.02   1.25   3.86   1.21   2.18   3.10   1.31   2.69   0.95   1.79   2.36   1.27 
I     3.19   0.62   1.32   1.11   5.97   1.33   2.36  24.88   4.84  10.22   8.44   2.27   2.24   2.25   3.17   1.94   4.33  12.13   2.19   3.88   8.27 
K     6.29   0.99   7.59   7.17   2.54   4.25   4.83   3.26  29.64   3.56   4.44   7.62   5.39   9.59  11.35   3.96   7.23   3.74   2.97   2.88   5.43 
L     5.00   1.83   2.08   1.89  13.32   2.21   3.93  16.19   4.14  32.83  18.35   4.83   3.17   4.21   3.70   4.38   6.52  11.53   7.05   4.22   9.30 
M     1.57   0.23   0.33   0.75   2.69   0.74   1.24   3.55   1.67   4.84  15.57   0.63   0.70   1.50   0.93   1.81   1.33   2.57   1.27   1.96   3.20 
N     3.24   1.88   6.11   4.19   1.99   4.41   6.09   1.76   3.56   2.01   2.37  26.89   3.11   5.95   4.48   4.85   5.76   1.98   0.94   2.72   2.07 
P     3.30   0.44   2.78   1.71   1.23   2.47   2.44   1.88   1.23   1.72   1.40   1.42  38.46   2.77   1.52   2.27   0.95   1.98   0.68   1.50   1.29 
