#
# Environment-specific amino acid substitution matrices
# Creator: subst version 1.15
# CreationDate: 23/1/2008 15:41:24
#
# Definitions for structural environments:
# 6 features used
#
# domain interface;TF;Dd;T;T
# secondary structure and phi angle;HEPC;HEPC;F;F
# solvent accessibility;TF;Aa;F;F
# hydrogen bond to other sidechain/heterogen;TF;Ss;F;F
# hydrogen bond to mainchain CO;TF;Oo;F;F
# hydrogen bond to mainchain NH;TF;Nn;F;F
#
# (read in from classdef.dat)
#
# Number of alignments: 221
# (list of .tem files read in from TEMLIST.MaskB)
#
# Total number of structures: 902
#
# Total number of raw substitution counts: 1387508
#   0 HASON    3140
#   1 HASOn   19405
#   2 HASoN    8370
#   3 HASon   66662
#   4 HAsON    4460
#   5 HAsOn   44541
#   6 HAsoN    6670
#   7 HAson  246311
#   8 HaSON    3472
#   9 HaSOn   12591
#  10 HaSoN    5632
#  11 HaSon   11904
#  12 HasON    4583
#  13 HasOn   17473
#  14 HasoN    4349
#  15 Hason  181225
#  16 EASON     897
#  17 EASOn    5092
#  18 EASoN    3048
#  19 EASon   21594
#  20 EAsON    1259
#  21 EAsOn    7394
#  22 EAsoN    2986
#  23 EAson   79644
#  24 EaSON    1817
#  25 EaSOn    4176
#  26 EaSoN    2670
#  27 EaSon   13479
#  28 EasON    2542
#  29 EasOn    5694
#  30 EasoN    1244
#  31 Eason  116750
#  32 PASON      73
#  33 PASOn    1174
#  34 PASoN     941
#  35 PASon    4069
#  36 PAsON     460
#  37 PAsOn    2631
#  38 PAsoN     674
#  39 PAson   43497
#  40 PaSON     158
#  41 PaSOn     656
#  42 PaSoN     283
#  43 PaSon     211
#  44 PasON      66
#  45 PasOn     291
#  46 PasoN     108
#  47 Pason   11134
#  48 CASON    3185
#  49 CASOn    8702
#  50 CASoN   18339
#  51 CASon   37929
#  52 CAsON    5507
#  53 CAsOn   23352
#  54 CAsoN   19489
#  55 CAson  180984
#  56 CaSON    2794
#  57 CaSOn    7079
#  58 CaSoN    3953
#  59 CaSon    6347
#  60 CasON    5159
#  61 CasOn    6935
#  62 CasoN    2439
#  63 Cason   77815
#
# Number of counts discarded due to constraints: 0
#
# Number of counts discarded due to masking: 41592
#
# Total number of environments: 64
# Weighting scheme: clustering at PID 60 level
#
# Smoothing:
# p1(ri) (i.e., amino acid composition) is estimated by summing over
# each row in all matrices (no smoothing)
#                           ^^^^^^^^^^^^
# p2(ri|Rj) is estimated as:
#    p2(ri|Rj) = omega1 * p1(ri) + omega2 * W2(ri|Rj)
# 
# p3(ri|Rj,fq) is estimated as:
#    p3(ri|Rj,fq) = omega1 * A2(ri|fq) + omega2 * W3(ri|Rj,fq)
# where
#    A2(ri|fq) = p2(ri|fq) (fixed fq; partial smoothing)
# 
# The smoothing procedure is curtailed here and finally
# p5(ri|Rj,...) is estimated as:
#    p5(ri|Rj,...) = omega1 * A3(ri|Rj,fq) + omega2 * W5(ri|Rj...)
# where
#    A3(ri|Rj,fq) = sum over fq omega_c * pc3(Rj,fq)
# 
# Weights (omegas) are calculated as in Topham et al. 1993)
# 
# sigma value used is:  5.00
# 
# Each column (j) represents the probability distribution for the 
# likelihood of acceptance of a mutational event by a residue type j in 
# a particular structural environment (specified after >) leading to 
# any other residue type (i) and sums up to 100.
#
# There are 21 amino acids considered:
# ACDEFGHIKLMNPQRSTVWYJ
# where C represents half-cystine (disulphide bonded)
# and J represents cysteine (non disulphide bonded).
#
# The sequence has an additional row for 'U', which means
# both half-cystine and cysteine (with no distinction) and
# this should normally correspond to Cys in amino acid sequences.
#
>HASON 0
#        A      C      D      E      F      G      H      I      K      L      M      N      P      Q      R      S      T      V      W      Y      J 
A    22.74   5.16   6.07   9.38   6.81  10.39   7.47   7.76   6.95   7.55   6.65   6.62   8.82   8.21   6.00   8.72   7.31   8.71   5.38   4.52  12.32 
C     0.04  58.90   0.01   0.01   0.05   0.06   0.01   0.07   0.02   0.06   0.06   0.01   0.02   0.01   0.06   0.02   0.02   0.07   0.03   0.03   0.13 
D     4.17   1.23  37.00   7.88   1.86   3.72   3.52   1.69   4.69   1.76   1.84   7.99   4.57   9.57   4.09   7.38   7.88   1.80   1.37   1.15   2.83 
E     7.85   1.32  12.31  27.65   2.91   4.40   8.34   4.17   8.64   3.69   3.64   5.61   6.36  17.35   7.17   8.53   7.08   4.68   2.32   1.49   2.44 
F     2.50   1.81   0.78   1.44  20.76   1.47   2.23   4.66   1.70   5.85   4.51   1.16   1.53   1.57   1.91   0.47   8.64   4.21   6.90  18.65   4.41 
G     5.58   2.59   3.05   1.90   1.98  43.71   3.14   1.49   2.85   1.86   1.86   2.61   2.99   3.92   2.37   3.07   3.61   2.18   1.59   1.05   6.91 
H     1.82   0.46   1.34   2.87   2.39   1.29  29.91   1.55   2.18   1.50   1.35   2.49   1.19   2.02   2.35   0.77   2.85   1.60   1.29   8.09   1.14 
I     4.15   2.45   1.10   3.52   6.68   1.57   2.02  17.80   2.69   9.60   8.56   1.40   3.22   1.58   2.78   5.58   3.21  12.14   4.35   2.32   7.26 
K     5.99   1.54   2.36   6.95   2.97   3.66   5.47   3.29  24.53   3.88   3.42   7.57   5.03   3.10  10.32   3.27   5.32   3.57   2.14   1.28   2.57 
L     7.38   4.99   1.89   3.46  15.09   3.49   3.06  17.63   5.63  28.78  19.47   4.06   4.22   3.24   5.24   3.80   8.29  13.76   9.05   5.60  10.79 
M     2.06   1.28   0.44   0.84   3.63   0.95   1.55   4.28   1.46   5.31  15.70   1.73   0.92   1.06   1.52   0.77   1.40   3.73   2.27   0.96   3.21 
N     2.74   2.05   6.29   3.84   1.70   3.69   5.62   1.40   4.00   1.61   1.65  32.11   2.47   1.54   3.91   4.00   2.24   1.93   1.33   0.65   2.01 
P     3.09   0.40   0.92   2.92   1.35   2.04   1.01   2.18   2.27   1.58   1.37   1.04  36.82   0.50   2.00   0.94   1.25   2.24   0.96   0.97   1.44 
Q     3.97   1.30  13.76   6.38   2.00   2.61   4.50   2.15   5.79   2.30   2.41   4.54   2.50  35.07   5.20   4.27   3.97   2.45   1.38   1.14   1.35 
R     4.58   2.72   3.82   6.51   2.90   2.80   4.50   3.16   9.81   3.50   3.48   9.15   3.57   1.47  28.66   3.10   4.62   3.17   2.13   1.48   3.21 
S     7.19   3.40   3.25   3.83   2.64   5.57   5.02   2.85   5.17   2.70   3.19   4.14   4.93   4.06   4.77  22.70  10.85   3.52   1.63   0.91   6.05 
T     4.30   2.21   1.71   2.75   3.13   3.01   2.93   4.04   4.01   3.22   3.95   4.32   3.92   2.01   4.12   8.79  13.51   4.81   2.17   1.27   4.94 
V     5.44   3.50   2.04   4.50   7.10   2.72   3.98  14.23   3.46   8.89  10.10   1.60   4.62   1.69   3.39  12.31   3.04  19.44   5.56   2.41  11.04 
W     0.81   0.50   0.14   0.62   2.72   0.59   0.47   1.10   0.72   1.18   1.28   0.46   0.58   0.27   0.70   0.21   0.24   1.31  36.39   2.01   0.71 
Y     2.37   1.29   1.48   2.28  10.04   1.59   4.62   2.99   2.59   3.60   3.14   1.09   1.30   1.59   2.73   0.93   2.63   2.94  11.08  43.59   2.38 
J     1.24   0.92   0.26   0.45   1.30   0.69   0.64   1.52   0.84   1.58   2.38   0.29   0.45   0.17   0.72   0.37   2.04   1.74   0.68   0.44  12.84 
>HASOn 1
